# {"t_start": 1619518781.1678224, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,1.550458
-50.0,50,1.657796
-50.0,50,1.769622
-50.0,50,1.873075
-50.0,50,1.989828
-50.0,50,2.093313
-50.0,50,2.201859
-50.0,50,2.2974
-50.0,50,2.414028
-50.0,50,2.517327
-50.0,50,2.632037
-50.0,50,2.737825
-50.0,50,2.858047
-50.0,50,2.986383
-50.0,50,3.117658
-50.0,50,3.233309
-50.0,50,3.363379
-50.0,50,3.482607
-50.0,50,3.610914
-50.0,50,3.72153
-50.0,50,3.844897
-50.0,50,3.950205
-50.0,50,4.072975
-50.0,50,4.183213
-50.0,50,4.303534
-50.0,50,4.411474
-50.0,50,4.540204
-50.0,50,4.646327
-50.0,50,4.774386
-50.0,50,4.898859
-50.0,50,5.023221
-50.0,50,5.139912
-50.0,50,5.261417
-50.0,50,5.370738
-50.0,50,5.500171
-50.0,50,5.617993
-50.0,50,5.747995
-49.0,50,5.862536
-50.0,50,5.996606
-50.0,50,6.111659
-50.0,50,6.23983
-50.0,50,6.346596
-50.0,50,6.468056
-50.0,50,6.578678
-50.0,50,6.70132
-50.0,50,6.806141
-50.0,50,6.924457
-50.0,50,7.036473
-47.0,50,7.154784
-50.0,50,7.25727
-50.0,50,7.37392
-50.0,50,7.479081
-50.0,50,7.599136
-50.0,50,7.703591
-50.0,50,7.828455
-48.0,50,7.932065
-50.0,50,8.034555
-50.0,50,8.141383
-50.0,50,8.268719
-50.0,50,8.371548
-50.0,50,8.493222
-50.0,50,8.601314
-50.0,50,8.716134
-50.0,50,8.824394
-50.0,50,8.942215
-50.0,50,9.051756
-50.0,50,9.182389
-50.0,50,9.294599
-50.0,50,9.407086
-50.0,50,9.510053
-50.0,50,9.631232
-50.0,50,9.736248
-50.0,50,9.853739
-50.0,50,9.95834
-50.0,50,10.073214
-50.0,50,10.178958
-50.0,50,10.295482
-50.0,50,10.398409
-50.0,50,10.511128
-50.0,50,10.616504
-50.0,50,10.739043
-50.0,50,10.844711
-50.0,50,10.96363
-50.0,50,11.068021
-50.0,50,11.184273
-50.0,50,11.29014
-50.0,50,11.402839
-50.0,50,11.506025
-47.0,50,11.625189
-50.0,50,11.729535
-50.0,50,11.847449
-50.0,50,11.95614
-50.0,50,12.070618
-50.0,50,12.174474
-50.0,50,12.293676
-50.0,50,12.398276
-48.0,50,12.507999
-50.0,50,12.610631
-50.0,50,12.726721
-50.0,50,12.834778
-50.0,50,12.954781
-50.0,50,13.058609
-50.0,50,13.177106
-50.0,50,13.28221
-50.0,50,13.394168
-50.0,50,13.503922
-50.0,50,13.619731
-50.0,50,13.728718
-50.0,50,13.840678
-50.0,50,13.944504
-50.0,50,14.059263
-50.0,50,14.163054
-50.0,50,14.280795
-50.0,50,14.389434
-50.0,50,14.512098
-50.0,50,14.616401
-48.0,50,14.73761
-50.0,50,14.846931
-50.0,50,14.963512
-50.0,50,15.071323
-50.0,50,15.192192
-49.0,50,15.291662
-50.0,50,15.40847
-50.0,50,15.526053
-50.0,50,15.636441
-50.0,50,15.744865
-50.0,50,15.864583
-47.0,50,15.974712
-50.0,50,16.096611
-50.0,50,16.205279
-50.0,50,16.32391
-50.0,50,16.434251
-49.0,50,16.554489
-50.0,50,16.668255
-50.0,50,16.786594
-49.0,50,16.896091
-50.0,50,17.01329
-50.0,50,17.12008
-50.0,50,17.242073
-50.0,50,17.352786
-50.0,50,17.47145
-50.0,50,17.570524
-50.0,50,17.680925
-50.0,50,17.789233
-50.0,50,17.902963
-50.0,50,18.00687
-50.0,50,18.125211
-50.0,50,18.239195
-50.0,50,18.361345
-47.0,50,18.473722
-50.0,50,18.594042
-50.0,50,18.70087
-50.0,50,18.819763
-49.0,50,18.927912
-50.0,50,19.048548
-49.0,50,19.156726
-50.0,50,19.29106
-50.0,50,19.394668
-50.0,50,19.509922
-50.0,50,19.618559
-50.0,50,19.738569
-50.0,50,19.84673
-50.0,50,19.967691
-50.0,50,20.07427
-50.0,50,20.191446
-50.0,50,20.290979
-50.0,50,20.411028
-50.0,50,20.519728
-50.0,50,20.64202
-50.0,50,20.748466
-50.0,50,20.870878
-49.0,50,20.976908
-50.0,50,21.0968
-50.0,50,21.197128
-50.0,50,21.308068
-50.0,50,21.421514
-50.0,50,21.547505
-50.0,50,21.660593
-49.0,50,21.78413
-50.0,50,21.887237
-50.0,50,22.008219
-50.0,50,22.117702
-50.0,50,22.23161
-50.0,50,22.336466
-50.0,50,22.458663
-49.0,50,22.56601
-50.0,50,22.686746
-50.0,50,22.797085
-50.0,50,22.913329
-50.0,50,23.019374
-50.0,50,23.134131
-50.0,50,23.240912
-50.0,50,23.366224
-50.0,50,23.474854
-48.0,50,23.592447
-50.0,50,23.700049
-50.0,50,23.821671
-50.0,50,23.928822
-50.0,50,24.050572
-50.0,50,24.159989
-50.0,50,24.28205
-50.0,50,24.38803
-50.0,50,24.509222
-50.0,50,24.615187
-50.0,50,24.734352
-50.0,50,24.84316
-50.0,50,24.963227
-50.0,50,25.06975
-50.0,50,25.186986
-50.0,50,25.293896
-50.0,50,25.418461
-50.0,50,25.521739
-50.0,50,25.642366
-50.0,50,25.754292
-48.0,50,25.865788
-48.0,50,25.967903
-50.0,50,26.085535
-50.0,50,26.190067
-50.0,50,26.305269
-50.0,50,26.408961
-50.0,50,26.529697
-50.0,50,26.641824
-50.0,50,26.756863
-50.0,50,26.860481
-50.0,50,26.971946
-50.0,50,27.085619
-50.0,50,27.214786
-50.0,50,27.334798
-50.0,50,27.455659
-50.0,50,27.566966
-50.0,50,27.685371
-50.0,50,27.793104
-50.0,50,27.911952
-50.0,50,28.016777
-49.0,50,28.133112
-50.0,50,28.240982
-50.0,50,28.358449
-50.0,50,28.470478
-50.0,50,28.592685
-50.0,50,28.708228
-50.0,50,28.834488
-50.0,50,28.944055
-50.0,50,29.056782
-50.0,50,29.164655
-50.0,50,29.283772
-50.0,50,29.387652
-50.0,50,29.511482
-50.0,50,29.620449
-50.0,50,29.736102
-50.0,50,29.840111
-50.0,50,29.958872
-50.0,50,30.071472
-50.0,50,30.189541
-50.0,50,30.294334
-50.0,50,30.417191
-50.0,50,30.52489
-50.0,50,30.641722
-49.0,50,30.74873
-50.0,50,30.868143
-50.0,50,30.978016
-50.0,50,31.104342
-50.0,50,31.223616
-50.0,50,31.345516
-50.0,50,31.46411
-50.0,50,31.588827
-50.0,50,31.701701
-50.0,50,31.820131
-50.0,50,31.930794
-49.0,50,32.057022
-50.0,50,32.164964
-50.0,50,32.296187
-50.0,50,32.40658
-50.0,50,32.529499
-50.0,50,32.633413
-50.0,50,32.739221
-50.0,50,32.846831
-50.0,50,32.982017
-50.0,50,33.102186
-50.0,50,33.23478
-50.0,50,33.344604
-49.0,50,33.471321
-50.0,50,33.582988
-50.0,50,33.704568
-50.0,50,33.815263
-50.0,50,33.935141
-50.0,50,34.041145
-50.0,50,34.164982
-50.0,50,34.275641
-50.0,50,34.39374
-50.0,50,34.501541
-50.0,50,34.622586
-50.0,50,34.728611
-50.0,50,34.8543
-50.0,50,34.957297
-50.0,50,35.079166
-50.0,50,35.186819
-50.0,50,35.309618
-48.0,50,35.425239
-50.0,50,35.546647
-50.0,50,35.651801
-50.0,50,35.762861
-49.0,50,35.857071
-50.0,50,35.966626
-50.0,50,36.069797
-50.0,50,36.187282
-50.0,50,36.2963
-50.0,50,36.414012
-50.0,50,36.538046
-50.0,50,36.665155
-50.0,50,36.778646
-50.0,50,36.905615
-50.0,50,37.011992
-50.0,50,37.138569
-50.0,50,37.247848
-50.0,50,37.369708
-48.0,50,37.478149
-50.0,50,37.603006
-49.0,50,37.715674
-47.0,50,37.838335
-50.0,50,37.953921
-50.0,50,38.087389
-50.0,50,38.204167
-50.0,50,38.324574
-50.0,50,38.440373
-50.0,50,38.565941
-50.0,50,38.674395
-50.0,50,38.797504
-50.0,50,38.913814
-49.0,50,39.033701
-50.0,50,39.142833
-50.0,50,39.269585
-50.0,50,39.381264
-50.0,50,39.512546
-50.0,50,39.624706
-50.0,50,39.756884
-50.0,50,39.87462
-50.0,50,40.001667
-48.0,50,40.12218
-50.0,50,40.231494
-50.0,50,40.341106
-50.0,50,40.467971
-50.0,50,40.584983
-50.0,50,40.707449
-50.0,50,40.817989
-50.0,50,40.942545
-50.0,50,41.049369
-50.0,50,41.17777
-50.0,50,41.294778
-49.0,50,41.419137
-50.0,50,41.527817
-48.0,50,41.651186
-50.0,50,41.761179
-50.0,50,41.882489
-50.0,50,41.990666
-49.0,50,42.110556
-50.0,50,42.222049
-50.0,50,42.345096
-50.0,50,42.457525
-50.0,50,42.583375
-50.0,50,42.691879
-50.0,50,42.813971
-50.0,50,42.92432
-49.0,50,43.049954
-50.0,50,43.16583
-50.0,50,43.289439
-50.0,50,43.400026
-50.0,50,43.52236
-50.0,50,43.624621
-50.0,50,43.7441
-50.0,50,43.852721
-48.0,50,43.971102
-50.0,50,44.066615
-50.0,50,44.189517
-50.0,50,44.297385
-50.0,50,44.415304
-50.0,50,44.522589
-50.0,50,44.643163
-50.0,50,44.751519
-50.0,50,44.871352
-50.0,50,44.982424
-50.0,50,45.105835
-50.0,50,45.213161
-50.0,50,45.334306
-50.0,50,45.442303
-50.0,50,45.565643
-50.0,50,45.674807
-50.0,50,45.800652
-50.0,50,45.906533
-50.0,50,46.024513
-50.0,50,46.129987
-50.0,50,46.251001
-50.0,50,46.361578
-50.0,50,46.480979
-50.0,50,46.586822
-49.0,50,46.707683
-48.0,50,46.817225
-50.0,50,46.932071
-50.0,50,47.039037
-50.0,50,47.170124
-50.0,50,47.281925
-50.0,50,47.400171
-50.0,50,47.508539
-50.0,50,47.626392
-50.0,50,47.739029
-50.0,50,47.859019
-50.0,50,47.967012
-50.0,50,48.08735
-50.0,50,48.195698
-50.0,50,48.318482
-50.0,50,48.429005
-50.0,50,48.549539
-50.0,50,48.656651
-50.0,50,48.77861
-50.0,50,48.888482
-50.0,50,49.006199
-50.0,50,49.11569
-50.0,50,49.23557
-50.0,50,49.345618
-50.0,50,49.465987
-50.0,50,49.572487
-50.0,50,49.693747
-50.0,50,49.80291
-50.0,50,49.926484
-50.0,50,50.034121
-50.0,50,50.1594
-50.0,50,50.267115
-50.0,50,50.389442
-50.0,50,50.496308
-50.0,50,50.619798
-50.0,50,50.731126
-50.0,50,50.854927
-50.0,50,50.962617
-50.0,50,51.085555
-50.0,50,51.193551
