eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
nan,nan,-0.006886124610900879,50,1,5.675754070281982,-57.41456604003906,20,123.50191497802734
50.0,-49.975,0.6530815958976746,396,100,5.572548866271973,125.76021575927734,2000,533.8984375
50.0,-49.925,0.4776461124420166,419,200,5.573890686035156,1.512017011642456,4000,14.258255004882812
50.0,-49.87,0.5621809661388397,428,300,5.545699119567871,-10.91561508178711,6000,15.326815605163574
50.0,-49.82,0.6761396825313568,431,400,5.5632004737854,-5.769345283508301,8000,9.600061416625977
50.0,-49.82,0.9264736324548721,433,500,5.542059898376465,-11.783677101135254,10000,7.56716251373291
50.0,-49.85,0.8004555851221085,434,600,5.527626037597656,3.8566553592681885,12000,5.877730369567871
50.0,-49.9,0.9591826982796192,433,700,5.512627124786377,-5.081255912780762,14000,2.212597608566284
50.0,-49.87,0.9798666220158339,433,800,5.521289825439453,-3.794933557510376,16000,1.0187784433364868
50.0,-49.82,0.9897135281935334,432,900,5.553761005401611,0.41358426213264465,18000,0.28650155663490295
50.0,-49.8,0.9657155983150005,432,1000,5.541723251342773,11.098447799682617,20000,4.987139701843262
50.0,-49.9,0.9962373033631593,432,1100,5.556692123413086,13.313754081726074,22000,6.274285316467285
50.0,-49.96,0.897299014031887,433,1200,5.580382347106934,-30.92940902709961,24000,38.58137130737305
50.0,-49.99,0.9338850751519203,433,1300,5.5737385749816895,-4.657751083374023,26000,2.343691349029541
50.0,-49.95,0.9104579985141754,434,1400,5.595242023468018,26.511253356933594,28000,28.02811050415039
50.0,-49.95,0.9923922880552709,434,1500,5.6203083992004395,-0.3240628242492676,30000,0.20899565517902374
50.0,-49.94,0.9525848738849163,434,1600,5.640761852264404,-18.14198875427246,32000,12.787252426147461
50.0,-49.92,0.916784018278122,435,1700,5.653103351593018,-7.961019992828369,34000,4.026570796966553
50.0,-49.91,0.9838432222604752,435,1800,5.663320541381836,-3.0827345848083496,36000,0.7789596915245056
50.0,-49.93,0.9119618088006973,435,1900,5.6936540603637695,-9.804645538330078,38000,5.018131256103516
50.0,-49.88,0.92310980707407,435,2000,5.692959785461426,-8.332337379455566,40000,4.5836591720581055
50.0,-49.88,-0.16358685493469238,436,2100,5.713627815246582,30.213438034057617,42000,57.842193603515625
50.0,-49.92,0.3330032229423523,437,2200,5.719207763671875,10.700183868408203,44000,23.627878189086914
50.0,-49.86,-0.0861274003982544,440,2300,5.708662033081055,11.85368824005127,46000,33.095096588134766
50.0,-49.84,0.556946188211441,441,2400,5.68381929397583,15.739286422729492,48000,22.4372615814209
50.0,-49.9,0.32682663202285767,442,2500,5.683711051940918,8.589624404907227,50000,21.520057678222656
50.0,-49.92,0.49332648515701294,443,2600,5.655998229980469,5.2996320724487305,52000,14.78125286102295
50.0,-49.95,0.5645049512386322,444,2700,5.64693546295166,-1.354196548461914,54000,11.997493743896484
50.0,-49.94,0.8630892634391785,444,2800,5.635709762573242,31.299331665039062,56000,22.549787521362305
50.0,-49.92,0.8558030873537064,445,2900,5.657711029052734,8.313087463378906,58000,5.930508136749268
50.0,-49.9,0.7315994203090668,446,3000,5.648127555847168,-19.98314666748047,60000,21.28957748413086
50.0,-49.91,0.9269247949123383,447,3100,5.686313629150391,-6.702944755554199,62000,3.2390472888946533
50.0,-49.92,0.7771022319793701,447,3200,5.746634483337402,-1.2852587699890137,64000,6.093931674957275
50.0,-49.88,0.8271419256925583,448,3300,5.776194095611572,-14.465840339660645,66000,9.068105697631836
50.0,-49.89,0.9855411481112242,449,3400,5.7851972579956055,-15.948359489440918,68000,8.985221862792969
50.0,-49.97,-0.46560394763946533,449,3500,5.793095588684082,-46.75595474243164,70000,107.0623779296875
50.0,-49.98,0.9956324733793736,450,3600,5.811201095581055,-3.821793794631958,72000,0.561301052570343
50.0,-49.96,0.9114309623837471,450,3700,5.800423622131348,-8.364303588867188,74000,4.643662452697754
50.0,-49.92,0.9838977716863155,450,3800,5.81252908706665,4.342266082763672,76000,1.0150896310806274
50.0,-49.88,0.971259567886591,451,3900,5.8005828857421875,1.1557917594909668,78000,0.8161307573318481
50.0,-49.88,0.8774206265807152,451,4000,5.754373550415039,-10.613262176513672,80000,7.216625213623047
50.0,-49.9,0.8432754576206207,451,4100,5.746962547302246,-14.030896186828613,82000,11.100220680236816
50.0,-49.86,0.934146448969841,451,4200,5.7423176765441895,-6.701449394226074,84000,3.3167738914489746
50.0,-49.88,0.6353638768196106,452,4300,5.736905574798584,5.05012321472168,86000,10.681321144104004
50.0,-49.88,0.9955448764376342,452,4400,5.718257427215576,51.8270149230957,88000,81.84855651855469
50.0,-49.95,0.11628919839859009,452,4500,5.70229434967041,-9.514901161193848,90000,25.580638885498047
50.0,-49.97,0.5395553708076477,453,4600,5.707751274108887,82.38053131103516,92000,220.5909881591797
50.0,-49.92,0.7885015159845352,453,4700,5.707647800445557,78.13533020019531,94000,209.66690063476562
50.0,-49.89,0.25592041015625,453,4800,5.701480388641357,24.99341583251953,96000,43.158050537109375
50.0,-49.89,0.6190387010574341,454,4900,5.708248138427734,63.789302825927734,98000,133.6346435546875
50.0,-49.9,0.5745286047458649,454,5000,5.670343399047852,-44.78524398803711,100000,72.80923461914062
50.0,-49.92,0.9269069284200668,454,5100,5.6784563064575195,16.893733978271484,102000,9.661628723144531
50.0,-49.95,0.9870918681845069,454,5200,5.652993679046631,-15.376852035522461,104000,7.7328643798828125
50.0,-49.95,0.8856511861085892,455,5300,5.666408538818359,39.038665771484375,106000,58.977928161621094
50.0,-49.97,0.8607167452573776,455,5400,5.663412094116211,-32.35899353027344,108000,31.165761947631836
50.0,-49.98,0.7673353403806686,455,5500,5.664548873901367,5.74758768081665,110000,7.3667893409729
50.0,-49.95,0.8669364154338837,455,5600,5.682373046875,-5.9884161949157715,112000,4.700631618499756
50.0,-49.95,0.403883695602417,455,5700,5.687604904174805,-38.505035400390625,114000,56.25435256958008
50.0,-49.98,0.9107582047581673,455,5800,5.67638635635376,74.34623718261719,116000,176.4099578857422
50.0,-49.97,0.8464265614748001,456,5900,5.670705318450928,-7.178548336029053,118000,6.095632076263428
50.0,-49.96,0.3841988444328308,456,6000,5.659738540649414,-5.358823776245117,120000,17.552291870117188
50.0,-49.95,0.47231096029281616,455,6100,5.64818000793457,-2.0012731552124023,122000,14.461926460266113
50.0,-49.95,0.47886228561401367,455,6200,5.65641450881958,-7.267071723937988,124000,15.574419975280762
50.0,-49.96,0.19164448976516724,455,6300,5.629827499389648,-9.194708824157715,126000,23.71419906616211
50.0,-49.96,-0.009984493255615234,454,6400,5.631501197814941,-8.065000534057617,128000,29.32110595703125
50.0,-49.95,0.05653119087219238,454,6500,5.622280120849609,1.5333393812179565,130000,25.765066146850586
50.0,-49.88,0.29644685983657837,453,6600,5.656024932861328,3.886338233947754,132000,19.35144805908203
50.0,-49.88,0.2596515417098999,452,6700,5.676738739013672,5.089321136474609,134000,21.05342674255371
50.0,-49.87,0.19615644216537476,452,6800,5.66701602935791,-6.770742416381836,136000,23.99100685119629
50.0,-49.9,0.23269438743591309,451,6900,5.662639141082764,-3.7215075492858887,138000,20.970195770263672
50.0,-49.9,0.4864619970321655,451,7000,5.64980411529541,-9.535919189453125,140000,16.955551147460938
50.0,-49.94,0.3927288055419922,450,7100,5.686871528625488,-8.276154518127441,142000,19.74110984802246
50.0,-49.96,0.21089744567871094,449,7200,5.6855340003967285,-1.963342547416687,144000,21.53512191772461
50.0,-49.95,0.16877639293670654,448,7300,5.6601362228393555,-3.374495267868042,146000,23.127887725830078
50.0,-49.94,0.18262851238250732,448,7400,5.61723518371582,3.683788776397705,148000,23.000606536865234
50.0,-49.97,0.13230586051940918,447,7500,5.605617523193359,-6.31065034866333,150000,24.629688262939453
50.0,-49.98,0.2681649327278137,447,7600,5.561802864074707,-5.325776100158691,152000,20.11395263671875
50.0,-49.95,0.15140271186828613,447,7700,5.534419059753418,-12.614790916442871,154000,26.301727294921875
50.0,-49.92,0.20766973495483398,446,7800,5.505199432373047,-5.9683427810668945,156000,23.064807891845703
50.0,-49.91,0.15959465503692627,446,7900,5.524618148803711,-3.0997369289398193,158000,23.445619583129883
50.0,-49.89,0.16634178161621094,446,8000,5.568957328796387,-9.905739784240723,160000,24.65285301208496
50.0,-49.93,0.40675073862075806,446,8100,5.592560291290283,9.923556327819824,162000,17.803638458251953
50.0,-49.92,-0.005044817924499512,445,8200,5.590640544891357,-9.576581001281738,164000,30.060245513916016
50.0,-49.93,0.4330490231513977,445,8300,5.6108269691467285,-2.1995108127593994,166000,15.66515827178955
50.0,-49.94,0.15183687210083008,445,8400,5.616026401519775,-5.570158958435059,168000,24.86770248413086
50.0,-49.95,0.11291772127151489,445,8500,5.624114990234375,-9.321127891540527,170000,27.45599937438965
50.0,-49.94,-0.09088134765625,444,8600,5.620915412902832,-4.351129531860352,172000,29.902978897094727
50.0,-49.9,0.13306021690368652,444,8700,5.622079849243164,-3.2141530513763428,174000,24.645235061645508
50.0,-49.93,0.013469457626342773,444,8800,5.658685207366943,-6.619940280914307,176000,28.732080459594727
50.0,-49.89,0.11906927824020386,444,8900,5.671802520751953,-3.1364612579345703,178000,24.09029769897461
50.0,-49.89,0.2719196677207947,444,9000,5.65147590637207,-2.1854186058044434,180000,20.460098266601562
50.0,-49.89,0.09822547435760498,444,9100,5.664769172668457,-5.6145405769348145,182000,24.90066146850586
50.0,-49.92,0.13112872838974,444,9200,5.65625,0.4175921678543091,184000,23.6948299407959
50.0,-49.93,0.3562554121017456,443,9300,5.667397499084473,2.358137369155884,186000,17.612613677978516
50.0,-49.93,0.06730049848556519,443,9400,5.707786560058594,2.043412685394287,188000,25.718120574951172
50.0,-49.92,0.26939404010772705,443,9500,5.69722843170166,3.845614194869995,190000,20.785425186157227
50.0,-49.93,0.019700229167938232,443,9600,5.687963485717773,-3.728426456451416,192000,27.353439331054688
50.0,-49.9,0.30650031566619873,443,9700,5.702650547027588,-4.530176162719727,194000,19.58156967163086
50.0,-49.92,0.23622536659240723,442,9800,5.741002559661865,2.2943713665008545,196000,21.08529281616211
50.0,-49.92,0.23674678802490234,442,9900,5.760322570800781,-1.2126928567886353,198000,20.889970779418945
50.0,-49.93,0.04953378438949585,442,10000,5.764755725860596,-8.412906646728516,200000,27.41837501525879
50.0,-49.9,0.15912705659866333,442,10100,5.819183349609375,-2.958299398422241,202000,23.3847599029541
50.0,-49.89,0.2759351134300232,442,10200,5.811636924743652,-2.975374937057495,204000,19.798797607421875
50.0,-49.85,0.3523651957511902,442,10300,5.825458526611328,-1.8723628520965576,206000,17.78767967224121
50.0,-49.91,0.09776705503463745,441,10400,5.797770977020264,-1.2649447917938232,208000,24.861616134643555
50.0,-49.95,0.185438334941864,441,10500,5.804553031921387,-5.765416145324707,210000,23.192211151123047
50.0,-49.97,0.07114517688751221,441,10600,5.816017150878906,-5.947601318359375,212000,26.143463134765625
50.0,-49.91,0.051947593688964844,441,10700,5.82327938079834,-7.2757110595703125,214000,27.38287353515625
50.0,-49.87,0.0822068452835083,441,10800,5.82615852355957,-5.979025363922119,216000,26.305156707763672
50.0,-49.9,0.07325136661529541,441,10900,5.835444450378418,-3.5736429691314697,218000,25.526121139526367
50.0,-49.92,0.08606946468353271,441,11000,5.83090877532959,-1.1079771518707275,220000,25.235868453979492
50.0,-49.97,0.27290982007980347,440,11100,5.819212913513184,-8.380592346191406,222000,21.33615493774414
50.0,-49.94,0.11081951856613159,440,11200,5.817519187927246,-1.7804416418075562,224000,24.246496200561523
50.0,-49.93,0.16702109575271606,440,11300,5.827569961547852,-4.314178466796875,226000,23.104225158691406
50.0,-49.92,0.08815193176269531,440,11400,5.841535568237305,-4.802201271057129,228000,25.780115127563477
50.0,-49.91,0.20763391256332397,440,11500,5.8564066886901855,-2.077913761138916,230000,21.778898239135742
50.0,-49.9,0.1555253267288208,440,11600,5.859917163848877,-4.002919673919678,232000,23.973392486572266
50.0,-49.9,0.13852089643478394,440,11700,5.846363067626953,-6.9477105140686035,234000,24.81568145751953
50.0,-49.93,0.2855212688446045,440,11800,5.877480506896973,-4.932796001434326,236000,20.170726776123047
50.0,-49.96,0.28983503580093384,440,11900,5.90931510925293,-9.064056396484375,238000,20.919496536254883
50.0,-49.93,0.24481308460235596,440,12000,5.918164253234863,-2.8169331550598145,240000,20.83974266052246
50.0,-49.93,0.18903297185897827,440,12100,5.907588005065918,0.2781967520713806,242000,22.118330001831055
50.0,-49.89,0.30960172414779663,440,12200,5.887904167175293,-1.4410933256149292,244000,18.849029541015625
50.0,-49.92,0.1958904266357422,440,12300,5.875646114349365,-2.9984734058380127,246000,21.93594741821289
50.0,-49.87,0.1098751425743103,440,12400,5.890841007232666,-1.192464828491211,248000,24.40867042541504
50.0,-49.91,0.054334819316864014,440,12500,5.899539947509766,-11.177998542785645,250000,28.412479400634766
50.0,-49.93,0.07999145984649658,440,12600,5.865357398986816,-5.826818943023682,252000,25.571563720703125
50.0,-49.94,0.04403114318847656,440,12700,5.8554840087890625,-2.155223846435547,254000,26.10882568359375
50.0,-49.95,0.3005915880203247,439,12800,5.865746974945068,4.744596481323242,256000,19.20833396911621
50.0,-49.96,0.14240646362304688,439,12900,5.895781517028809,-2.6435792446136475,258000,23.54644012451172
50.0,-49.93,0.16855037212371826,440,13000,5.87393856048584,-6.509078025817871,260000,24.15250015258789
50.0,-49.9,0.1922740340232849,440,13100,5.8777289390563965,-0.8334003686904907,262000,22.229604721069336
50.0,-49.89,0.2404189109802246,440,13200,5.88235330581665,-9.283929824829102,264000,22.23695182800293
50.0,-49.89,0.1626473069190979,439,13300,5.874731063842773,-7.23107385635376,266000,24.389463424682617
50.0,-49.9,0.062181949615478516,439,13400,5.861705303192139,-7.85721492767334,268000,27.9027042388916
50.0,-49.97,0.3362939953804016,439,13500,5.838813304901123,-0.5891467928886414,270000,18.106548309326172
50.0,-49.97,0.17498087882995605,439,13600,5.858762741088867,-1.5880454778671265,272000,22.49955177307129
50.0,-49.95,0.03988558053970337,439,13700,5.858095645904541,-9.705451965332031,274000,28.638347625732422
