# {"t_start": 1619510350.56158, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,1.140794
-50.0,50,1.245617
-50.0,50,1.610656
-50.0,50,1.713938
-50.0,50,1.991985
-50.0,50,2.095707
-50.0,50,2.390227
-50.0,50,2.494112
-50.0,50,2.7922
-50.0,50,2.91412
-50.0,50,3.207929
-50.0,50,3.321686
-50.0,50,3.611274
-50.0,50,3.716026
-50.0,50,4.012593
-50.0,50,4.130573
-50.0,50,4.425918
-50.0,50,4.532561
-50.0,50,4.825309
-50.0,50,4.933195
-50.0,50,5.228067
-50.0,50,5.328375
-50.0,50,5.619721
-50.0,50,5.738236
-49.0,50,6.023694
-50.0,50,6.126787
-50.0,50,6.428877
-49.0,50,6.547351
-50.0,50,6.85335
-50.0,50,6.953229
-50.0,50,7.254797
-50.0,50,7.351806
-50.0,50,7.660396
-50.0,50,7.76159
-50.0,50,8.051251
-50.0,50,8.153603
-50.0,50,8.440552
-50.0,50,8.544083
-50.0,50,8.825459
-50.0,50,8.931189
-50.0,50,9.242583
-50.0,50,9.35914
-50.0,50,9.660892
-50.0,50,9.768154
-50.0,50,10.082322
-50.0,50,10.187497
-50.0,50,10.478532
-50.0,50,10.582952
-50.0,50,10.886648
-50.0,50,11.001017
-48.0,50,11.304427
-50.0,50,11.411217
-50.0,50,11.751367
-48.0,50,11.883253
-50.0,50,12.199436
-50.0,50,12.313253
-50.0,50,12.62558
-50.0,50,12.753542
-50.0,50,13.084433
-50.0,50,13.189787
-50.0,50,13.491034
-50.0,50,13.605551
-50.0,50,13.908242
-50.0,50,14.032258
-50.0,50,14.3518
-50.0,50,14.466783
-50.0,50,14.771335
-50.0,50,14.881015
-50.0,50,15.167042
-50.0,50,15.278244
-50.0,50,15.568189
-50.0,50,15.670393
-49.0,50,15.96555
-49.0,50,16.073991
-50.0,50,16.357513
-50.0,50,16.465122
-50.0,50,16.769408
-50.0,50,16.905317
-50.0,50,17.199675
-50.0,50,17.307436
-47.0,50,17.630465
-50.0,50,17.748241
-50.0,50,18.053586
-50.0,50,18.163565
-50.0,50,18.449164
-50.0,50,18.542263
-50.0,50,18.845611
-50.0,50,18.944798
-50.0,50,19.229028
-50.0,50,19.323901
-50.0,50,19.617569
-50.0,50,19.728276
-50.0,50,20.033284
-50.0,50,20.142582
-50.0,50,20.415154
-50.0,50,20.54921
-50.0,50,20.85006
-50.0,50,20.969932
-50.0,50,21.271027
-50.0,50,21.374422
-50.0,50,21.672978
-50.0,50,21.785724
-50.0,50,22.081251
-50.0,50,22.19096
-50.0,50,22.452318
-46.0,50,22.556532
-50.0,50,22.853996
-50.0,50,22.951178
-50.0,50,23.23097
-50.0,50,23.335876
-50.0,50,23.606326
-50.0,50,23.696178
-50.0,50,23.98739
-50.0,50,24.092265
-49.0,50,24.388031
-50.0,50,24.502729
-48.0,50,24.78153
-50.0,50,24.879695
-50.0,50,25.167531
-49.0,50,25.278317
-50.0,50,25.591206
-50.0,50,25.699099
-50.0,50,25.992858
-49.0,50,26.105189
-50.0,50,26.39246
-50.0,50,26.501982
-50.0,50,26.790889
-50.0,50,26.895109
-50.0,50,27.175442
-50.0,50,27.294262
-50.0,50,27.588979
-47.0,50,27.690243
-50.0,50,27.975089
-50.0,50,28.082485
-50.0,50,28.373266
-50.0,50,28.465586
-50.0,50,28.792989
-50.0,50,28.896669
-50.0,50,29.199638
-50.0,50,29.321118
-50.0,50,29.609958
-50.0,50,29.721251
-50.0,50,30.010386
-50.0,50,30.135446
-50.0,50,30.4301
-50.0,50,30.538575
-50.0,50,30.837592
-50.0,50,30.950592
-50.0,50,31.239523
-50.0,50,31.356295
-50.0,50,31.660372
-50.0,50,31.766307
-50.0,50,32.057304
-50.0,50,32.161845
-50.0,50,32.46126
-50.0,50,32.57808
-50.0,50,32.895766
-50.0,50,33.01377
-50.0,50,33.308685
-50.0,50,33.416382
-50.0,50,33.734032
-50.0,50,33.841409
-50.0,50,34.137842
-50.0,50,34.2491
-50.0,50,34.537437
-50.0,50,34.64575
-50.0,50,34.952349
-50.0,50,35.06547
-50.0,50,35.346332
-50.0,50,35.447795
-50.0,50,35.743281
-49.0,50,35.848018
-50.0,50,36.147964
-50.0,50,36.252492
-50.0,50,36.566967
-50.0,50,36.690688
-50.0,50,36.990159
-50.0,50,37.107913
-50.0,50,37.415276
-50.0,50,37.518374
-50.0,50,37.800526
-50.0,50,37.903246
-50.0,50,38.194379
-50.0,50,38.314805
-50.0,50,38.604311
-50.0,50,38.712995
-50.0,50,39.000671
-50.0,50,39.107375
-50.0,50,39.405118
-50.0,50,39.519151
-50.0,50,39.817359
-50.0,50,39.92833
-50.0,50,40.224583
-50.0,50,40.338679
-49.0,50,40.624567
-50.0,50,40.727967
-50.0,50,41.019992
-50.0,50,41.125053
-50.0,50,41.377316
-50.0,50,41.487255
-50.0,50,41.804918
-50.0,50,41.912586
-50.0,50,42.211723
-50.0,50,42.319877
-50.0,50,42.617794
-50.0,50,42.723829
-50.0,50,42.99349
-50.0,50,43.094731
-50.0,50,43.371816
-50.0,50,43.468923
-50.0,50,43.755039
-50.0,50,43.859855
-50.0,50,44.159797
-50.0,50,44.264937
-50.0,50,44.571902
-49.0,50,44.680608
-50.0,50,44.971736
-50.0,50,45.090872
-50.0,50,45.385586
-50.0,50,45.492438
-48.0,50,45.79293
-50.0,50,45.904736
-50.0,50,46.204882
-50.0,50,46.308846
-50.0,50,46.5952
-50.0,50,46.696138
-50.0,50,46.977859
-50.0,50,47.081296
-50.0,50,47.375013
-50.0,50,47.479276
-50.0,50,47.790692
-50.0,50,47.904307
-50.0,50,48.200715
-50.0,50,48.311032
-50.0,50,48.609169
-50.0,50,48.713453
-50.0,50,49.007575
-50.0,50,49.126186
-50.0,50,49.411189
-50.0,50,49.521358
-50.0,50,49.836197
-50.0,50,49.962106
-50.0,50,50.263963
-50.0,50,50.37307
