# {"t_start": 1619487627.3883398, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,2.291303
-41.0,50,3.782923
-43.0,50,5.181726
-9.0,50,6.542027
-9.0,50,7.913162
-7.0,50,9.279171
-50.0,50,10.661935
-18.0,50,12.061669
-10.0,50,13.441484
-15.0,50,14.81975
-20.0,50,16.205811
-2.0,50,16.362251
-2.0,50,16.53969
-50.0,50,16.71687
0.0,50,16.887794
-14.0,50,17.076487
-19.0,50,17.25455
-4.0,50,17.420349
-15.0,50,17.588484
-26.0,50,17.76251
-22.0,50,18.009918
-50.0,50,19.402614
-49.0,50,20.816857
-17.0,50,22.179563
-7.0,50,23.647877
-23.0,50,25.011948
-50.0,50,26.42547
-50.0,50,27.850779
-50.0,50,29.280763
-24.0,50,30.680893
-8.0,50,32.063011
-50.0,50,32.244765
-20.0,50,32.440229
-11.0,50,32.624376
-50.0,50,32.791641
0.0,50,32.963041
0.0,50,33.126217
-10.0,50,33.29062
-13.0,50,33.478385
-20.0,50,33.634923
-6.0,50,33.813835
-31.0,50,35.21709
-40.0,50,36.656743
-17.0,50,38.021908
-17.0,50,39.402984
-13.0,50,40.799615
-7.0,50,42.178445
-8.0,50,43.565235
-50.0,50,44.967026
-8.0,50,46.350578
-5.0,50,47.755092
-12.0,50,47.933775
-1.0,50,48.100975
-6.0,50,48.272868
-1.0,50,48.446797
-7.0,50,48.614728
0.0,50,48.790757
-4.0,50,48.946283
-8.0,50,49.133195
-14.0,50,49.322286
-11.0,50,49.559922
-6.0,50,50.950557
-12.0,50,52.345395
-45.0,50,53.712542
-35.0,50,55.106642
-13.0,50,56.493363
-18.0,50,57.870245
-28.0,50,59.220773
-45.0,50,60.629158
0.0,50,62.001281
-2.0,50,63.398324
-12.0,50,63.569859
-4.0,50,63.736898
-9.0,50,63.910084
-4.0,50,64.097067
-1.0,50,64.276353
-2.0,50,64.460901
-4.0,50,64.64974
-6.0,50,64.828539
-2.0,50,64.990406
-6.0,50,65.147015
-10.0,50,66.570668
-11.0,50,67.935538
-7.0,50,69.296083
-17.0,50,70.71029
-13.0,50,72.103352
-6.0,50,73.486278
-10.0,50,74.872618
-20.0,50,76.299336
-7.0,50,77.679651
-11.0,50,79.062836
-2.0,50,79.215484
-2.0,50,79.36997
-1.0,50,79.53772
-2.0,50,79.713447
-1.0,50,79.887786
-14.0,50,80.079205
-2.0,50,80.276563
-1.0,50,80.452071
