epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8613301,0.102978826,0.2592409,0.03455075,10.0,-0.7463805,0.6833334,10.0,0.55
1,0.86869,0.09486861,0.26121038,0.031571317,20.0,-0.6710431,0.89166665,20.0,0.65833336
2,0.8704748,0.090834804,0.26153448,0.030332953,30.0,-0.4580549,0.98333335,30.0,0.73333335
3,0.8712905,0.088676,0.26173902,0.029866477,40.0,-0.39769438,0.9916666,40.0,0.8333333
4,0.8723202,0.087247916,0.26193962,0.029663136,50.0,-0.29700598,1.0,50.0,0.8416667
5,0.8725636,0.08682185,0.26203668,0.029674819,60.0,-0.3102151,0.9666667,60.0,0.7666667
6,0.87340266,0.086947225,0.26226133,0.029886687,70.0,-0.1843488,0.9916666,70.0,0.7916667
7,0.8744028,0.086898185,0.2624994,0.029970774,80.0,-0.13247202,0.9916666,80.0,0.7416666
8,0.87449986,0.08691814,0.2625486,0.030150374,90.0,-0.12487639,1.0,90.0,0.6916666
9,0.8744776,0.086830415,0.26253653,0.030216208,100.0,-0.10288605,1.0,100.0,0.7416666
10,0.8745492,0.08688897,0.2625456,0.030327907,110.0,-0.078697346,1.0,110.0,0.69166666
11,0.8743534,0.08636663,0.26248306,0.030268038,120.0,-0.098076284,1.0,120.0,0.7
12,0.8742962,0.0862785,0.2624647,0.030304303,130.0,-0.09048281,1.0,130.0,0.7250001
13,0.87465864,0.086370945,0.26257408,0.030381432,140.0,-0.060165834,1.0,140.0,0.6666667
14,0.8748258,0.08621027,0.2626029,0.030383075,150.0,-0.07299061,1.0,150.0,0.59999996
15,0.8747325,0.08616813,0.26258928,0.030393979,160.0,-0.124108195,1.0,160.0,0.5916667
16,0.87479424,0.08611486,0.2626056,0.030419553,170.0,-0.024733847,1.0,170.0,0.6166667
17,0.87468266,0.08597905,0.26256743,0.030413643,180.0,-0.0686676,1.0,180.0,0.65833336
18,0.8743742,0.08577314,0.2624895,0.030378005,190.0,-0.08571187,1.0,190.0,0.7
19,0.8743987,0.085669406,0.26249516,0.030362397,200.0,-0.026463201,1.0,200.0,0.68333334
20,0.8745689,0.08549177,0.26252776,0.030337414,210.0,-0.058942687,1.0,210.0,0.675
21,0.874568,0.085322715,0.262525,0.030298045,220.0,-0.073984,1.0,220.0,0.59166664
22,0.87477535,0.08519859,0.2625755,0.03028124,230.0,-0.06573642,1.0,230.0,0.6666667
23,0.8747775,0.08518494,0.2625828,0.030292192,240.0,-0.03325969,1.0,240.0,0.6
24,0.87472373,0.085204124,0.26256606,0.030316269,250.0,-0.02603746,1.0,250.0,0.6666667
25,0.874585,0.08510563,0.26252788,0.030297572,260.0,-0.04502657,1.0,260.0,0.7250001
26,0.87452745,0.08506935,0.26251623,0.030293712,270.0,-0.024086043,1.0,270.0,0.65833336
27,0.87484604,0.085096754,0.26259133,0.030308574,280.0,-0.05120344,1.0,280.0,0.6666667
28,0.87502664,0.08505681,0.26263604,0.030300444,290.0,-0.056790218,1.0,290.0,0.64166665
29,0.87505656,0.08504433,0.26263195,0.030300647,300.0,-0.048671324,1.0,300.0,0.7083333
30,0.87504023,0.08502386,0.262625,0.030306637,310.0,-0.079475455,1.0,310.0,0.7833333
31,0.8754018,0.08507824,0.26271957,0.03032484,320.0,-0.09852169,1.0,320.0,0.7
32,0.87528276,0.08507768,0.2626899,0.030332422,330.0,-0.04847048,1.0,330.0,0.7166667
33,0.8753094,0.08510885,0.26269573,0.030345296,340.0,-0.060193986,1.0,340.0,0.7583334
