# {"t_start": 1619514836.024139, "env_id": "FetchReach-v1"} 
r,l,t
-47.0,50,0.898458
-46.0,50,0.985144
-44.0,50,1.06803
-50.0,50,1.149951
-50.0,50,1.231241
-50.0,50,1.313025
-50.0,50,1.402308
-50.0,50,1.480932
-50.0,50,1.559039
-50.0,50,1.63607
-49.0,50,1.720355
-44.0,50,1.794882
-50.0,50,1.870499
-50.0,50,1.944011
-50.0,50,2.019046
-50.0,50,2.099959
-50.0,50,2.182836
-50.0,50,2.266205
-50.0,50,2.345314
-49.0,50,2.428082
-50.0,50,2.502887
-50.0,50,2.587438
-50.0,50,2.665386
-50.0,50,2.754317
-50.0,50,2.829342
-50.0,50,2.911454
-46.0,50,2.994635
-50.0,50,3.072813
-50.0,50,3.147151
-49.0,50,3.229641
-50.0,50,3.30876
-46.0,50,3.389098
-50.0,50,3.466668
-50.0,50,3.55326
-50.0,50,3.631976
-46.0,50,3.705744
-50.0,50,3.792017
-50.0,50,3.883509
-50.0,50,3.97428
-50.0,50,4.064994
-48.0,50,4.268493
-50.0,50,4.35159
-50.0,50,4.425598
-45.0,50,4.503616
-46.0,50,4.592222
-50.0,50,4.67202
-50.0,50,4.762941
-50.0,50,4.840569
-48.0,50,4.915367
-49.0,50,5.001016
-50.0,50,5.087829
-46.0,50,5.166627
-40.0,50,5.244874
-50.0,50,5.321032
-50.0,50,5.40252
-50.0,50,5.480776
-50.0,50,5.560436
-50.0,50,5.642626
-50.0,50,5.72723
-50.0,50,5.816538
-50.0,50,5.899384
-49.0,50,5.976486
-50.0,50,6.056323
-50.0,50,6.137868
-50.0,50,6.220246
-34.0,50,6.293643
-50.0,50,6.373859
-45.0,50,6.451054
-50.0,50,6.533501
-48.0,50,6.613894
-43.0,50,6.690614
-50.0,50,6.764435
-50.0,50,6.84729
-50.0,50,6.933846
-50.0,50,7.019436
-50.0,50,7.093423
-50.0,50,7.168827
-50.0,50,7.240324
-50.0,50,7.316129
-50.0,50,7.399868
-48.0,50,7.482972
-50.0,50,7.629845
-50.0,50,7.715626
-50.0,50,7.797738
-50.0,50,7.871578
-50.0,50,7.945821
-50.0,50,8.021866
-50.0,50,8.092793
-50.0,50,8.169865
-50.0,50,8.247173
-50.0,50,8.327769
-50.0,50,8.411439
-50.0,50,8.485169
-50.0,50,8.562471
-50.0,50,8.636703
-50.0,50,8.719043
-50.0,50,8.800909
-50.0,50,8.881636
-49.0,50,8.968704
-45.0,50,9.042813
-50.0,50,9.115744
-50.0,50,9.193448
-50.0,50,9.268891
-50.0,50,9.344579
-50.0,50,9.420765
-50.0,50,9.501017
-48.0,50,9.581745
-50.0,50,9.665855
-50.0,50,9.750882
-50.0,50,9.832577
-50.0,50,9.908362
-48.0,50,10.000167
-50.0,50,10.08411
-50.0,50,10.166764
-50.0,50,10.246712
-50.0,50,10.325709
-50.0,50,10.402876
-50.0,50,10.484992
-50.0,50,10.559951
-47.0,50,10.641784
-50.0,50,10.7244
-42.0,50,10.800927
-48.0,50,10.936763
-46.0,50,11.013697
-50.0,50,11.092337
-50.0,50,11.170949
