eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
50.0,-49.15,568,0.0012911428,0.0040283203,5.6748195,-0.0021355674,73.96223,-0.00010848045349121094,1,2048,3.6019177139969543,2048
50.0,-49.34,591,0.0011352736,0.0025634766,5.6825247,0.00032611197,59.75203,-0.0015652179718017578,10,20480,34.06828321199282,20480
50.0,-49.75,596,0.0007016491,0.0,5.6756644,0.0005784614,53.481842,-0.003913164138793945,20,40960,67.69258445699234,40960
50.0,-49.39,634,0.00078404177,0.00012207031,5.6781425,1.33151625e-05,47.206825,-0.0016585588455200195,30,61440,100.22345686799963,61440
50.0,-49.33,637,0.000111260066,0.0,5.679846,0.00018836747,43.00521,-0.0010538101196289062,40,81920,132.19782468798803,81920
50.0,-49.25,643,0.0005727154,0.0,5.6805463,-0.00046256155,40.315216,-0.00027048587799072266,50,102400,163.9745123849716,102400
50.0,-49.45,627,0.000404383,0.0,5.6843796,4.5959256e-05,39.421673,4.70280647277832e-05,60,122880,196.07391713297693,122880
50.0,-49.68,635,0.0002435676,0.0,5.685653,-0.00063406455,39.750175,-0.00018453598022460938,70,143360,228.01189426297788,143360
50.0,-49.49,607,0.00056637026,0.0,5.686534,-0.0009228339,42.02267,-0.0002676248550415039,80,163840,260.64779244698,163840
50.0,-49.56,626,0.0021819079,0.020141602,5.6852627,-0.0019774444,44.299477,-0.00012743473052978516,90,184320,293.48965995997423,184320
50.0,-49.88,585,0.0061566937,0.0814209,5.664446,-0.0033671581,48.427025,-1.5616416931152344e-05,100,204800,326.5863138639834,204800
50.0,-49.87,578,0.004863845,0.057739258,5.650027,-0.0017759531,50.913975,0.0010434389114379883,110,225280,361.2959401119733,225280
50.0,-49.86,569,0.00022943277,0.0,5.650964,-0.00066740194,42.521004,0.1527072787284851,120,245760,396.0271207819751,245760
50.0,-49.99,560,0.0001251972,0.0,5.653697,1.0290816e-05,32.172512,0.3511432409286499,130,266240,432.1286134549882,266240
50.0,-49.85,535,7.275993e-05,0.0,5.6551285,-0.00028559833,23.819248,0.5111027956008911,140,286720,469.5575482629938,286720
50.0,-49.89,511,0.00024414877,0.0,5.6552444,-0.0005072955,16.125408,0.6722937822341919,150,307200,508.2073090419872,307200
50.0,-49.94,490,0.00017083956,0.0,5.660804,-0.000362279,10.080815,0.8055768460035324,160,327680,548.0839329599985,327680
50.0,-49.88,485,0.00041456122,0.0,5.6582775,-0.0019036221,9.862875,0.8132104873657227,170,348160,589.5897130889934,348160
50.0,-49.92,507,0.00030798974,0.0,5.6508636,-0.00089771516,8.2888365,0.8441311717033386,180,368640,631.170602668979,368640
50.0,-49.94,518,0.0005815247,0.0,5.6439247,-0.001006596,8.456956,0.8367549628019333,190,389120,670.5675586969883,389120
50.0,-49.9,518,0.0015058497,0.0024414062,5.631522,-0.00016376356,8.540132,0.83704674243927,200,409600,709.7655842589738,409600
50.0,-49.94,511,0.0003285955,0.0,5.6211724,-0.0008088802,7.002414,0.8701230436563492,210,430080,748.9886809169839,430080
50.0,-49.97,502,0.0033557354,0.03125,5.611414,-0.0027557095,6.622944,0.8839093446731567,220,450560,788.7592316199734,450560
50.0,-49.97,507,0.0019758407,0.012207031,5.5769644,-0.00017167651,6.5133247,0.8863638713955879,230,471040,828.9851637299871,471040
50.0,-49.89,511,0.0020072937,0.009033203,5.5523496,-0.002679637,5.634869,0.904355876147747,240,491520,868.8333018929989,491520
50.0,-49.87,512,0.00087439123,0.00061035156,5.535676,0.000115218645,5.2925406,0.9085104018449783,250,512000,909.1173774889903,512000
50.0,-49.82,504,0.0024073308,0.015625,5.5356493,-0.00067176926,4.4883766,0.9257571622729301,260,532480,949.3505893639813,532480
50.0,-49.93,508,0.002640576,0.020629883,5.528289,-0.0014902416,4.4725704,0.9234503954648972,270,552960,989.2525910639961,552960
50.0,-49.93,491,0.0027745098,0.025024414,5.5125365,-0.0017156134,4.9866915,0.9152655526995659,280,573440,1030.244535816979,573440
50.0,-49.91,493,0.002211281,0.013916016,5.50304,-0.0007577205,5.1244736,0.9116148427128792,290,593920,1071.274236650992,593920
50.0,-49.89,486,0.0008072696,0.0012207031,5.494087,-0.000384191,4.2064953,0.929642491042614,300,614400,1112.4771617279912,614400
50.0,-49.91,494,0.0010253651,0.0015869141,5.484534,-0.0011869919,2.7636826,0.9530969299376011,310,634880,1154.3807382859814,634880
50.0,-49.9,487,0.0010832702,0.001953125,5.4638257,-0.0021327476,3.8192215,0.937017597258091,320,655360,1195.3926141339762,655360
50.0,-49.9,487,0.0005734456,0.0,5.4508057,-0.00010960507,2.9969487,0.9499536193907261,330,675840,1237.551416028,675840
50.0,-49.89,495,0.001608819,0.005126953,5.4732575,0.00021057646,2.6001115,0.9575147181749344,340,696320,1279.6855393549777,696320
50.0,-49.97,485,0.0005151581,0.00048828125,5.420626,-0.0006767408,2.363306,0.960969228297472,350,716800,1321.824747681996,716800
50.0,-49.88,480,0.002543163,0.018554688,5.419464,-0.003266997,1.9975857,0.9680069945752621,360,737280,1363.941756782995,737280
50.0,-49.93,474,0.0038076336,0.034057617,5.408571,0.0018042426,3.1467535,0.9492725543677807,370,757760,1405.9785081169975,757760
50.0,-49.91,480,0.0030165191,0.032226562,5.3881593,-0.0005309045,1.9116331,0.9689611736685038,380,778240,1448.5122791619797,778240
50.0,-49.95,475,0.0010337855,0.0018310547,5.3836226,0.0004206497,1.5552518,0.975071320310235,390,798720,1491.3183885769977,798720
50.0,-49.94,479,0.0016336868,0.0073242188,5.3745604,5.8080506e-05,1.473588,0.9765768777579069,400,819200,1533.902560255985,819200
50.0,-49.94,488,0.005739366,0.07434082,5.3684783,-0.00546505,1.4893671,0.9762818869203329,410,839680,1576.1431315779919,839680
50.0,-49.95,477,0.004798761,0.06225586,5.3423615,-0.00078876386,1.4200181,0.9771557319909334,420,860160,1618.8478411539982,860160
50.0,-49.9,484,0.00061891094,0.0007324219,5.288951,4.9445778e-05,1.6912179,0.9730593096464872,430,880640,1661.477908093977,880640
50.0,-49.96,457,0.0013544139,0.005126953,5.281702,-0.0009989755,1.00805,0.9838119503110647,440,901120,1703.9409020989842,901120
50.0,-49.94,481,0.00070270506,0.0008544922,5.2617264,-0.00079952064,1.3955636,0.9776837304234505,450,921600,1747.405414045992,921600
50.0,-49.93,476,0.0006374915,0.0008544922,5.2563686,-0.0009935646,1.4301366,0.9777285885065794,460,942080,1790.1019765709934,942080
50.0,-49.92,478,0.0008305296,0.00036621094,5.2547717,-0.0007286805,1.2413751,0.9808253422379494,470,962560,1832.7252319679828,962560
50.0,-49.91,479,0.0004915442,0.00012207031,5.2500806,0.00087430055,1.214602,0.9814323056489229,480,983040,1875.1297449569975,983040
