# {"t_start": 1619516747.8928072, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,1.211126
-50.0,50,1.303735
-50.0,50,1.388366
-46.0,50,1.46502
-50.0,50,1.565527
-49.0,50,1.660099
-50.0,50,1.761935
-50.0,50,1.85551
-50.0,50,1.952578
-50.0,50,2.058421
-50.0,50,2.153277
-50.0,50,2.245999
-50.0,50,2.33943
-50.0,50,2.432841
-50.0,50,2.529361
-47.0,50,2.623631
-50.0,50,2.723135
-50.0,50,2.812414
-48.0,50,2.907149
-50.0,50,2.999021
-50.0,50,3.335745
-50.0,50,3.422028
-50.0,50,3.513438
-50.0,50,3.6052
-50.0,50,3.694844
-50.0,50,3.782532
-50.0,50,3.871815
-50.0,50,3.957414
-50.0,50,4.049126
-50.0,50,4.136751
-48.0,50,4.219378
-49.0,50,4.305177
-43.0,50,4.39064
-50.0,50,4.47499
-50.0,50,4.559769
-44.0,50,4.644859
-49.0,50,4.742899
-50.0,50,4.838136
-50.0,50,4.931265
-50.0,50,5.023353
-44.0,50,5.22858
-50.0,50,5.317922
-50.0,50,5.406304
-50.0,50,5.501869
-50.0,50,5.593987
-50.0,50,5.683318
-50.0,50,5.768894
-50.0,50,5.862845
-50.0,50,5.953279
-50.0,50,6.047285
-49.0,50,6.140758
-50.0,50,6.230989
-50.0,50,6.32337
-50.0,50,6.415734
-48.0,50,6.508555
-50.0,50,6.613781
-50.0,50,6.707947
-50.0,50,6.797337
-50.0,50,6.893106
-50.0,50,6.986832
-50.0,50,7.082774
-47.0,50,7.297374
-50.0,50,7.389442
-50.0,50,7.485674
-50.0,50,7.566833
-47.0,50,7.658339
-50.0,50,7.761299
-50.0,50,7.853004
-50.0,50,7.943285
-50.0,50,8.034222
-50.0,50,8.128367
-50.0,50,8.219933
-50.0,50,8.322366
-50.0,50,8.413549
-50.0,50,8.506591
-50.0,50,8.604217
-50.0,50,8.696237
-50.0,50,8.79131
-48.0,50,8.887307
-50.0,50,8.978747
-50.0,50,9.078235
-50.0,50,9.278194
-50.0,50,9.371992
-47.0,50,9.458662
-48.0,50,9.546881
-50.0,50,9.638042
-50.0,50,9.73225
-50.0,50,9.828471
-50.0,50,9.920706
-50.0,50,10.014073
-50.0,50,10.10971
-48.0,50,10.20275
-50.0,50,10.298201
-50.0,50,10.389431
-50.0,50,10.478556
-50.0,50,10.568927
-44.0,50,10.663185
-50.0,50,10.756511
-50.0,50,10.849285
-50.0,50,10.938599
-50.0,50,11.031951
-44.0,50,11.121434
-50.0,50,11.329555
-50.0,50,11.420367
-50.0,50,11.512205
-50.0,50,11.602659
-50.0,50,11.692336
-47.0,50,11.77543
-50.0,50,11.869025
-50.0,50,11.959256
-50.0,50,12.055168
-50.0,50,12.148692
-50.0,50,12.23716
-50.0,50,12.334707
-50.0,50,12.432082
-50.0,50,12.52425
-50.0,50,12.624208
-50.0,50,12.723043
-50.0,50,12.819433
-50.0,50,12.912992
-50.0,50,13.005323
-50.0,50,13.102358
-49.0,50,13.302722
-50.0,50,13.397097
-50.0,50,13.496093
-48.0,50,13.589454
-50.0,50,13.682629
-50.0,50,13.775552
-50.0,50,13.870855
-43.0,50,13.965033
-50.0,50,14.057636
-47.0,50,14.147174
-50.0,50,14.241778
-47.0,50,14.335817
-50.0,50,14.432259
-50.0,50,14.536202
-50.0,50,14.639073
-50.0,50,14.741924
-50.0,50,14.839962
-41.0,50,14.932506
-50.0,50,15.030129
-50.0,50,15.122942
-50.0,50,15.213338
-46.0,50,15.418288
-50.0,50,15.506929
-50.0,50,15.604476
-50.0,50,15.69233
-49.0,50,15.785456
-50.0,50,15.875422
-50.0,50,15.972073
-50.0,50,16.070119
-50.0,50,16.162945
-49.0,50,16.252978
-50.0,50,16.339306
-50.0,50,16.431705
-49.0,50,16.528157
-50.0,50,16.623973
-48.0,50,16.71921
-50.0,50,16.8061
-48.0,50,16.89658
-50.0,50,16.985517
-50.0,50,17.077487
-49.0,50,17.166919
-50.0,50,17.373173
-50.0,50,17.473528
-49.0,50,17.57196
-50.0,50,17.672274
-49.0,50,17.766021
-48.0,50,17.856601
-48.0,50,17.947283
-50.0,50,18.037457
-43.0,50,18.138235
-50.0,50,18.229259
-50.0,50,18.325274
-50.0,50,18.423156
-41.0,50,18.519566
-50.0,50,18.619222
-50.0,50,18.709493
-50.0,50,18.80845
-50.0,50,18.902138
-50.0,50,18.990017
-49.0,50,19.078222
-50.0,50,19.164612
-50.0,50,19.258988
-48.0,50,19.45662
-46.0,50,19.544588
-50.0,50,19.637948
-49.0,50,19.73224
-50.0,50,19.822867
-50.0,50,19.929078
-50.0,50,20.028643
-50.0,50,20.12104
-50.0,50,20.215755
-50.0,50,20.314711
-50.0,50,20.411641
-50.0,50,20.506196
-50.0,50,20.605088
-49.0,50,20.70048
-50.0,50,20.802699
-49.0,50,20.891699
-50.0,50,20.99708
-50.0,50,21.088586
-50.0,50,21.184466
-50.0,50,21.279308
-50.0,50,21.463214
-42.0,50,21.559364
-44.0,50,21.647189
-50.0,50,21.737156
-50.0,50,21.827716
-50.0,50,21.918509
-50.0,50,22.010067
-50.0,50,22.105146
-50.0,50,22.209156
-49.0,50,22.302476
-50.0,50,22.393476
-45.0,50,22.487856
-50.0,50,22.580023
-50.0,50,22.672779
-50.0,50,22.763999
-50.0,50,22.860774
-50.0,50,22.950787
-49.0,50,23.044744
-50.0,50,23.136864
-50.0,50,23.233574
-40.0,50,23.32371
-50.0,50,23.533991
-49.0,50,23.630858
-50.0,50,23.72642
-50.0,50,23.82708
-50.0,50,23.929794
-50.0,50,24.025872
-49.0,50,24.115744
-50.0,50,24.213871
-50.0,50,24.311312
-50.0,50,24.404588
-50.0,50,24.503451
-50.0,50,24.603673
-46.0,50,24.705663
-50.0,50,24.805125
-49.0,50,24.900357
-46.0,50,24.992831
-50.0,50,25.091791
-50.0,50,25.187616
-45.0,50,25.290891
-50.0,50,25.382845
-46.0,50,25.597343
-50.0,50,25.697029
-50.0,50,25.792139
-50.0,50,25.889575
-50.0,50,25.986728
-50.0,50,26.081268
-50.0,50,26.188235
-50.0,50,26.285817
-50.0,50,26.386643
-50.0,50,26.49104
-50.0,50,26.585431
-47.0,50,26.677733
-50.0,50,26.772897
-49.0,50,26.870648
-50.0,50,26.970333
-50.0,50,27.064761
-50.0,50,27.157369
-50.0,50,27.248876
-50.0,50,27.354373
-50.0,50,27.456151
-50.0,50,27.552513
-50.0,50,27.755217
-50.0,50,27.851142
-50.0,50,27.942636
-50.0,50,28.024998
-50.0,50,28.112257
-50.0,50,28.211292
-50.0,50,28.311336
-50.0,50,28.406705
-50.0,50,28.501762
-50.0,50,28.598421
-50.0,50,28.712608
-50.0,50,28.808749
-50.0,50,28.887923
-50.0,50,28.979416
-50.0,50,29.068483
-50.0,50,29.165927
-50.0,50,29.266608
-50.0,50,29.366503
-50.0,50,29.446813
-50.0,50,29.537562
-50.0,50,29.751093
-49.0,50,29.831445
-50.0,50,29.934206
-46.0,50,30.029625
-48.0,50,30.124862
-50.0,50,30.227753
-50.0,50,30.324738
-50.0,50,30.419433
-50.0,50,30.514704
-50.0,50,30.619602
-50.0,50,30.714934
-49.0,50,30.809221
-50.0,50,30.902891
-50.0,50,30.996936
-45.0,50,31.091962
-50.0,50,31.186122
-50.0,50,31.288141
-50.0,50,31.387816
-49.0,50,31.491651
-50.0,50,31.586308
-50.0,50,31.685895
-50.0,50,31.89435
-50.0,50,31.986429
-48.0,50,32.080361
-50.0,50,32.173969
-46.0,50,32.270729
-50.0,50,32.371763
-48.0,50,32.470089
-48.0,50,32.552402
-50.0,50,32.635996
-50.0,50,32.738924
-50.0,50,32.836618
-49.0,50,32.932434
-50.0,50,33.022455
-50.0,50,33.1178
-50.0,50,33.192828
-50.0,50,33.270146
-50.0,50,33.347688
-50.0,50,33.436234
-50.0,50,33.534362
-50.0,50,33.628355
-50.0,50,33.8275
-50.0,50,33.927027
-50.0,50,34.024453
-50.0,50,34.111608
-50.0,50,34.209935
-50.0,50,34.30844
-50.0,50,34.402493
-50.0,50,34.507247
-47.0,50,34.591794
-50.0,50,34.678677
-50.0,50,34.778297
-50.0,50,34.87203
-50.0,50,34.965175
-50.0,50,35.065053
-50.0,50,35.180474
-50.0,50,35.273864
-50.0,50,35.370538
-50.0,50,35.469806
-50.0,50,35.572173
-50.0,50,35.650729
-50.0,50,35.7448
-50.0,50,35.957926
-47.0,50,36.056773
-50.0,50,36.161394
-44.0,50,36.253812
-50.0,50,36.350163
-50.0,50,36.453229
-50.0,50,36.548194
-50.0,50,36.650792
-50.0,50,36.745841
-50.0,50,36.852253
-50.0,50,36.945752
-50.0,50,37.042721
-50.0,50,37.136179
-50.0,50,37.233294
-50.0,50,37.336134
-50.0,50,37.432964
-50.0,50,37.525881
-50.0,50,37.621856
-49.0,50,37.724588
-50.0,50,37.818234
-43.0,50,38.021209
-50.0,50,38.133943
-50.0,50,38.236489
-50.0,50,38.327116
-41.0,50,38.403448
-50.0,50,38.503218
-50.0,50,38.601023
-50.0,50,38.699635
-50.0,50,38.793493
-50.0,50,38.901911
-50.0,50,38.997998
-50.0,50,39.094528
-50.0,50,39.194245
-42.0,50,39.292414
-50.0,50,39.390391
-50.0,50,39.481372
-50.0,50,39.571428
-45.0,50,39.670926
-50.0,50,39.772222
-50.0,50,39.881917
-49.0,50,39.975613
-50.0,50,40.186467
-50.0,50,40.281469
-50.0,50,40.377958
-50.0,50,40.461133
-50.0,50,40.5753
-50.0,50,40.680689
-50.0,50,40.769144
-50.0,50,40.864954
-50.0,50,40.962498
-50.0,50,41.060327
-50.0,50,41.162223
-50.0,50,41.269262
-50.0,50,41.362238
-50.0,50,41.454439
-50.0,50,41.546986
-50.0,50,41.64293
-50.0,50,41.735619
-43.0,50,41.827221
-50.0,50,41.927246
-50.0,50,42.019379
-48.0,50,42.240482
-50.0,50,42.348591
-50.0,50,42.446718
-47.0,50,42.546349
-50.0,50,42.640343
-50.0,50,42.732854
-48.0,50,42.83159
-50.0,50,42.92691
-50.0,50,43.003614
-50.0,50,43.078734
-43.0,50,43.172037
-49.0,50,43.278078
-50.0,50,43.377624
-50.0,50,43.475096
-50.0,50,43.566849
-49.0,50,43.66164
-50.0,50,43.759791
-50.0,50,43.862971
-50.0,50,43.964356
-50.0,50,44.05985
-50.0,50,44.151634
-48.0,50,44.363146
-50.0,50,44.466311
-46.0,50,44.573957
-50.0,50,44.674088
-50.0,50,44.770942
-50.0,50,44.864245
-50.0,50,44.958724
-50.0,50,45.053029
-45.0,50,45.147687
-50.0,50,45.237122
-46.0,50,45.313106
-50.0,50,45.410452
-49.0,50,45.50522
-50.0,50,45.59558
-50.0,50,45.687847
-50.0,50,45.77995
-41.0,50,45.879362
-48.0,50,45.981054
-50.0,50,46.085151
-50.0,50,46.180844
-50.0,50,46.399581
-45.0,50,46.494661
-50.0,50,46.588477
-50.0,50,46.692806
-48.0,50,46.809383
-46.0,50,46.902256
-50.0,50,47.011097
-50.0,50,47.110254
-50.0,50,47.207175
-47.0,50,47.307969
-50.0,50,47.392428
-50.0,50,47.487141
-50.0,50,47.587632
-50.0,50,47.674584
-50.0,50,47.772936
-50.0,50,47.876631
-50.0,50,47.969224
-50.0,50,48.062384
-50.0,50,48.15058
-50.0,50,48.234899
-50.0,50,48.328389
-50.0,50,48.530464
-50.0,50,48.625378
-49.0,50,48.719432
-50.0,50,48.812483
-48.0,50,48.901922
-50.0,50,48.992422
-50.0,50,49.083029
-50.0,50,49.175419
-49.0,50,49.265329
-50.0,50,49.355135
-50.0,50,49.444687
-50.0,50,49.538674
-50.0,50,49.627945
-50.0,50,49.718596
-50.0,50,49.810618
-50.0,50,49.899861
-50.0,50,49.991055
-41.0,50,50.081413
-50.0,50,50.173357
-50.0,50,50.269737
-48.0,50,50.474871
-50.0,50,50.569499
-50.0,50,50.65986
-50.0,50,50.752599
-50.0,50,50.838195
-50.0,50,50.92722
-50.0,50,51.020359
-50.0,50,51.112432
-50.0,50,51.202388
-50.0,50,51.290905
-48.0,50,51.385113
-50.0,50,51.474247
-50.0,50,51.571512
-50.0,50,51.667759
-50.0,50,51.76945
-50.0,50,51.86642
-50.0,50,51.958629
-50.0,50,52.056422
-50.0,50,52.156996
-50.0,50,52.254056
-50.0,50,52.341279
-50.0,50,52.536488
-50.0,50,52.638393
-50.0,50,52.737669
-50.0,50,52.847652
-50.0,50,52.944014
-50.0,50,53.040353
