EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-49.5,20,20,2.3243627548217773,1000,0.0,5.6738205,-0.00046372413635253906,0.000673431,0.0068751834,0.0068751834
50.0,-49.325,20,40,4.266564846038818,2000,0.0,5.6721454,0.0004889369010925293,0.000746767,0.0062974487,0.0062974487
50.0,-49.35,21,61,6.280367851257324,3050,0.0,5.686823,0.0006276369094848633,0.0007991638,0.006133225,0.006133225
50.0,-49.725,20,81,8.311006307601929,4050,0.0,5.6922765,0.0018784403800964355,0.00084641017,0.007389482,0.007389482
50.0,-49.4,21,102,10.311821460723877,5100,0.0,5.6891704,-0.0013617277145385742,0.00076820224,0.005917076,0.005917076
50.0,-49.45,20,122,12.333420991897583,6100,0.0,5.6853304,0.00037366151809692383,0.0007295444,0.005388368,0.005388368
50.0,-49.3,21,143,14.398892641067505,7150,0.0,5.6869736,0.00026977062225341797,0.0006923358,0.006350249,0.006350249
50.0,-49.1,20,163,16.399166584014893,8150,0.0,5.66156,0.0008368492126464844,0.000832357,0.0072063617,0.0072063617
50.0,-49.225,21,184,18.433064460754395,9200,0.0,5.6570387,0.0005553960800170898,0.00080448645,0.0070085563,0.0070085563
50.0,-49.2,20,204,20.490130186080933,10200,0.0,5.66433,0.0005154609680175781,0.0007836903,0.0059077665,0.0059077665
50.0,-49.05,21,225,22.499540090560913,11250,0.0,5.669747,-0.00013244152069091797,0.0007396091,0.0065619648,0.0065619648
50.0,-48.825,20,245,24.607983827590942,12250,0.0,5.6626134,0.00042247772216796875,0.00081117405,0.006519858,0.006519858
50.0,-49.4,21,266,26.722188472747803,13300,0.0,5.654514,0.0004175901412963867,0.00091761834,0.006735988,0.006735988
50.0,-49.9,20,286,28.762171268463135,14300,0.0,5.6527715,0.0006207823753356934,0.0007382999,0.006083075,0.006083075
50.0,-49.65,21,307,30.85842227935791,15350,0.0,5.6665454,0.00013071298599243164,0.00094934274,0.007239897,0.007239897
50.0,-49.375,20,327,32.83516836166382,16350,0.0,5.6699452,0.00014293193817138672,0.0008376127,0.007689342,0.007689342
50.0,-49.65,21,348,34.91555070877075,17400,0.0,5.6668034,0.0002904534339904785,0.0007099869,0.005572688,0.005572688
50.0,-49.675,20,368,37.02778744697571,18400,0.0,5.6914005,3.0934810638427734e-05,0.0008262641,0.007850889,0.007850889
50.0,-49.0,21,389,39.13618993759155,19450,0.0,5.7006655,0.00014585256576538086,0.00086660514,0.0054073986,0.0054073986
50.0,-49.25,20,409,41.23152446746826,20450,0.0,5.710763,0.0002853274345397949,0.00078257866,0.006069308,0.006069308
50.0,-49.425,21,430,43.3090603351593,21500,0.0,5.716973,0.0004760622978210449,0.0008307978,0.006406609,0.006406609
50.0,-48.975,20,450,45.39715123176575,22500,0.0,5.7087345,0.00018012523651123047,0.00079073745,0.0079340525,0.0079340525
50.0,-49.025,21,471,47.48209524154663,23550,0.0,5.7034206,0.00018590688705444336,0.0006830576,0.006709514,0.006709514
50.0,-49.325,20,491,49.47052240371704,24550,0.0,5.698612,8.291006088256836e-05,0.0008577451,0.0064332522,0.0064332522
50.0,-49.575,21,512,51.48807954788208,25600,0.0,5.6996346,-6.020069122314453e-05,0.0008581563,0.00860513,0.00860513
50.0,-49.75,20,532,53.54464602470398,26600,0.0,5.6973567,0.0006777644157409668,0.00086107105,0.0072075725,0.0072075725
50.0,-49.625,20,552,55.573057889938354,27600,0.0,5.699363,2.568960189819336e-05,0.0007295817,0.0069734566,0.0069734566
50.0,-49.45,21,573,57.618016958236694,28650,0.0,5.7158437,2.4497509002685547e-05,0.00089616014,0.007710045,0.007710045
50.0,-49.525,20,593,59.47650194168091,29650,0.0,5.7309456,-0.00028645992279052734,0.00072117173,0.005724054,0.005724054
50.0,-49.6,21,614,61.40992188453674,30700,0.0,5.7286954,0.0003516077995300293,0.00071255764,0.005388731,0.005388731
50.0,-49.05,20,634,63.29999876022339,31700,0.0,5.7000546,0.0001995563507080078,0.0008220623,0.007462673,0.007462673
50.0,-49.0,21,655,65.26070380210876,32750,0.0,5.7179837,-1.9073486328125e-05,0.0006887145,0.006638039,0.006638039
50.0,-49.325,20,675,67.31207418441772,33750,0.0,5.732612,0.00012868642807006836,0.00078133494,0.008745097,0.008745097
50.0,-49.05,21,696,69.37065005302429,34800,0.0,5.7408566,0.0003783702850341797,0.0007522777,0.00623348,0.00623348
50.0,-49.25,20,716,71.39750981330872,35800,0.0,5.721817,0.000274658203125,0.0008165423,0.004325047,0.004325047
50.0,-49.65,21,737,73.39458560943604,36850,0.0,5.7057543,0.0003101825714111328,0.0007771708,0.007925585,0.007925585
50.0,-49.8,20,757,75.42527318000793,37850,0.0,5.6959124,0.00028139352798461914,0.00089989055,0.008270416,0.008270416
50.0,-48.975,21,778,77.44922423362732,38900,0.0,5.695419,0.0003466606140136719,0.00083372794,0.0066551343,0.0066551343
50.0,-48.65,20,798,79.50738072395325,39900,0.0,5.70713,0.00018602609634399414,0.00088871754,0.0074494183,0.0074494183
50.0,-49.35,21,819,81.5097222328186,40950,0.0,5.7058864,0.00019425153732299805,0.0007837135,0.0070250332,0.0070250332
50.0,-49.525,20,839,83.52770495414734,41950,0.0,5.702885,0.0005207061767578125,0.0008318824,0.006069742,0.006069742
50.0,-49.05,21,860,85.55164217948914,43000,0.0,5.6742864,0.0002779960632324219,0.0009183166,0.007901235,0.007901235
50.0,-49.125,20,880,87.5156762599945,44000,0.0,5.6801915,0.00025576353073120117,0.0007710229,0.0062736236,0.0062736236
50.0,-49.45,21,901,89.45932817459106,45050,0.0,5.692028,0.00036078691482543945,0.0007750733,0.0066562835,0.0066562835
50.0,-48.875,20,921,91.37964820861816,46050,0.0,5.683467,0.0003522038459777832,0.00072828477,0.0048838556,0.0048838556
50.0,-48.95,21,942,93.36226606369019,47100,0.0,5.6832767,0.00044405460357666016,0.00085711194,0.0058188513,0.0058188513
50.0,-49.025,20,962,95.3025906085968,48100,0.0,5.6781507,-4.1365623474121094e-05,0.0007836697,0.007048212,0.007048212
50.0,-48.875,21,983,97.3367805480957,49150,0.0,5.7105465,0.0005474686622619629,0.0008700604,0.00814845,0.00814845
50.0,-48.925,20,1003,99.41497731208801,50150,0.0,5.720409,0.000719904899597168,0.0007429704,0.0057921447,0.0057921447
50.0,-49.25,21,1024,101.38535213470459,51200,0.0,5.721908,0.0008773207664489746,0.0007397028,0.006272977,0.006272977
50.0,-49.475,20,1044,103.50210523605347,52200,0.0,5.72469,0.0004570484161376953,0.0007202555,0.008278742,0.008278742
50.0,-49.3,20,1064,105.57226634025574,53200,0.0,5.73436,0.00026607513427734375,0.00076775515,0.0074081942,0.0074081942
50.0,-49.2,21,1085,107.58546328544617,54250,0.0,5.749347,0.0008644461631774902,0.0008049208,0.007074099,0.007074099
50.0,-49.7,20,1105,109.5877320766449,55250,0.0,5.7404246,0.00043123960494995117,0.0008851192,0.006715622,0.006715622
50.0,-49.85,21,1126,111.62295937538147,56300,0.0,5.721822,0.0005357861518859863,0.0008424032,0.006481003,0.006481003
50.0,-49.725,20,1146,113.66658163070679,57300,0.0,5.717933,-9.703636169433594e-05,0.0009483426,0.0067327097,0.0067327097
50.0,-49.825,21,1167,115.66464519500732,58350,0.0,5.7171245,0.0001342296600341797,0.0008301973,0.006302856,0.006302856
50.0,-49.825,20,1187,117.70556044578552,59350,0.0,5.73058,0.0003102421760559082,0.00086472125,0.00670857,0.00670857
50.0,-49.675,21,1208,119.79771304130554,60400,0.0,5.716458,0.000682532787322998,0.0008738516,0.0061822496,0.0061822496
50.0,-49.775,20,1228,121.83061742782593,61400,0.0,5.720421,-5.6862831115722656e-05,0.00088526326,0.0065036416,0.0065036416
50.0,-48.45,21,1249,123.84880590438843,62450,0.0,5.71101,2.086162567138672e-05,0.00084496976,0.0071013533,0.0071013533
50.0,-47.875,20,1269,125.9661967754364,63450,0.0,5.707291,0.00030922889709472656,0.00071913673,0.006879665,0.006879665
50.0,-49.125,21,1290,128.0181291103363,64500,0.0,5.7035794,0.00018459558486938477,0.0008081731,0.0080722235,0.0080722235
