# {"t_start": 1619451408.6934102, "env_id": "HalfCheetah-v2"} 
r,l,t
-412.543085,1000,5.119274
-319.971211,1000,9.290353
-361.659463,1000,13.510094
-449.045501,1000,17.685332
-591.031582,1000,21.922839
-390.676235,1000,26.157691
-381.511358,1000,30.417626
-538.460276,1000,34.58221
-461.022663,1000,38.881782
-444.319855,1000,42.922038
-662.883818,1000,47.105742
-425.210614,1000,51.316054
-700.008489,1000,55.558331
-943.077038,1000,59.833139
-851.160523,1000,64.081039
-1124.156354,1000,68.347053
-488.36997,1000,72.581544
-441.529618,1000,76.787629
-584.541138,1000,81.136178
-598.118973,1000,85.374202
-600.603655,1000,89.620308
-601.365985,1000,93.853952
-600.14097,1000,98.079961
-600.270093,1000,102.267368
-602.140531,1000,106.479399
-599.99605,1000,110.717779
-587.261105,1000,114.970088
-602.338862,1000,119.238961
-599.044607,1000,123.547357
-600.762958,1000,127.768359
-602.910142,1000,132.086646
-602.102133,1000,136.293581
-600.962596,1000,140.607635
-602.095386,1000,144.809734
-601.546732,1000,149.093079
-600.696205,1000,153.293835
-597.367272,1000,157.609093
-321.363916,1000,161.801749
-491.879896,1000,166.123867
-588.380501,1000,170.271648
-594.668751,1000,174.599385
-501.835362,1000,178.750341
-591.031364,1000,183.033104
-596.054207,1000,187.311007
-563.786583,1000,191.596083
-445.334745,1000,195.802056
-591.009273,1000,200.075473
-595.603944,1000,204.268003
-1193.60101,1000,208.530077
-596.536528,1000,212.775195
-497.411444,1000,217.105335
-598.433526,1000,221.397759
-552.83937,1000,225.703545
-598.762341,1000,229.972511
-594.277163,1000,234.188793
-739.924479,1000,238.40897
-591.210417,1000,242.726139
-541.819377,1000,246.931938
-532.128466,1000,251.218864
-222.272188,1000,255.448335
-123.371265,1000,259.778742
-548.07971,1000,264.021664
-511.398961,1000,268.341999
-581.28212,1000,272.589701
-584.231244,1000,276.852553
-417.221684,1000,281.038125
-603.865876,1000,285.383621
-610.394285,1000,289.680725
-924.718261,1000,293.971493
-606.516425,1000,298.216202
-429.075479,1000,302.579344
-738.22303,1000,306.786557
-645.009055,1000,311.016745
-603.096784,1000,315.231614
-596.72971,1000,319.569331
-581.511465,1000,323.87905
-593.994842,1000,328.395846
-586.361514,1000,332.549078
-544.124936,1000,336.835304
-311.023922,1000,341.009201
-546.316965,1000,345.308316
-554.14652,1000,349.573388
-489.45495,1000,353.833897
-956.601911,1000,358.002654
-787.670315,1000,362.281569
-138.610088,1000,366.410342
-517.899129,1000,370.709749
-506.6235,1000,374.942016
-573.100776,1000,379.300538
-518.539979,1000,383.445409
-1047.059214,1000,387.794947
-679.242299,1000,391.974335
-393.479163,1000,396.301846
-589.64359,1000,400.477318
-552.392069,1000,404.842715
-597.26709,1000,409.101434
-597.116254,1000,413.445193
-599.223774,1000,417.624897
-592.975867,1000,421.949302
-589.488011,1000,426.265559
-596.620322,1000,430.497417
-597.542605,1000,434.783967
-599.355212,1000,439.02809
-598.820052,1000,443.157777
-600.759398,1000,447.386787
-596.216765,1000,451.533056
-599.996974,1000,455.772536
-601.747955,1000,460.027232
-599.735596,1000,464.305391
-596.774088,1000,468.374659
-600.421016,1000,472.748182
-602.530023,1000,476.99391
-608.912999,1000,481.327372
-599.2545,1000,485.560691
-551.47743,1000,489.954451
-1192.502493,1000,494.052302
-1079.552177,1000,498.350907
-598.24742,1000,502.548281
-583.712731,1000,506.908041
-592.362491,1000,511.096048
-600.066695,1000,515.385437
-567.171271,1000,519.582057
-597.847708,1000,524.026605
-595.728311,1000,528.247574
-598.808965,1000,532.664722
-541.98406,1000,536.937808
-598.693941,1000,541.326807
-598.632926,1000,545.478618
-598.3479,1000,549.759866
-598.406708,1000,554.019935
-598.976639,1000,558.35067
-592.143107,1000,562.514651
-597.302365,1000,566.915893
-597.031087,1000,571.032989
-597.9482,1000,575.368845
-601.295918,1000,579.613396
-599.263201,1000,584.050368
-601.612132,1000,588.300099
-603.468549,1000,592.734577
-601.866943,1000,596.959396
-602.456297,1000,601.29447
-603.265501,1000,605.512704
-602.8413,1000,609.882102
-267.811551,1000,614.095829
-519.44342,1000,618.481246
-604.771545,1000,622.736198
-603.660179,1000,627.130027
-598.655512,1000,631.347651
-601.08839,1000,635.71971
-606.93937,1000,639.89243
-601.436113,1000,644.194519
-610.73953,1000,648.39607
-544.287249,1000,652.882208
-609.096963,1000,657.108928
-602.762986,1000,661.517044
-608.577229,1000,665.763064
