# {"t_start": 1619455914.066754, "env_id": "HalfCheetah-v2"} 
r,l,t
-229.297692,1000,2.888788
-338.930373,1000,4.865062
-436.834481,1000,7.603734
-349.242867,1000,9.614341
-358.465097,1000,12.339117
-176.701928,1000,14.351733
-300.758413,1000,17.075173
-320.786256,1000,19.05611
-318.594564,1000,21.632321
-361.198719,1000,23.571291
-303.390608,1000,26.204664
-454.948482,1000,28.209792
-345.713032,1000,30.902796
-390.696051,1000,32.811319
-220.883046,1000,35.507656
-396.520817,1000,37.482568
-335.565097,1000,40.137043
-350.981903,1000,42.073934
-341.677946,1000,44.796427
-330.337475,1000,46.630567
-274.789892,1000,49.30511
-244.050221,1000,51.319802
-313.992705,1000,54.017546
-234.332162,1000,56.065915
-313.984302,1000,58.800157
-285.600955,1000,60.780977
-327.842967,1000,63.479517
-208.766844,1000,65.490361
-196.255592,1000,68.113649
-407.924488,1000,70.13979
-244.748298,1000,72.86639
-382.128547,1000,74.869809
-291.95037,1000,77.625993
-244.238679,1000,79.627111
-289.624036,1000,82.371054
-213.522717,1000,84.355921
-239.862918,1000,87.038009
-271.099539,1000,89.053083
-158.282179,1000,91.74365
-313.542065,1000,93.725555
-249.307041,1000,96.489592
-191.781427,1000,98.504879
-183.100585,1000,100.522068
-191.820395,1000,103.244915
-178.607071,1000,105.233095
-206.743892,1000,107.955401
-111.569152,1000,109.942791
-192.052868,1000,112.675869
-188.69039,1000,114.665527
-99.110325,1000,117.414018
-92.633672,1000,119.442824
-154.210539,1000,122.231566
-125.822214,1000,124.204568
-80.345581,1000,126.90261
-101.797454,1000,128.906245
-102.322281,1000,131.520574
-51.895718,1000,133.496614
-106.384397,1000,136.173759
-33.796317,1000,138.123824
-36.540928,1000,140.761934
-37.693113,1000,142.803349
-54.817035,1000,145.432366
-42.338972,1000,147.37215
-34.966976,1000,150.084795
0.985296,1000,152.131479
15.203464,1000,154.788684
-48.419025,1000,156.801849
-3.973313,1000,159.443542
49.873206,1000,161.422704
14.858502,1000,164.054797
21.918422,1000,166.0409
85.924301,1000,168.754672
44.622661,1000,170.719195
77.807891,1000,173.364288
46.491669,1000,175.380069
139.016134,1000,178.071258
55.190272,1000,180.098985
149.162601,1000,182.757672
87.448841,1000,184.767224
90.388248,1000,187.421116
39.324298,1000,189.493613
163.289335,1000,192.195226
220.362833,1000,194.245516
124.351889,1000,196.990665
214.306708,1000,198.928339
168.444621,1000,200.924422
202.609356,1000,203.695592
209.717256,1000,205.625153
217.003462,1000,208.26531
225.94782,1000,210.26892
222.148944,1000,212.958619
222.980928,1000,214.936722
205.548177,1000,217.611532
243.042789,1000,219.572829
204.484151,1000,222.308424
228.332469,1000,224.268826
222.834417,1000,226.941787
270.938665,1000,228.928896
298.822893,1000,231.683668
266.461837,1000,233.677771
325.177522,1000,236.397705
372.345265,1000,238.358573
304.58781,1000,241.062867
289.334508,1000,243.094953
369.294944,1000,245.825557
245.050377,1000,247.827917
357.685581,1000,250.419473
392.837871,1000,252.387383
354.311356,1000,255.070007
344.545637,1000,257.044703
279.500673,1000,259.729325
479.913042,1000,261.721511
336.186774,1000,264.402172
326.945133,1000,266.378167
371.349854,1000,269.012565
450.842562,1000,270.983003
435.849138,1000,273.775121
445.031007,1000,275.822455
387.170498,1000,278.485238
322.963168,1000,280.486705
419.275678,1000,283.187508
502.329933,1000,285.226948
462.308395,1000,287.911697
493.522135,1000,290.031262
424.268065,1000,292.727348
394.364988,1000,294.74884
418.865149,1000,297.491923
410.489646,1000,299.489545
533.709203,1000,301.512495
495.666915,1000,304.154266
513.483886,1000,306.122721
463.454026,1000,308.793103
476.717575,1000,310.765227
521.5001,1000,313.535312
463.379843,1000,315.512073
578.235021,1000,318.22669
538.469863,1000,320.259568
627.176966,1000,322.893689
608.640694,1000,324.915002
505.384551,1000,327.624146
469.436278,1000,329.587731
582.208368,1000,332.232344
571.666349,1000,334.263499
553.198526,1000,336.884371
617.930211,1000,338.870706
617.93284,1000,341.494154
588.882052,1000,343.549556
589.254123,1000,346.275306
586.536747,1000,348.276851
686.38249,1000,350.930558
691.988809,1000,352.935086
681.351321,1000,355.629121
594.684645,1000,357.622257
639.046832,1000,360.388009
617.859795,1000,362.401857
692.900951,1000,365.033919
667.723678,1000,367.019446
615.902895,1000,369.699628
636.159199,1000,371.653779
712.939025,1000,374.322005
713.929966,1000,376.306105
627.764407,1000,378.928105
719.769479,1000,380.911602
680.526648,1000,383.55948
700.329874,1000,385.62782
736.835258,1000,388.221113
690.221949,1000,390.24094
718.079278,1000,392.876552
727.048741,1000,394.864951
649.465016,1000,397.610368
765.007143,1000,399.564463
694.910022,1000,401.571321
705.856232,1000,404.27286
759.34307,1000,406.326605
748.37237,1000,409.005223
744.348404,1000,410.984716
698.501785,1000,413.748467
708.510153,1000,415.744925
719.403727,1000,418.374327
760.221048,1000,420.402847
762.075617,1000,423.04412
672.77385,1000,425.007528
849.266918,1000,427.64941
772.913842,1000,429.712613
622.406078,1000,432.379031
700.310568,1000,434.332723
716.145114,1000,436.994878
823.035135,1000,438.984447
821.425723,1000,441.65772
769.137204,1000,443.626967
694.925077,1000,446.305629
766.847637,1000,448.287431
873.461371,1000,450.947818
792.441093,1000,452.967084
817.001337,1000,455.736446
804.78302,1000,457.799175
829.276235,1000,460.478575
842.277688,1000,462.427279
712.495078,1000,465.12524
812.009144,1000,467.146464
739.682754,1000,469.837523
826.480602,1000,471.900062
850.932323,1000,474.525925
878.903228,1000,476.53957
869.545762,1000,479.280494
957.312494,1000,481.268448
834.447011,1000,483.807382
922.370873,1000,485.761068
832.159263,1000,488.535646
947.570993,1000,490.573134
853.6574,1000,493.267058
877.01497,1000,495.209426
863.022743,1000,497.837596
864.267346,1000,499.810269
909.894319,1000,501.738824
857.343878,1000,504.480177
900.310239,1000,506.477252
882.304149,1000,509.159315
911.631506,1000,511.218823
888.934489,1000,513.867615
946.288163,1000,515.834048
954.130129,1000,518.582702
916.398893,1000,520.54415
883.82312,1000,523.148625
931.329199,1000,525.083015
929.745492,1000,527.766772
957.848517,1000,529.736712
1021.902552,1000,532.414001
899.825328,1000,534.355255
897.252862,1000,536.999142
929.96914,1000,538.972389
926.705129,1000,541.637597
928.717897,1000,543.610456
965.796635,1000,546.285392
928.183301,1000,548.263663
874.674344,1000,550.922667
870.414145,1000,552.899699
977.87231,1000,555.587809
978.991148,1000,557.581139
928.185518,1000,560.253317
1037.724121,1000,562.255432
1022.174246,1000,564.9625
1059.337547,1000,566.929124
1018.926292,1000,569.509621
997.238539,1000,571.520898
938.587619,1000,574.161595
1012.463104,1000,576.204447
890.269045,1000,578.868675
1060.930768,1000,580.867898
980.680071,1000,583.534288
987.218166,1000,585.540568
998.031417,1000,588.214255
995.84841,1000,590.161801
1030.124444,1000,592.794868
1024.495192,1000,594.821481
1025.607013,1000,596.841611
1006.011245,1000,599.585325
951.124703,1000,601.58601
995.520439,1000,604.331916
997.101929,1000,606.320591
1008.916994,1000,609.058233
1032.068481,1000,611.068325
951.71582,1000,613.738864
1074.808763,1000,615.75004
1098.785113,1000,618.432873
1034.449757,1000,620.378719
1129.745881,1000,623.039757
1059.064855,1000,625.013969
980.762113,1000,627.631036
1041.221602,1000,629.630772
1057.050692,1000,632.336154
1047.075155,1000,634.307448
1109.045688,1000,637.038407
1053.337072,1000,639.017381
1012.779913,1000,641.744786
1012.274548,1000,643.72518
1073.825309,1000,646.332601
1009.731551,1000,648.287601
1038.260442,1000,650.948246
1084.100158,1000,652.898284
1055.032521,1000,655.528636
1049.58384,1000,657.506845
1013.32782,1000,660.199263
1047.294085,1000,662.153799
1066.522474,1000,664.805449
1077.426238,1000,666.778701
1179.374148,1000,669.421223
1138.640453,1000,671.463834
973.682774,1000,674.064122
1093.142474,1000,676.077144
1142.977562,1000,678.831186
1042.568597,1000,680.812583
1086.242395,1000,683.524097
1094.348384,1000,685.521096
1167.077288,1000,688.20376
1115.734545,1000,690.25763
1107.868027,1000,693.010121
1115.363802,1000,694.992403
1174.589306,1000,696.940204
1073.692085,1000,699.606781
1122.276855,1000,701.573011
1123.267728,1000,704.285001
1144.381437,1000,706.232502
1094.922104,1000,708.883458
1128.495782,1000,710.8799
1175.269579,1000,713.61881
1132.187296,1000,715.654891
1090.890219,1000,718.353528
1148.305846,1000,720.374581
1162.244403,1000,723.083375
1131.074836,1000,725.040724
1218.68862,1000,727.690323
1096.133884,1000,729.659023
1156.739116,1000,732.355256
1130.565625,1000,734.357271
1099.788947,1000,737.017429
1169.029845,1000,739.009503
1141.235356,1000,741.725978
1152.477688,1000,743.714896
1101.005593,1000,746.436863
1141.589235,1000,748.440068
1165.930954,1000,751.186411
1110.893412,1000,753.182579
1142.826929,1000,755.918838
1103.934131,1000,757.881376
1130.993324,1000,760.567745
1196.224402,1000,762.564657
1213.265166,1000,765.252765
1177.519792,1000,767.236987
1151.482247,1000,769.917978
1202.588849,1000,771.921975
1164.402241,1000,774.597251
1139.255835,1000,776.581237
1185.74644,1000,779.263294
1134.369561,1000,781.297734
1153.945289,1000,784.023214
1201.510165,1000,786.005469
1161.433415,1000,788.699559
1132.41478,1000,790.697628
1191.993678,1000,793.454237
1132.247448,1000,795.401589
1164.707895,1000,797.445298
1189.375158,1000,800.062418
1156.66079,1000,802.030765
1171.632428,1000,804.7078
1141.567881,1000,806.717657
1250.256798,1000,809.439322
1185.233968,1000,811.256882
1210.330958,1000,813.818396
1164.462841,1000,815.790585
1200.565653,1000,818.49359
1041.91021,1000,820.538807
1162.252777,1000,823.230875
1199.860753,1000,825.219885
1139.295416,1000,827.930162
1171.183728,1000,829.927499
1192.282367,1000,832.635846
1181.982651,1000,834.635573
1150.606561,1000,837.308652
1195.197928,1000,839.229495
1182.487673,1000,841.944317
1196.458349,1000,843.963017
1197.343662,1000,846.725788
1193.020228,1000,848.716492
1184.503898,1000,851.356966
1224.271053,1000,853.373288
1160.41412,1000,856.14893
1191.865369,1000,858.136656
1127.243081,1000,860.787247
1152.781024,1000,862.772683
1167.358203,1000,865.424055
1254.683645,1000,867.378554
1186.868865,1000,870.02379
1186.087898,1000,872.000856
1184.261313,1000,874.702002
1201.978231,1000,876.637982
1228.279767,1000,879.369503
1133.074966,1000,881.31583
1228.555973,1000,883.951404
1157.016998,1000,885.929533
1190.766964,1000,888.60259
1213.607589,1000,890.62374
1205.084597,1000,893.346072
1209.235109,1000,895.329246
1199.043262,1000,897.321294
1192.938363,1000,900.042018
1179.373977,1000,902.036291
1255.581996,1000,904.814304
1189.137787,1000,906.829394
1264.884167,1000,909.512729
1140.107468,1000,911.516217
1202.450429,1000,914.273226
1219.45103,1000,916.24946
1214.537891,1000,918.795871
1259.360322,1000,920.777132
1266.955157,1000,923.497846
1247.115262,1000,925.517318
1324.508199,1000,928.27162
1209.99546,1000,930.267113
1200.086331,1000,933.018491
1175.703439,1000,935.015672
1209.740889,1000,937.700655
1175.416949,1000,939.682717
1207.08313,1000,942.352063
1183.803254,1000,944.407265
1218.148587,1000,947.14849
1198.750083,1000,949.191251
1239.831905,1000,951.91087
1140.175259,1000,953.906259
1193.579519,1000,956.572831
1233.348646,1000,958.527136
1182.862149,1000,961.290287
1195.19723,1000,963.282171
1294.66054,1000,965.973034
1221.471106,1000,967.990993
1200.604,1000,970.814766
1203.127853,1000,972.808821
1223.23126,1000,975.410992
1234.667976,1000,977.276357
1288.597114,1000,980.09526
1259.187667,1000,982.146755
1295.107153,1000,984.853599
1253.483999,1000,986.810574
1197.682472,1000,989.539751
1216.749484,1000,991.531711
1258.73617,1000,994.18203
1216.762934,1000,996.136044
1230.108971,1000,998.162752
1222.177348,1000,1000.914566
1270.227635,1000,1002.894836
1208.039994,1000,1005.535878
1265.961234,1000,1007.509696
1281.209037,1000,1010.187298
1229.19219,1000,1012.087466
1259.137783,1000,1014.711384
1252.87678,1000,1016.695775
1220.1575,1000,1019.365254
1291.718183,1000,1021.29591
1325.339611,1000,1023.968853
1189.331985,1000,1025.967934
1193.042043,1000,1028.58504
1180.358864,1000,1030.579118
1247.260151,1000,1033.30815
1256.277586,1000,1035.330026
1259.815822,1000,1038.062284
1246.368783,1000,1040.043753
1236.92091,1000,1042.740524
1261.93893,1000,1044.805697
1270.320655,1000,1047.493443
1244.305245,1000,1049.514171
1215.381961,1000,1052.239047
1247.429837,1000,1054.222894
1282.952871,1000,1056.952701
1247.505737,1000,1058.94888
1267.699333,1000,1061.718565
1273.905534,1000,1063.728964
1279.085119,1000,1066.417271
1262.561293,1000,1068.387892
1259.754282,1000,1071.100064
1273.663402,1000,1073.125482
1246.025031,1000,1075.871766
1239.264813,1000,1077.878363
1252.603586,1000,1080.573579
1234.370833,1000,1082.609566
1328.376993,1000,1085.284448
1259.55739,1000,1087.288557
1292.615161,1000,1089.951025
1332.471647,1000,1091.961596
1305.101544,1000,1094.64164
1246.046307,1000,1096.633456
1267.458264,1000,1098.643108
1234.376732,1000,1101.395381
1251.794475,1000,1103.389866
1261.489192,1000,1106.023809
1210.131671,1000,1108.071363
1279.777634,1000,1110.776162
1293.648464,1000,1112.855305
1268.277342,1000,1115.535783
1266.900558,1000,1117.536541
1287.943357,1000,1120.179914
1240.239022,1000,1122.209193
1272.144953,1000,1124.927309
1325.403482,1000,1126.929914
1329.761075,1000,1129.447128
1310.243068,1000,1131.510884
1254.959669,1000,1134.16426
1216.147661,1000,1136.17641
1166.284607,1000,1138.876724
1290.060268,1000,1140.851375
1356.499392,1000,1143.489115
1203.257984,1000,1145.44973
1255.370625,1000,1148.111542
1349.198021,1000,1150.083867
1272.764712,1000,1152.828419
1164.027287,1000,1154.827734
1217.250508,1000,1157.549328
1305.44658,1000,1159.493776
1343.769946,1000,1162.134535
1258.343034,1000,1164.126241
1352.931779,1000,1166.80451
1271.776916,1000,1168.786566
1305.027419,1000,1171.497192
1279.848565,1000,1173.485489
1234.541572,1000,1176.191008
1302.320319,1000,1178.198426
1220.961369,1000,1180.915201
1288.672715,1000,1182.905516
1325.180463,1000,1185.624134
1322.041363,1000,1187.577883
1331.341377,1000,1190.336426
1343.153348,1000,1192.336488
1316.637531,1000,1194.337643
1266.87002,1000,1197.073143
1335.448268,1000,1199.046575
1287.835537,1000,1201.712206
1238.948421,1000,1203.765971
1317.961879,1000,1206.560841
1307.342481,1000,1208.543317
1216.590719,1000,1211.259225
1236.367638,1000,1213.233706
1327.532226,1000,1215.891106
1270.170287,1000,1217.869366
1280.144759,1000,1220.439347
1314.649245,1000,1222.406208
1294.647766,1000,1225.125772
1217.277893,1000,1226.91868
1279.123217,1000,1229.593061
1258.38804,1000,1231.565666
1348.758801,1000,1234.391812
1239.326647,1000,1236.396008
1296.260488,1000,1239.139121
1320.526562,1000,1241.136974
1332.616618,1000,1243.889469
1304.051598,1000,1245.893438
1278.335407,1000,1248.595367
1299.295599,1000,1250.559266
1278.290424,1000,1253.230836
1304.141846,1000,1255.191288
1194.22489,1000,1257.842322
1293.972142,1000,1259.781704
1246.175685,1000,1262.417847
1254.09183,1000,1264.468348
1376.138827,1000,1267.143331
1369.841224,1000,1269.089344
1311.680321,1000,1271.797878
1284.714893,1000,1273.743581
1266.845623,1000,1276.417959
1346.780163,1000,1278.43235
1255.604774,1000,1281.167761
1310.194648,1000,1283.170418
1267.890375,1000,1285.805712
1308.846277,1000,1287.814009
1286.439939,1000,1290.440721
1288.181704,1000,1292.440545
1331.619026,1000,1294.385694
1311.421841,1000,1297.095041
1327.97348,1000,1299.088358
1274.200194,1000,1301.754566
1327.137122,1000,1303.790835
1347.70109,1000,1306.534035
1338.218983,1000,1308.540097
1327.972281,1000,1311.155373
1383.297746,1000,1313.099131
1330.827607,1000,1315.767843
1345.471555,1000,1317.726678
1339.984968,1000,1320.381634
1325.427894,1000,1322.368533
1268.229072,1000,1325.029811
1386.894133,1000,1326.974559
1393.682611,1000,1329.651393
1331.027562,1000,1331.633528
1393.536407,1000,1334.399155
1287.058598,1000,1336.430912
1336.336261,1000,1339.103252
1287.143065,1000,1341.105794
1308.615869,1000,1343.814167
1316.014197,1000,1345.836081
1395.966558,1000,1348.531037
1379.194804,1000,1350.49669
1303.934023,1000,1353.11503
1304.682201,1000,1355.06584
1360.292177,1000,1357.737746
1378.223751,1000,1359.709741
1313.106756,1000,1362.353276
1316.666719,1000,1364.335372
1274.562842,1000,1367.055892
1336.192039,1000,1369.064421
1284.96441,1000,1371.838646
1332.56733,1000,1373.858325
1317.319268,1000,1376.594721
1327.308721,1000,1378.609326
1366.53601,1000,1381.327177
1352.221993,1000,1383.326555
1368.764333,1000,1386.116282
1298.724991,1000,1388.133502
1348.403574,1000,1390.902132
