# {"t_start": 1619458246.284014, "env_id": "HalfCheetah-v2"} 
r,l,t
-348.698207,1000,3.124294
-233.80105,1000,5.427631
-287.058203,1000,7.589453
-349.317099,1000,9.808935
-220.528254,1000,11.948283
-243.354206,1000,14.085229
-242.810986,1000,16.276852
-328.06952,1000,18.406127
-407.310939,1000,20.597135
-392.691247,1000,22.805176
-182.540252,1000,24.967958
-262.919111,1000,27.106643
-293.668368,1000,29.263073
-345.865304,1000,31.441373
-406.374914,1000,33.577742
-266.325852,1000,35.708409
-273.973178,1000,37.859919
-281.755098,1000,40.000003
-235.238617,1000,42.12871
-374.772881,1000,44.30347
-302.801691,1000,46.469301
-285.444116,1000,48.640734
-440.354373,1000,50.853452
-326.394207,1000,53.044803
-296.933864,1000,55.176399
-415.35959,1000,57.347667
-411.028303,1000,59.549514
-210.16237,1000,61.734807
-288.165349,1000,63.815718
-280.144429,1000,65.890898
-353.678166,1000,67.972746
-224.120448,1000,70.016494
-300.201469,1000,72.203896
-271.942567,1000,74.331044
-224.663975,1000,76.488373
-214.245918,1000,78.670696
-239.024107,1000,80.846895
-220.816057,1000,82.977349
-472.678319,1000,85.141954
-335.391213,1000,87.337916
-252.746276,1000,89.510863
-264.789781,1000,91.66184
-270.217758,1000,93.66031
-276.903632,1000,95.787702
-275.668982,1000,97.900856
-354.929553,1000,100.139444
-247.823413,1000,102.347357
-295.961363,1000,104.538978
-287.578316,1000,106.744323
-213.387942,1000,108.850584
-295.861979,1000,111.010449
-252.854212,1000,113.105509
-439.535137,1000,115.142199
-297.022856,1000,117.33786
-157.737669,1000,119.483586
-370.480323,1000,121.638167
-224.530293,1000,123.853021
-225.583968,1000,126.012231
-387.761375,1000,128.139993
-193.024714,1000,130.242059
-221.489059,1000,132.342572
-280.238245,1000,134.468539
-277.154032,1000,136.635502
-194.646243,1000,138.799875
-180.322259,1000,140.939568
-92.905873,1000,143.113785
-90.705484,1000,145.240401
-200.072927,1000,147.353421
-242.292426,1000,149.460404
-146.197525,1000,151.603498
-321.352946,1000,153.72518
-193.13116,1000,155.846131
-88.186942,1000,158.035666
-271.545597,1000,160.214582
-278.951124,1000,162.362327
-122.348329,1000,164.50667
-282.171822,1000,166.644491
-359.606849,1000,168.77581
-161.90284,1000,170.912087
-219.41893,1000,173.023664
-231.590083,1000,175.200898
-349.114621,1000,177.358103
-137.28544,1000,179.520964
-179.007526,1000,181.631116
-140.403635,1000,183.78871
-188.973341,1000,185.780168
-182.111898,1000,187.907134
-110.291297,1000,190.050453
-260.973296,1000,192.189705
-356.571721,1000,194.336228
-139.324682,1000,196.519206
-269.650562,1000,198.706409
-192.397299,1000,200.924701
-78.131505,1000,203.107611
-146.05473,1000,205.299239
-96.476156,1000,207.461326
-150.489303,1000,209.603548
-239.883805,1000,211.735269
-44.475039,1000,213.82481
-185.758435,1000,215.939981
-246.016296,1000,218.146146
-236.132474,1000,220.26487
-207.532852,1000,222.400577
-160.314038,1000,224.509644
-329.317997,1000,226.629103
-173.703052,1000,228.749262
-300.289982,1000,230.924211
-175.289282,1000,233.033322
-204.119989,1000,235.166139
-36.302982,1000,237.291032
-151.549192,1000,239.437015
-131.37821,1000,241.566657
-111.371454,1000,243.680839
-112.6896,1000,245.811448
-277.840362,1000,247.963074
-139.350379,1000,250.034663
-37.963728,1000,252.218863
-250.149415,1000,254.394738
-190.508675,1000,256.528889
-183.768558,1000,258.700397
-90.689983,1000,260.824039
-226.54852,1000,263.028271
-139.355221,1000,265.184256
-151.571954,1000,267.334959
-185.926059,1000,269.520092
-127.580863,1000,271.699802
-157.271592,1000,273.853139
-114.537471,1000,275.844961
-184.133635,1000,278.008228
-250.767937,1000,280.116516
-178.041534,1000,282.280015
-87.447833,1000,284.486404
-77.918844,1000,286.608469
-98.747242,1000,288.745338
-160.667722,1000,290.895192
-122.183841,1000,293.049231
-186.120898,1000,295.208092
-70.616525,1000,297.409718
-118.857671,1000,299.585473
-140.415838,1000,301.751989
-60.299637,1000,303.908092
-172.939611,1000,306.1301
-102.085601,1000,308.326479
-61.812467,1000,310.472506
-33.589101,1000,312.583493
21.773733,1000,314.780919
-39.929527,1000,316.892725
-104.555393,1000,319.044408
-19.455845,1000,321.151839
-76.335176,1000,323.275284
-30.564924,1000,325.401907
-91.467024,1000,327.579318
-120.448319,1000,329.685888
-125.400692,1000,331.771606
-104.883258,1000,334.009497
-147.522002,1000,336.195291
-37.0957,1000,338.348658
-67.627283,1000,340.455032
20.456923,1000,342.633158
-34.64501,1000,344.726122
-72.741785,1000,346.854822
-109.139643,1000,348.971831
-81.202177,1000,351.153634
-110.209992,1000,353.296901
-98.133927,1000,355.461531
-14.189558,1000,357.619184
-109.626173,1000,359.809026
-51.115731,1000,362.006954
-84.969413,1000,364.158375
-15.774782,1000,366.324834
-6.246874,1000,368.333908
-48.388012,1000,370.465054
10.431497,1000,372.653266
6.97283,1000,374.787975
-29.663201,1000,376.942948
-2.559785,1000,379.083638
42.39953,1000,381.237198
13.540229,1000,383.417658
27.468806,1000,385.520143
-55.728035,1000,387.662915
-9.792743,1000,389.806493
80.044889,1000,391.946517
107.124034,1000,394.06116
41.52243,1000,396.228168
46.838874,1000,398.361109
73.230127,1000,400.469639
42.700485,1000,402.602594
149.409218,1000,404.755352
63.206516,1000,406.934098
86.727155,1000,409.068712
6.269745,1000,411.206774
-16.528479,1000,413.37217
78.579396,1000,415.549943
10.596399,1000,417.730329
131.529704,1000,419.873348
146.955579,1000,422.029167
63.811089,1000,424.152871
112.468849,1000,426.25551
53.485563,1000,428.390271
153.923788,1000,430.540458
70.645281,1000,432.694483
81.516056,1000,434.852474
114.695952,1000,436.969127
