# {"t_start": 1619448926.3835182, "env_id": "Humanoid-v2"} 
r,l,t
82.643601,17,1.695521
76.783538,16,1.74249
108.046087,23,1.807791
157.295678,33,1.907437
117.925099,25,1.985167
140.186256,29,2.076643
139.925322,28,2.159833
135.548943,27,2.238235
100.616379,21,2.302218
81.587499,17,2.355566
110.231863,22,2.426616
76.493442,16,2.478078
155.779572,31,2.570155
85.889498,18,2.624121
129.004898,26,2.703284
115.049893,24,2.772962
126.124793,25,2.84223
81.507365,17,2.886612
107.863565,22,2.943551
76.564546,16,2.98745
160.985611,33,3.077688
121.717991,24,3.143722
178.536592,35,3.242131
81.535164,17,3.289071
88.044963,18,3.336976
76.283194,16,3.380809
81.618041,17,3.428241
120.445542,25,3.496685
97.922253,20,3.553713
99.098015,20,3.60762
76.530157,16,3.651203
92.757969,19,3.705489
81.607917,17,3.749846
93.18788,19,3.801121
86.064569,18,3.848903
88.279619,18,3.898286
120.827135,24,3.961584
139.750228,29,4.04113
86.234002,18,4.094643
87.633542,18,4.143253
116.41268,24,4.212207
91.304089,19,4.264741
86.054601,18,4.313895
147.278008,29,4.396479
84.784546,18,4.444539
152.672051,30,4.526069
89.950603,19,4.578189
121.114101,24,4.646225
120.601965,24,4.711868
118.639296,24,4.778397
104.333196,21,4.836487
92.281677,19,4.888644
88.005733,18,4.938613
81.09383,17,4.986581
92.267268,19,5.044214
81.520762,17,5.096417
81.616501,17,5.147118
81.538321,17,5.197815
139.115085,29,5.283016
116.474768,24,5.347022
194.994495,40,5.455922
87.405192,18,5.503479
86.943476,18,5.55289
76.521326,16,5.595032
87.192529,18,5.64251
98.745931,20,5.696605
124.124177,25,5.766628
138.759071,30,5.851832
81.507316,17,5.895448
76.473007,16,5.939942
203.702438,41,6.052886
113.730811,23,6.114136
76.615627,16,6.157085
99.793496,20,6.211378
76.703663,16,6.259292
115.465554,23,6.326086
86.546754,18,6.372495
91.923591,19,6.423921
97.638294,20,6.478531
76.587734,16,6.523506
112.528686,23,6.584561
87.557497,18,6.640794
93.717324,19,6.694031
76.301491,16,6.73987
172.422682,35,6.838316
91.786054,19,6.898239
140.679857,28,6.979892
81.177077,17,7.027075
105.157105,21,7.095218
165.987467,35,7.184683
98.207652,20,7.234222
161.191211,34,7.333622
86.995217,18,7.383317
103.409541,21,7.438659
81.506491,17,7.488014
85.792727,18,7.539915
76.629627,16,7.586615
162.857745,32,7.681973
81.499712,17,7.729449
76.810488,16,7.770959
100.047016,20,7.826634
108.617535,22,7.88803
92.607044,19,7.940296
97.250257,20,7.995722
86.665113,18,8.047073
86.024606,18,8.098105
92.796214,19,8.152894
99.434475,20,8.20948
113.933365,23,8.275337
93.884547,19,8.330402
76.854771,16,8.376271
103.353562,21,8.436485
127.116621,25,8.508873
145.311092,33,8.604144
81.512714,17,8.652028
76.289525,16,8.695044
76.468188,16,8.973227
122.341607,25,9.052126
110.689157,24,9.13005
100.023173,20,9.19026
84.763039,18,9.243613
76.657392,16,9.29154
81.369188,17,9.338164
76.472181,16,9.38088
174.148518,35,9.472103
109.212791,23,9.530353
87.42852,18,9.577203
81.212552,17,9.621635
98.609081,20,9.674754
110.745207,22,9.733311
88.415451,18,9.781115
81.436629,17,9.824912
117.205422,24,9.888962
147.00562,29,9.96866
147.865061,31,10.058915
85.900508,18,10.113088
99.555199,20,10.169507
76.661686,16,10.217724
71.692465,15,10.263994
147.061324,31,10.349875
86.327088,18,10.400922
104.69191,22,10.462425
81.172758,17,10.506643
152.486865,31,10.590168
92.867429,19,10.639315
81.382827,17,10.683102
76.281266,16,10.726331
142.165757,30,10.807446
76.607627,16,10.849004
108.423855,22,10.910405
109.950863,22,10.974952
87.489735,18,11.022279
81.63791,17,11.06814
124.461012,28,11.144439
71.723296,15,11.183375
88.020368,18,11.233968
102.509052,21,11.289007
110.035068,25,11.357455
99.01466,20,11.410281
81.500816,17,11.456186
115.377077,23,11.515965
137.651415,27,11.580105
87.148634,18,11.626029
81.740262,17,11.673778
93.128635,20,11.730271
86.552346,18,11.780929
192.57291,40,11.89429
91.695988,19,11.946869
92.669141,19,12.000754
88.751704,18,12.051661
86.848119,18,12.102589
92.796306,19,12.156432
116.140904,24,12.226111
143.297361,28,12.306061
129.100666,27,12.383673
130.576902,30,12.469223
149.964298,30,12.555805
81.165287,17,12.604359
81.275252,17,12.652174
264.955112,50,12.798067
81.282076,17,12.845649
81.214617,17,12.893903
81.041346,17,12.94732
104.382905,21,13.007856
171.720882,33,13.103652
86.363792,18,13.150354
211.799376,41,13.266295
175.327519,34,13.361398
120.216091,27,13.437713
81.029301,17,13.484506
101.0094,20,13.537325
76.515466,16,13.583134
76.337598,16,13.627159
107.586536,23,13.692741
76.634093,16,13.738651
193.957155,39,13.85198
98.934694,20,13.907109
76.584286,16,13.952647
96.60078,20,14.013193
81.295299,17,14.06134
94.751257,19,14.124506
86.018255,18,14.177045
81.343572,17,14.224382
153.343458,30,14.304738
122.740815,25,14.370132
137.886291,27,14.449704
91.475991,19,14.502197
98.416983,20,14.556022
125.510696,27,14.629168
96.242777,20,14.689139
118.892773,24,14.754177
104.280815,21,14.812953
150.919281,31,14.897794
81.212613,17,14.942539
76.553058,16,14.983692
81.062383,17,15.030064
81.049172,17,15.073661
91.528248,19,15.124323
87.59396,18,15.173169
198.918157,42,15.295289
134.439662,29,15.378626
76.509119,16,15.423046
93.512072,19,15.475617
86.178676,18,15.526173
162.406514,34,15.62404
98.364454,21,15.684603
98.220196,20,15.742168
81.030489,17,15.789762
86.589966,18,15.840882
81.942151,17,15.888357
82.42859,17,15.956349
93.538684,19,16.009962
80.915661,17,16.058443
218.220025,42,16.179651
76.498057,16,16.223787
158.145866,33,16.317547
77.175466,16,16.362325
87.47975,18,16.413344
175.854651,38,16.522511
131.983036,26,16.599459
162.293248,32,16.691195
81.839606,17,16.738636
93.454569,19,16.791653
82.713748,17,16.839508
81.402282,17,16.885628
87.385842,18,16.936491
89.44141,19,16.989451
81.100996,17,17.036893
177.694748,35,17.135883
126.288386,26,17.20937
87.756591,18,17.258915
76.659784,16,17.302692
94.194513,19,17.355054
112.016509,24,17.421171
90.621052,19,17.473641
152.316847,31,17.560943
96.386885,19,17.61451
125.934425,26,17.688476
111.151513,24,17.755753
123.649474,28,17.836155
182.753738,37,17.945439
81.232412,17,17.993661
105.042312,22,18.055367
102.672948,21,18.114416
141.427447,29,18.196734
76.382611,16,18.241976
76.790655,16,18.285668
87.145586,18,18.339097
105.77272,21,18.397569
81.639845,17,18.443033
81.556703,17,18.490289
81.413526,17,18.536691
76.636818,16,18.580293
81.354878,17,18.622396
101.078708,21,18.676937
81.563355,17,18.724737
76.352948,16,18.767046
86.428494,18,18.815297
82.075524,17,18.865858
134.772647,28,18.945352
137.292327,28,19.02299
90.451892,19,19.078101
76.328077,16,19.123719
86.680467,18,19.171874
76.581961,16,19.215708
81.44985,17,19.271693
127.916064,26,19.345864
118.441089,24,19.416138
167.388312,33,19.510915
81.968124,17,19.557857
81.711909,17,19.605707
151.472083,30,19.69377
81.649495,17,19.741665
148.662065,29,19.826035
142.049368,28,19.907104
133.445588,28,19.983668
173.384463,35,20.083059
76.800528,16,20.127923
86.851963,18,20.177125
98.653572,20,20.232634
76.38312,16,20.276786
167.693564,34,20.374169
82.578609,17,20.422004
105.979643,21,20.484199
146.934595,29,20.569878
110.973505,23,20.639929
92.361996,19,20.694391
129.365595,26,20.774002
82.604001,17,20.824178
142.088203,29,20.904584
93.923155,19,20.958069
81.214661,17,21.005449
137.864413,28,21.085301
150.095061,30,21.176843
115.318806,24,21.242074
127.69104,27,21.319614
87.307953,18,21.370047
91.517055,19,21.426853
81.265293,17,21.474873
91.550913,19,21.52869
102.426275,21,21.587724
90.561786,19,21.640121
81.346772,17,21.687419
84.900414,18,21.744659
81.505661,17,21.796528
108.044296,24,21.867662
81.267604,17,21.918318
85.894491,18,21.969761
115.591586,23,22.038563
81.213636,17,22.088387
87.532493,18,22.142675
87.168418,18,22.191339
154.354353,31,22.283408
96.694966,20,22.339942
121.522925,24,22.407325
153.740847,33,22.503351
141.119723,28,22.584438
93.124743,19,22.636914
76.711183,16,22.681458
109.926345,22,22.746853
119.706933,25,22.816133
93.409353,19,22.869277
93.114869,19,22.925834
81.222877,17,22.975515
76.64879,16,23.020974
86.334582,18,23.090062
81.421085,17,23.138557
93.584821,19,23.191661
99.101776,20,23.252014
138.943775,28,23.33353
102.529173,21,23.390793
81.195677,17,23.441592
76.408265,16,23.48596
97.165293,20,23.544798
152.884916,31,23.630737
151.759638,30,23.713588
184.183411,38,23.819913
81.227487,17,23.867271
92.207592,20,23.921542
82.195293,17,23.968449
87.483125,18,24.018248
148.544317,29,24.103187
130.775863,29,24.190121
140.658146,28,24.279579
78.048993,16,24.325733
180.808653,35,24.432789
81.469993,17,24.470509
137.422644,27,24.535869
114.499237,24,24.599089
185.549484,38,24.708788
81.334373,17,24.756679
90.687966,19,24.814087
122.007218,24,24.884751
81.475887,17,24.932901
103.602886,21,24.992738
101.402898,23,25.056802
136.770333,27,25.132715
80.798884,17,25.177766
105.250755,22,25.2357
97.847183,20,25.288864
101.646275,21,25.34357
122.785353,24,25.410437
76.429681,16,25.45714
109.596121,23,25.525735
114.31669,24,25.597214
81.373312,17,25.645318
124.435371,25,25.721219
129.622083,26,25.798319
92.742941,19,25.853946
124.506588,26,25.93222
76.542369,16,25.981651
81.352418,17,26.030905
145.206804,31,26.1164
81.383739,17,26.165801
151.831916,31,26.255155
98.986115,20,26.314727
153.179475,32,26.422951
138.94766,29,26.514141
150.057891,31,26.609527
177.528278,35,26.704591
144.070616,28,26.782927
182.572352,36,26.890045
110.217572,22,26.954187
76.707574,16,26.998301
147.240778,30,27.082161
92.896513,19,27.131239
107.356073,22,27.190315
82.134966,17,27.240514
88.799511,18,27.295206
115.057513,25,27.369457
87.45216,18,27.423947
115.73179,23,27.488898
81.661748,17,27.535134
81.236131,17,27.582099
81.232776,17,27.628586
97.048315,20,27.684787
153.503611,30,27.776221
116.782584,26,27.846635
87.128124,18,27.887962
118.422539,24,27.939287
136.846766,27,28.016948
81.415421,17,28.069943
81.400594,17,28.123503
76.739747,16,28.17408
76.722197,16,28.222794
81.50742,17,28.268754
106.849705,23,28.330231
76.685649,16,28.373737
103.572532,21,28.430664
156.924603,31,28.512845
81.056791,17,28.55715
154.596169,31,28.647433
81.28453,17,28.695181
92.531577,19,28.748031
88.018454,18,28.798603
135.902919,29,28.880427
245.107739,52,29.028165
86.419974,18,29.078816
81.212268,17,29.126819
102.003685,21,29.184458
166.500435,33,29.273902
127.472512,27,29.35205
134.065266,27,29.43412
86.351392,18,29.48802
81.443847,17,29.540617
170.981582,36,29.63712
109.850178,23,29.695391
159.106828,32,29.763109
76.496509,16,29.803354
76.366302,16,29.847985
81.175374,17,29.897619
142.721609,30,29.987079
111.781838,23,30.051919
81.695811,17,30.099573
158.864025,32,30.212463
109.158126,23,30.280667
76.472858,16,30.331115
76.37357,16,30.379902
104.311041,21,30.434964
212.779871,42,30.560817
76.47043,16,30.602747
99.563859,21,30.658525
162.027837,35,30.75405
91.663242,20,30.807085
76.775753,16,30.850561
86.747859,18,30.900906
111.085729,22,30.962758
81.512149,17,31.018236
103.203569,21,31.085917
182.410092,37,31.171713
140.434305,29,31.252003
93.437605,19,31.3084
125.092204,25,31.380615
108.842608,23,31.444265
147.481814,31,31.529135
154.493091,31,31.617979
76.970743,16,31.662572
86.197841,18,31.71471
126.863207,25,31.784533
91.42037,20,31.839342
109.859999,22,31.899122
154.859288,33,31.988698
76.509358,16,32.031107
81.57785,17,32.074515
87.871907,18,32.123066
86.230989,18,32.171784
97.912983,20,32.23241
92.788267,19,32.281302
103.878267,21,32.345982
116.020893,23,32.414777
81.189593,17,32.46217
81.096325,17,32.512717
115.570821,24,32.581994
76.441002,16,32.626009
92.452026,19,32.679394
138.144387,27,32.751609
110.538349,23,32.813993
96.514565,20,32.870519
82.464405,17,32.91774
81.092519,17,32.964142
81.425697,17,33.010793
154.872642,33,33.101257
144.651534,30,33.182714
81.534302,17,33.229053
76.51452,16,33.272273
81.465035,17,33.322328
153.846307,32,33.416849
101.698539,21,33.475388
137.050362,27,33.548268
86.473189,18,33.598368
93.017483,19,33.650018
91.709477,19,33.702519
198.814194,40,33.822909
81.178997,17,33.869306
89.355611,19,33.92213
86.320512,18,33.972367
110.547578,22,34.033544
81.124848,17,34.079279
125.004369,28,34.157875
87.004568,18,34.208232
103.850153,21,34.268164
102.326622,21,34.327187
146.487646,29,34.412942
81.460648,17,34.464134
132.132597,28,34.550633
76.322768,16,34.596813
108.56691,22,34.659811
181.833884,40,34.778786
163.388974,33,34.878143
76.400685,16,34.926411
110.433884,22,34.988719
139.593123,27,35.067424
91.602594,19,35.124469
86.424168,18,35.173631
208.013693,42,35.297645
127.82017,25,35.367894
116.168624,23,35.437204
115.366491,24,35.503276
132.364212,27,35.580764
81.389887,17,35.627895
109.995967,22,35.690073
134.846537,27,35.765195
135.20326,27,35.843517
76.623996,16,35.886813
