# {"t_start": 1619438091.8798296, "env_id": "Humanoid-v2"} 
r,l,t
115.81784,23,1.793023
77.990662,16,1.82697
162.096256,31,1.899895
138.425394,27,1.959333
122.155178,26,2.317388
98.099208,20,2.368786
118.776711,23,2.432889
94.83013,20,2.489562
78.051418,16,2.75362
133.528086,26,2.828305
131.97106,26,2.902276
94.968212,19,2.956453
137.720181,31,3.265994
77.642437,16,3.308816
143.634821,30,3.394357
83.355276,17,3.442271
78.140373,16,3.486349
106.719494,22,3.764297
124.992649,24,3.832339
82.762893,17,3.880312
168.07309,32,3.972616
92.762962,19,4.025828
137.37005,26,4.317348
98.971572,20,4.374183
86.950071,18,4.424517
78.078004,16,4.468367
253.836739,53,4.844588
153.636148,30,4.928447
137.628565,28,5.009498
77.686198,16,5.275537
84.701806,17,5.325215
174.614365,33,5.419899
99.11832,20,5.478411
141.985536,28,5.779988
172.858056,35,5.881163
78.261298,16,5.923302
77.988282,16,5.963055
109.372209,22,6.018493
135.160525,26,6.306566
78.258122,16,6.350969
211.312158,45,6.483294
78.271882,16,6.528841
77.852452,16,6.794711
101.685933,20,6.85326
195.348352,37,6.955668
200.242509,37,7.280626
77.907109,16,7.326384
149.452768,32,7.417654
132.422367,28,7.49982
101.271071,21,7.781516
102.889413,20,7.839742
212.571433,40,7.956667
162.336905,31,8.047429
159.900455,33,8.367695
169.40509,33,8.462542
77.759838,16,8.50818
217.321792,42,8.849193
191.790446,35,8.948305
126.755126,26,9.017394
193.394448,36,9.340453
85.16648,17,9.386313
119.387261,23,9.453315
77.818558,16,9.49868
171.782663,33,9.815615
131.562497,26,9.895706
83.896034,17,9.944242
72.691828,15,9.987723
85.286826,17,10.037753
94.04775,19,10.088878
335.181984,63,10.475166
82.9135,17,10.519816
89.141628,19,10.569563
119.762565,25,10.856088
100.404789,21,10.915814
138.196884,29,10.996913
88.261852,18,11.047078
145.267544,33,11.362103
112.548949,22,11.424652
150.141446,31,11.514418
135.795681,27,11.83682
77.770576,16,11.884277
195.301479,39,11.996021
225.691766,41,12.109869
184.660994,38,12.437547
152.945646,35,12.534618
296.816181,58,12.918593
183.692836,35,13.01862
77.949714,16,13.062405
125.580768,25,13.357767
82.644507,17,13.405559
100.156611,20,13.463037
88.987126,18,13.51255
168.557209,32,13.60328
136.824904,28,13.908466
92.457441,19,13.958303
223.754333,42,14.062126
87.741166,18,14.113504
77.546808,16,14.374916
119.903,23,14.440865
88.762382,18,14.493102
72.879794,15,14.53515
290.473523,68,14.958486
82.797088,17,15.00671
144.24093,30,15.096147
82.765721,17,15.365479
141.518823,27,15.44232
88.501279,18,15.49352
77.63589,16,15.538304
145.256655,28,15.61637
178.950722,35,15.935105
77.502005,16,15.982702
109.872395,22,16.044433
78.555509,16,16.086984
154.657285,31,16.386097
89.331241,18,16.436509
83.472176,17,16.482486
92.424233,19,16.536323
96.066825,19,16.590494
198.653559,39,16.916905
143.236033,27,16.99115
119.656141,25,17.068949
77.812989,16,17.118181
139.749222,30,17.426091
158.72794,31,17.512922
78.582663,16,17.553112
97.4265,19,17.598628
172.456569,32,17.910802
187.03784,36,18.005786
190.662476,35,18.106534
113.711137,22,18.395528
174.661649,38,18.496484
200.442185,38,18.599797
162.094859,34,18.911863
148.468633,31,18.990465
148.864893,30,19.066768
202.258212,42,19.396349
209.584516,38,19.507692
219.503063,44,19.845051
224.797914,50,19.989645
186.500619,43,20.118947
250.172717,45,20.477314
88.922801,18,20.527955
78.135959,16,20.568708
87.380007,18,20.622944
149.863718,32,20.950804
199.887119,39,21.062148
106.167438,23,21.123066
336.355743,60,21.514083
232.956733,53,21.880172
178.570008,37,21.985969
80.952985,17,22.027717
286.149901,61,22.410078
234.84262,45,22.540519
241.897766,47,22.88413
268.024749,49,23.021559
264.176046,51,23.374224
94.514547,19,23.426114
83.417992,17,23.475464
341.294012,63,23.875538
244.869125,49,24.009578
100.023942,20,24.068784
183.334853,37,24.393768
82.988143,17,24.439641
137.143348,26,24.506512
230.990155,45,24.850441
84.798159,17,24.895888
195.045658,45,25.017883
96.671949,20,25.070459
319.167657,66,25.46169
359.969593,80,25.890675
248.096999,49,26.019971
195.734887,45,26.356291
233.740038,48,26.487807
88.519171,18,26.536835
78.517108,16,26.801388
210.351251,40,26.907381
280.364794,61,27.298944
269.613511,52,27.445205
237.06095,49,27.797693
171.311161,35,27.894654
112.355544,22,27.955524
306.981798,58,28.327857
176.043873,33,28.416495
113.300561,23,28.478686
320.469453,58,28.85016
269.896912,52,28.999281
253.969837,54,29.367384
268.869349,50,29.501153
298.914235,55,29.864768
237.377073,45,29.985855
198.822707,37,30.302598
257.587508,51,30.444982
176.301206,39,30.762841
192.369562,44,30.884873
104.189551,23,30.947788
312.736259,54,31.311832
206.387655,44,31.433904
104.35181,21,31.717082
222.31533,48,31.858637
138.572301,28,31.942084
212.726655,41,32.286978
230.728415,43,32.411241
134.789267,26,32.482876
270.702235,50,32.838078
263.234117,50,32.980361
270.726898,53,33.341055
320.357955,60,33.73389
215.532622,40,33.847763
209.610012,41,33.955797
335.693394,62,34.339112
233.727183,43,34.450758
218.567544,42,34.798139
260.841072,50,34.939604
205.132206,40,35.261239
227.087932,42,35.375972
328.70771,61,35.778208
350.981072,68,35.978953
267.254132,50,36.346946
319.61376,60,36.741196
222.421851,42,36.861834
228.843666,44,36.984507
249.386496,46,37.328693
297.802916,53,37.479241
325.244076,59,37.877992
292.041121,53,38.243419
259.708903,47,38.375662
290.307555,53,38.742794
272.058866,49,38.885905
261.826551,48,39.025827
355.080193,64,39.425519
396.18833,71,39.838715
276.502198,51,39.982639
299.4655,54,40.358548
288.905667,52,40.513962
406.84735,75,40.954206
294.724891,54,41.327624
175.134189,35,41.428015
324.829737,59,41.84021
252.089306,46,41.974155
228.545702,42,42.316977
257.703684,47,42.447219
249.637993,46,42.57813
284.127664,52,42.946892
261.075844,47,43.076728
265.006245,49,43.430982
260.422975,48,43.565716
246.070639,45,43.91377
256.432256,47,44.047398
262.134358,49,44.406877
233.520694,44,44.534091
295.061815,53,44.919793
281.164903,53,45.063511
274.033445,50,45.431541
250.23208,47,45.572448
289.610941,53,45.945961
236.192487,44,46.072466
243.72063,45,46.419908
258.238092,48,46.563641
264.870739,49,46.928871
294.053642,53,47.080995
224.728856,42,47.42344
257.258546,47,47.557699
274.285544,51,47.921729
292.248796,53,48.069417
242.749523,45,48.417206
326.613436,58,48.586725
241.634454,45,48.941569
259.58801,48,49.080418
248.29646,46,49.456241
255.082857,47,49.586506
274.389206,51,49.95382
88.234854,18,50.003367
216.819787,41,50.124789
255.676475,47,50.473342
