# {"t_start": 1619443468.5831213, "env_id": "Humanoid-v2"} 
r,l,t
81.690645,17,1.042149
98.622635,20,1.092388
161.046085,35,1.175704
76.436262,16,1.215237
81.297118,17,1.257051
107.243117,22,1.317327
121.458776,24,1.375223
92.324099,19,1.417255
140.8037,29,1.489632
109.814875,22,1.543432
92.286839,19,1.589296
76.671705,16,1.6302
145.332461,29,1.703548
81.168391,17,1.746668
97.093013,21,1.799214
81.566217,17,1.84066
87.770979,18,1.884861
120.083964,24,1.945465
81.990194,17,1.984952
99.780685,20,2.030596
137.567969,28,2.091464
122.149271,26,2.153567
76.34239,16,2.189294
87.88545,18,2.230411
97.073947,20,2.273846
81.196966,17,2.315845
81.571014,17,2.354775
129.054914,27,2.413544
81.561813,17,2.450178
143.669761,29,2.517904
76.732037,16,2.551348
81.199692,17,2.587125
76.45486,16,2.620454
87.061144,18,2.660381
81.497345,17,2.698343
76.474909,16,2.736365
81.408368,17,2.773693
165.052397,33,2.852104
81.332913,17,2.892426
135.584825,28,2.960734
113.770406,23,3.016707
81.28398,17,3.058848
136.829662,29,3.123584
76.683953,16,3.164567
81.437148,17,3.200706
134.434048,27,3.262291
134.894585,27,3.322408
131.2831,26,3.38204
110.128606,22,3.432721
87.851626,18,3.470479
91.710648,19,3.511966
122.687876,25,3.567514
81.150173,17,3.608896
87.470747,18,3.652975
98.594629,22,3.707297
147.146151,31,3.782864
95.622402,19,3.827954
211.381278,46,3.941668
110.142943,23,3.99773
76.44527,16,4.033206
201.969956,40,4.116926
86.358311,18,4.159768
124.866489,25,4.216137
81.396337,17,4.253139
125.895545,28,4.317264
93.482101,19,4.358012
81.572801,17,4.393425
102.992635,21,4.435917
115.567915,23,4.484202
139.30905,31,4.552255
81.415783,17,4.587197
103.982659,21,4.631457
90.778316,19,4.669917
132.196866,26,4.725201
120.780782,27,4.782857
114.526653,23,4.831115
81.411,17,4.869408
104.258822,21,4.913184
167.300123,36,4.993001
127.927175,25,5.053544
98.628845,20,5.100411
128.911975,28,5.165212
81.47925,17,5.205365
