eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
22.054347826086957,106.73885184782613,358,0.018041326,0.28916016,24.1059,-0.067752466,0.7101046,0.1430279016494751,1,2048,5.7056390209982055,2048
22.44,109.42329938000003,361,0.017552685,0.2926758,24.0723,-0.07536645,0.42129135,0.2756720185279846,2,4096,11.367894732000423,4096
23.54,114.62333933,355,0.020953491,0.33554688,24.008095,-0.082123466,0.29924393,0.46824562549591064,3,6144,17.129055723999045,6144
25.18,122.46588842999998,362,0.023879033,0.36411133,23.962147,-0.08820114,0.19464909,0.6023099422454834,4,8192,22.78402347699739,8192
25.42,124.50070050999999,365,0.023670519,0.37368163,23.940723,-0.09114347,0.16812423,0.5951246321201324,5,10240,28.390958397998475,10240
26.59,131.10308021,361,0.027551983,0.40849608,23.885027,-0.09413672,0.13238859,0.6743285655975342,6,12288,34.061987043001864,12288
28.5,139.13674629,359,0.027345698,0.40390626,23.830261,-0.09487207,0.11735988,0.7116403877735138,7,14336,39.75920072000008,14336
32.58,159.33614836,356,0.026217464,0.4029785,23.811825,-0.09404064,0.12029736,0.7016894519329071,8,16384,45.501934391999384,16384
34.83,171.30173084,361,0.03033182,0.44335938,23.7974,-0.095716,0.09135627,0.7358060777187347,9,18432,51.16853658400214,18432
37.62,185.55137191000003,359,0.02775315,0.40688476,23.751514,-0.09397757,0.11235521,0.7429927289485931,10,20480,56.86838235900359,20480
40.12,199.90839816,350,0.03168367,0.44526368,23.671583,-0.099479035,0.07242416,0.8001050651073456,11,22528,62.705269637997844,22528
43.05,214.57606714000002,362,0.03483904,0.45463866,23.60608,-0.099400595,0.0821661,0.7983981370925903,12,24576,68.36251668300247,24576
48.94,242.99786421999997,365,0.03288383,0.45405275,23.544239,-0.09989057,0.060440738,0.8539964407682419,13,26624,73.96006958399812,26624
49.71,247.04213354,356,0.03274845,0.4668457,23.486813,-0.10153804,0.06460181,0.825087770819664,14,28672,79.7050794320021,28672
50.11,249.34191433999996,367,0.03496281,0.4745117,23.436039,-0.10275458,0.063534096,0.832184299826622,15,30720,85.28553642499901,30720
52.47,262.41114997,379,0.033674907,0.4642578,23.37492,-0.09878532,0.0610604,0.8322519361972809,16,32768,90.68404467299843,32768
56.23,280.38759207000004,371,0.037133012,0.473584,23.346373,-0.10138036,0.037127968,0.8849230781197548,17,34816,96.19298369099852,34816
59.67,298.61588428000005,367,0.033516742,0.45,23.303076,-0.09745623,0.04372232,0.8798588365316391,18,36864,101.76571861399862,36864
61.6,305.56952076000005,366,0.03788895,0.47299805,23.240007,-0.09604858,0.048238687,0.8672260046005249,19,38912,107.35262641699956,38912
62.71,312.24573484,358,0.03469381,0.44907227,23.176989,-0.094197355,0.040746637,0.8905002325773239,20,40960,113.07295718100067,40960
64.04,320.37658653,361,0.036242273,0.46591797,23.097866,-0.09964607,0.03999678,0.8865390047430992,21,43008,118.74486892199639,43008
64.92,327.54138968999996,371,0.03908559,0.48813477,23.044847,-0.10055618,0.03671593,0.8847346007823944,22,45056,124.25324587400246,45056
66.61,338.36245887999996,359,0.03769635,0.47075194,23.020857,-0.09852122,0.035344325,0.8880071341991425,23,47104,129.95644640499813,47104
67.06,341.4096127000001,357,0.035504155,0.46528322,22.988888,-0.09765455,0.030347768,0.9107028841972351,24,49152,135.68668341000011,49152
65.67,333.63319444,370,0.038779747,0.4875,22.912943,-0.09800748,0.03772126,0.8903187066316605,25,51200,141.2128545529995,51200
67.24,341.42891892000006,365,0.037112944,0.4711426,22.884,-0.10011549,0.025319139,0.9084832146763802,26,53248,146.81480453100085,53248
67.05,342.59038810000004,376,0.037521098,0.4645508,22.87099,-0.09607409,0.02570949,0.9060142338275909,27,55296,152.25351263899938,55296
66.87,342.05086386000005,359,0.036450718,0.45825195,22.864668,-0.09575776,0.024367584,0.919185534119606,28,57344,157.94498685799772,57344
68.84,355.7219395600001,364,0.03828289,0.4748047,22.840721,-0.09628773,0.025387775,0.9097826108336449,29,59392,163.56966443599958,59392
69.21,358.3992241899999,354,0.04087069,0.48745117,22.821384,-0.09482599,0.024802247,0.9169094637036324,30,61440,169.34852814600163,61440
70.55,364.4530838200001,362,0.039181806,0.49301758,22.806854,-0.10014604,0.017313683,0.9251946285367012,31,63488,174.99240949399973,63488
69.06,356.73681138,356,0.042940885,0.4959961,22.797968,-0.10102934,0.020669881,0.9165608137845993,32,65536,180.72991612400074,65536
69.84,359.1034342800001,358,0.042780627,0.49492186,22.753197,-0.10048535,0.015617791,0.9332763478159904,33,67584,186.45006612400175,67584
70.88,362.08953718,353,0.039551042,0.49467772,22.703735,-0.09954585,0.013911694,0.9379032030701637,34,69632,192.24831292100134,69632
73.7,377.90827205,358,0.042499356,0.4894043,22.677336,-0.09583834,0.018367026,0.9277903214097023,35,71680,197.9644678879995,71680
75.43,385.23844798999994,352,0.039998926,0.48564452,22.654934,-0.09908189,0.015577381,0.9292530566453934,36,73728,203.77796372099692,73728
75.14,384.52732144999993,357,0.042215127,0.51118165,22.602343,-0.103385605,0.014920948,0.9300792440772057,37,75776,209.50815330600017,75776
74.09,379.84876344,352,0.043395136,0.5064453,22.560204,-0.10243571,0.021775467,0.9057528227567673,38,77824,215.31137762899743,77824
74.3,380.14321846,354,0.043230116,0.49921876,22.529327,-0.100950494,0.01642342,0.9279005825519562,39,79872,221.08722394800134,79872
76.34,389.00099055000015,364,0.04580884,0.49360353,22.47385,-0.10161345,0.015008569,0.9308758154511452,40,81920,226.6995707640017,81920
77.17,392.02449809999996,364,0.04169024,0.48950195,22.422535,-0.09775414,0.017059155,0.9274286702275276,41,83968,232.31533607299934,83968
77.38,389.88980023999994,363,0.044297032,0.5043457,22.384949,-0.1006099,0.016634818,0.9281189814209938,42,86016,237.94806788900314,86016
78.58,396.37458368999995,359,0.049028017,0.5300781,22.345402,-0.10288278,0.01735565,0.9205608442425728,43,88064,243.64957019499707,88064
76.3,383.83305048999995,357,0.045026936,0.51958007,22.289745,-0.10566701,0.01628834,0.9253589957952499,44,90112,249.384797161998,90112
76.42,386.97528201000006,347,0.04984518,0.5258301,22.243952,-0.10424419,0.0143723935,0.9308176562190056,45,92160,255.27057411499845,92160
76.92,390.13733288,366,0.053011335,0.53291017,22.185785,-0.10153915,0.015789831,0.9276063442230225,46,94208,260.86418080000294,94208
77.47,390.35255394,357,0.04663077,0.5185547,22.162611,-0.10304624,0.017941397,0.9190661758184433,47,96256,266.59724899999856,96256
78.02,393.42627731999994,377,0.05194528,0.53461915,22.13774,-0.101851,0.013931829,0.9294045567512512,48,98304,272.01763365600345,98304
80.22,403.22678700999995,369,0.05460348,0.5636719,22.105663,-0.109091654,0.013354445,0.9294924512505531,49,100352,277.55447044000175,100352
