# {"t_start": 1619446263.5258136, "env_id": "Humanoid-v2"} 
r,l,t
132.56938,28,1.224092
107.341317,22,1.280138
87.591444,18,1.324253
140.285548,28,1.394251
87.233104,19,1.442292
111.628744,23,1.505931
155.244631,32,1.58306
81.551266,17,1.624389
119.867643,26,1.688993
81.521897,17,1.730498
82.384734,17,1.772218
81.46427,17,1.813457
100.974688,21,1.865399
76.601665,16,1.904821
103.184384,21,1.957983
81.170054,17,2.000353
157.613803,32,2.082052
130.745513,25,2.146724
102.840869,21,2.200238
98.086587,20,2.250524
76.671421,16,2.290272
86.486725,18,2.334736
96.222627,20,2.38702
76.676299,16,2.427295
86.227525,18,2.474116
81.4397,17,2.512722
91.950107,19,2.559866
76.770666,16,2.599119
76.544538,16,2.636969
76.548465,16,2.676073
97.629331,20,2.726529
88.109486,18,2.768458
81.14474,17,2.810145
128.288309,27,2.872749
84.890655,18,2.915725
99.855078,20,2.963258
93.53397,19,3.008757
76.615418,16,3.049179
98.683462,20,3.09502
108.066575,22,3.152091
81.043114,17,3.19703
135.895446,28,3.268585
81.534206,17,3.310276
92.348537,19,3.356305
105.869058,21,3.4077
143.722929,28,3.481907
167.675425,34,3.564417
81.657836,17,3.600997
81.122989,17,3.640708
86.340131,18,3.683841
76.65561,16,4.01609
119.960004,24,4.06962
170.037974,35,4.145489
88.140415,18,4.186776
82.286842,17,4.224052
76.591537,16,4.259743
121.615881,26,4.31426
81.087895,17,4.351786
76.686392,16,4.385164
139.551246,28,4.447433
76.343054,16,4.487198
87.422869,18,4.535621
110.783948,23,4.59369
139.343228,28,4.666674
193.063456,37,4.763998
109.359679,22,4.816897
101.195892,21,4.868362
91.904931,19,4.918976
81.056513,17,4.964163
93.667389,20,5.017335
164.53442,32,5.098092
161.147484,34,5.183516
98.905611,20,5.233968
132.984847,27,5.30194
86.375698,18,5.347085
91.405722,19,5.397815
117.363164,24,5.456209
88.176257,18,5.498943
86.54439,18,5.541117
106.335001,22,5.592985
81.677018,17,5.632835
181.420822,37,5.726076
136.187184,29,5.794208
97.69296,20,5.844544
118.445129,24,5.900574
76.32018,16,5.938156
76.445461,16,5.977063
117.462762,23,6.035219
90.287296,19,6.081977
96.718965,20,6.127783
104.499655,21,6.17832
92.370889,19,6.223089
81.239271,17,6.262933
152.043089,32,6.340166
144.96612,31,6.409187
83.386969,17,6.447494
87.010973,18,6.658502
88.468203,18,6.703076
140.245295,28,6.776878
104.167362,21,6.828609
104.756642,21,6.875146
86.890456,18,6.913563
149.347793,30,6.977499
212.244806,42,7.067971
94.559762,20,7.118323
102.982751,22,7.173181
112.065104,22,7.228184
169.58396,36,7.320929
102.684715,21,7.373969
81.449799,17,7.412751
143.444611,30,7.487217
106.320368,23,7.54928
150.431457,30,7.630778
139.869562,28,7.707236
133.133675,27,7.778295
86.03385,18,7.820776
76.648232,16,7.858186
89.311584,18,7.897102
103.929015,23,7.949828
71.929768,15,7.982953
97.28066,20,8.030356
138.259729,29,8.098008
110.032918,23,8.149936
130.997859,26,8.210948
93.408358,19,8.253426
103.677367,22,8.304243
81.1116,17,8.343656
81.272446,17,8.383413
90.718502,19,8.431579
98.391957,20,8.481155
188.03455,38,8.582522
121.345878,24,8.646907
165.871,37,8.74205
76.591713,16,8.781089
146.902589,30,8.852787
93.440439,19,8.896773
125.294806,28,8.96632
141.226067,29,9.037657
101.737246,21,9.089627
113.983986,23,9.300604
87.408788,18,9.344723
100.154738,20,9.398324
81.436004,17,9.443468
133.887906,29,9.516301
88.545994,18,9.56011
99.008299,20,9.608651
134.554497,27,9.672938
143.627587,29,9.740625
240.815997,47,9.862862
110.647391,22,9.919478
103.675215,23,9.980173
130.692045,27,10.045618
81.454933,17,10.090809
87.718728,18,10.133758
101.837835,21,10.185101
114.958394,23,10.243376
134.264822,30,10.320743
116.143575,24,10.377091
86.416823,18,10.423281
188.163636,39,10.520061
76.801612,16,10.559367
157.306864,31,10.636667
106.222583,23,10.691174
114.848118,23,10.74836
109.633663,22,10.805126
91.552985,19,10.855802
147.507487,30,10.929251
92.322654,19,10.974516
81.446249,17,11.014947
76.193938,16,11.053787
187.54673,37,11.135755
97.477794,20,11.179256
83.207405,17,11.21485
150.948133,30,11.280688
120.087884,24,11.335694
99.245408,20,11.38115
152.547008,29,11.445248
