EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
19.8,3.2227027,50,50,2.9923617839813232,1022,0.0,24.118587,-0.28136146068573,0.007566156,0.08287215,0.08287215
22.45,3.4794946,46,96,5.632848024368286,2046,0.0,24.110624,0.14888781309127808,0.007678365,0.095862776,0.095862776
23.8,3.5215561,43,139,8.283591985702515,3062,0.0,24.093859,0.3995480537414551,0.0075307386,0.10054926,0.10054926
23.875,3.4686599,44,183,10.892935991287231,4095,0.0,24.129606,0.4985131025314331,0.006769306,0.10954456,0.10954456
24.325,3.4391866,42,225,13.502844095230103,5114,0.0,24.132092,0.544628232717514,0.007552094,0.10691517,0.10691517
23.7,3.3226917,43,268,16.204487562179565,6135,0.0,24.130299,0.5029645562171936,0.006856882,0.1228135,0.1228135
24.95,3.4418259,41,309,18.898287534713745,7153,0.0,24.117832,0.5660116672515869,0.006622301,0.1094786,0.1094786
26.4,3.5671418,39,348,21.45406985282898,8176,0.0,24.12097,0.6136326789855957,0.0072977794,0.111947015,0.111947015
27.55,3.6954575,38,386,24.084744691848755,9206,0.0,24.123356,0.5941500067710876,0.0073263063,0.1154478,0.1154478
26.15,3.4889207,38,424,26.814457178115845,10204,0.0,24.159594,0.5236220061779022,0.0063459887,0.116218925,0.116218925
27.85,3.598603,37,461,29.446165561676025,11260,0.0,24.14317,0.5695798397064209,0.0066297767,0.12048789,0.12048789
27.025,3.4225883,37,498,32.13799571990967,12273,0.0,24.157286,0.4905099868774414,0.006860837,0.12148307,0.12148307
30.1,3.7861106,32,530,34.84185266494751,13285,0.0,24.136919,0.5513026118278503,0.006397479,0.1152834,0.1152834
28.9,3.5204513,37,567,37.52881717681885,14329,0.0,24.127241,0.590768426656723,0.006557471,0.109647244,0.109647244
31.425,3.8058867,30,597,40.2451069355011,15320,0.0,24.10839,0.6416645348072052,0.006966159,0.117296085,0.117296085
32.6,3.8776436,31,628,42.968016624450684,16340,0.0,24.09454,0.3076831102371216,0.0070840027,0.12772715,0.12772715
37.325,4.317601,28,656,45.692206382751465,17403,0.0,24.09079,0.6614913046360016,0.006496898,0.11491792,0.11491792
38.05,4.2815676,27,683,48.37463665008545,18416,0.0,24.091518,0.6101984679698944,0.006860338,0.1192987,0.1192987
