# {"t_start": 1619471440.29963, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
54.363244,6,1.656348
82.003561,9,1.679795
35.844089,4,1.690127
45.071912,5,1.702555
54.301735,6,1.718594
73.187548,8,1.7421
45.073455,5,1.753881
44.73531,5,1.76547
63.502629,7,1.782271
54.4541,6,1.796321
63.958342,7,1.812874
35.322598,4,1.823238
91.266299,10,1.847116
35.461659,4,1.858829
36.076754,4,1.868232
63.622303,7,1.885286
35.904428,4,1.896057
45.20406,5,1.908608
54.693663,6,1.924789
54.182142,6,1.937507
54.623163,6,1.950108
44.970303,5,1.962394
45.304021,5,1.975131
45.018525,5,1.988063
63.238665,7,2.006109
35.87187,4,2.017025
35.961772,4,2.027544
54.722685,6,2.043321
63.939252,7,2.061618
63.275886,7,2.079926
44.964695,5,2.093221
54.39667,6,2.109118
73.249161,8,2.13022
35.823303,4,2.140851
45.149319,5,2.154071
36.231741,4,2.163768
35.401752,4,2.174119
44.92722,5,2.187567
26.862904,3,2.195693
63.055045,7,2.210884
26.847295,3,2.217986
72.84087,8,2.236434
45.45195,5,2.248209
44.844852,5,2.261096
110.627119,12,2.285536
45.273201,5,2.298392
72.256051,8,2.31692
63.094678,7,2.334753
45.207511,5,2.347363
54.298731,6,2.363564
91.076996,10,2.389817
35.876696,4,2.400288
35.859021,4,2.410796
63.673849,7,2.430188
54.472738,6,2.445483
63.665371,7,2.463605
44.683666,5,2.477473
92.210059,10,2.499112
35.456782,4,2.508063
53.73867,6,2.522886
44.999485,5,2.536924
82.247611,9,2.56028
36.053962,4,2.569474
35.806024,4,2.578125
63.840764,7,2.594356
45.259645,5,2.605226
35.781186,4,2.614018
64.159398,7,2.62912
45.577706,5,2.640294
82.207169,9,2.661286
35.549367,4,2.669907
54.131362,6,2.682891
36.201485,4,2.693156
45.178366,5,2.704093
35.731314,4,2.713049
110.65565,12,2.738989
36.022552,4,2.749394
45.300882,5,2.761133
54.030941,6,2.775731
45.529629,5,2.786927
54.376487,6,2.797347
73.090358,8,2.814006
36.045281,4,2.822446
54.788617,6,2.835055
45.021408,5,2.84564
54.25868,6,2.858251
35.865926,4,2.8675
45.507609,5,2.878244
35.409335,4,2.887319
35.637704,4,2.895811
54.475468,6,2.908889
63.647209,7,2.923925
36.19093,4,2.932565
45.152875,5,2.944012
82.229026,9,2.964229
45.319381,5,2.975358
45.237038,5,2.986118
35.660506,4,2.995126
45.319973,5,3.005804
63.667338,7,3.021056
44.803035,5,3.035541
73.180121,8,3.055401
44.858837,5,3.066601
44.816906,5,3.078281
54.220229,6,3.093356
36.071443,4,3.101764
26.799951,3,3.1086
64.141549,7,3.123534
54.897601,6,3.136245
45.138885,5,3.147166
54.404247,6,3.160247
45.025114,5,3.170753
54.674594,6,3.183755
