# {"t_start": 1619462385.5313349, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
91.581282,10,1.088516
35.871215,4,1.098655
82.738866,9,1.120953
44.915684,5,1.133638
44.712114,5,1.145677
54.959215,6,1.160831
36.003923,4,1.171188
35.999168,4,1.181513
54.370396,6,1.196705
44.69032,5,1.209737
54.322384,6,1.226623
35.84075,4,1.237378
120.272461,13,1.266462
44.992904,5,1.278686
45.479787,5,1.290806
35.937556,4,1.300558
35.994283,4,1.310394
54.666643,6,1.57507
54.697391,6,1.589899
45.28548,5,1.602195
44.827665,5,1.614488
101.23255,11,1.640732
64.037377,7,1.657593
45.054658,5,1.669962
120.304618,13,1.701756
35.856593,4,1.7117
45.169206,5,1.723967
45.106211,5,1.736214
156.437111,17,1.776392
36.035271,4,1.786469
63.26078,7,1.803534
100.608989,11,2.009312
83.033834,9,2.031841
36.176819,4,2.04154
35.242443,4,2.051239
82.674817,9,2.073098
45.268119,5,2.085359
73.246742,8,2.105013
101.237703,11,2.130944
45.684793,5,2.144842
35.68171,4,2.154744
45.628169,5,2.166787
72.783183,8,2.185624
26.89204,3,2.193092
36.258595,4,2.202898
45.425296,5,2.215007
45.365594,5,2.226987
45.411691,5,2.422702
36.18024,4,2.432795
35.934555,4,2.442836
44.719136,5,2.455076
81.892164,9,2.477263
35.55919,4,2.487565
73.588716,8,2.507621
35.954345,4,2.517596
63.782782,7,2.534542
35.719011,4,2.544506
82.419994,9,2.56617
35.471041,4,2.576177
35.915708,4,2.586156
35.522631,4,2.596306
45.436208,5,2.608969
35.669438,4,2.619264
54.854017,6,2.634393
63.917154,7,2.651915
26.856604,3,2.659735
35.643431,4,2.855417
35.32906,4,2.867037
36.044273,4,2.87702
64.084196,7,2.894061
35.786488,4,2.904045
63.374303,7,2.920675
35.927213,4,2.930383
26.777937,3,2.937865
35.760582,4,2.947542
54.500286,6,2.961834
35.255568,4,2.971613
100.865235,11,2.999955
120.278392,13,3.032429
45.472787,5,3.045278
36.140199,4,3.055613
35.817267,4,3.067034
54.550968,6,3.08187
44.75264,5,3.093875
27.000663,3,3.28172
35.829964,4,3.292239
45.253758,5,3.305151
54.298916,6,3.320554
54.102872,6,3.336349
27.020875,3,3.344583
35.573228,4,3.354935
36.396906,4,3.365374
45.667589,5,3.378264
54.69669,6,3.393553
26.967306,3,3.401531
45.145529,5,3.414338
35.884355,4,3.424721
26.962854,3,3.432694
72.44373,8,3.452879
54.857265,6,3.468127
35.758653,4,3.478545
35.997679,4,3.488958
36.244909,4,3.500013
54.497436,6,3.515106
73.401092,8,3.53551
45.31689,5,3.731152
35.906934,4,3.741492
35.980875,4,3.751794
35.527796,4,3.762105
36.139102,4,3.772367
36.148409,4,3.782639
35.512988,4,3.793152
35.836105,4,3.802894
64.172636,7,3.819385
36.082203,4,3.829061
35.735491,4,3.839063
82.708675,9,3.862679
35.433422,4,3.872722
36.091794,4,3.882675
35.601432,4,3.89258
35.287937,4,3.902497
44.885247,5,3.914784
35.797835,4,3.924753
35.611043,4,3.934894
45.139313,5,3.947759
36.032301,4,3.957466
35.407167,4,3.967168
45.528024,5,4.156431
54.052041,6,4.170954
26.790652,3,4.178814
35.707061,4,4.188983
35.530423,4,4.199211
35.651923,4,4.209403
36.122616,4,4.219539
54.434849,6,4.234462
36.124018,4,4.244385
63.682213,7,4.260853
44.907022,5,4.272732
101.767846,11,4.299269
36.081499,4,4.308949
26.860622,3,4.316383
36.053364,4,4.326429
45.712583,5,4.339056
26.903011,3,4.346457
36.168513,4,4.356115
26.854255,3,4.363532
44.703448,5,4.375472
26.75064,3,4.382855
35.92651,4,4.392533
45.225104,5,4.583202
45.146734,5,4.595971
35.712816,4,4.60625
35.662916,4,4.616419
35.993814,4,4.626415
54.412145,6,4.640684
35.975505,4,4.650507
73.293627,8,4.669224
35.670277,4,4.679014
63.425892,7,4.697346
35.484674,4,4.709601
44.66831,5,4.724788
54.458566,6,4.741834
35.900416,4,4.753409
63.358385,7,4.769848
36.057802,4,4.779414
35.814216,4,4.78913
26.846826,3,4.796475
35.697411,4,4.806164
35.481546,4,4.81581
54.347883,6,4.997339
35.460299,4,5.007092
35.845422,4,5.016808
63.956902,7,5.033256
26.849562,3,5.040677
35.902154,4,5.050353
73.253784,8,5.069906
35.40604,4,5.079989
35.629812,4,5.089914
44.767765,5,5.102053
35.674926,4,5.112629
27.004357,3,5.120573
63.626446,7,5.136962
35.568087,4,5.147396
35.571448,4,5.157031
36.095133,4,5.16675
44.987473,5,5.178762
35.738483,4,5.18839
36.228414,4,5.198091
35.723921,4,5.207775
53.78476,6,5.221933
137.959489,15,5.435378
35.346776,4,5.444938
36.171125,4,5.454536
35.489337,4,5.46383
45.444531,5,5.475457
82.998329,9,5.495974
35.540397,4,5.505358
35.356957,4,5.514817
45.024957,5,5.527119
54.356894,6,5.541778
73.146938,8,5.561073
26.858505,3,5.568754
45.168112,5,5.580639
26.89908,3,5.587401
35.796936,4,5.596255
64.064386,7,5.611377
35.492793,4,5.620348
44.450033,5,5.631136
44.878984,5,5.642011
45.339027,5,5.819058
35.820035,4,5.829105
63.888143,7,5.84594
35.709184,4,5.85578
82.553394,9,5.877033
44.885436,5,5.889026
63.656202,7,5.905434
63.815862,7,5.921954
35.684774,4,5.931679
35.873248,4,5.941412
73.027621,8,5.960119
44.941063,5,5.973212
35.770733,4,5.982987
63.832032,7,5.999459
26.834485,3,6.006982
54.288341,6,6.022368
45.301483,5,6.034485
53.668806,6,6.048872
44.793831,5,6.23136
35.671849,4,6.24123
63.96154,7,6.259084
82.238194,9,6.280078
72.964435,8,6.298856
54.330626,6,6.312989
54.744534,6,6.327097
83.104817,9,6.348647
45.065429,5,6.36067
73.780271,8,6.379567
54.044703,6,6.393849
53.984666,6,6.408039
