# {"t_start": 1619466917.43112, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
54.348494,6,0.982172
73.280764,8,0.998858
82.047418,9,1.018898
44.877443,5,1.030119
53.997566,6,1.043575
35.670814,4,1.05262
54.025335,6,1.066057
35.831856,4,1.0752
54.07239,6,1.08867
35.382089,4,1.097454
128.881439,14,1.126462
82.467966,9,1.145152
36.113966,4,1.153855
35.818456,4,1.16362
36.218057,4,1.16978
63.280223,7,1.183255
54.208653,6,1.195021
73.187527,8,1.210755
45.146661,5,1.220672
35.758993,4,1.228637
45.57176,5,1.239593
45.144954,5,1.25018
35.453819,4,1.258134
54.560745,6,1.270057
73.108039,8,1.285733
73.332927,8,1.301385
54.345881,6,1.313793
44.51392,5,1.323851
36.094795,4,1.331793
45.264344,5,1.341653
44.769025,5,1.351506
110.253976,12,1.374891
63.860329,7,1.388801
100.850577,11,1.410347
63.719137,7,1.424171
72.79276,8,1.439816
35.788131,4,1.447865
54.266769,6,1.460258
63.758057,7,1.474046
45.238586,5,1.483903
45.191765,5,1.493873
82.060065,9,1.511407
81.9646,9,1.529024
26.697633,3,1.535065
44.656646,5,1.544957
26.789962,3,1.550972
54.181547,6,1.562844
35.975299,4,1.570892
54.862438,6,1.582719
62.813465,7,1.596777
26.719149,3,1.602888
44.804926,5,1.612755
26.687258,3,1.618855
26.837715,3,1.625054
45.038399,5,1.634959
72.796819,8,1.651027
54.288419,6,1.663327
44.873484,5,1.674865
35.620227,4,1.683838
54.099405,6,1.696108
35.437105,4,1.704444
45.262359,5,1.714801
101.39905,11,1.736968
35.922714,4,1.745227
36.161079,4,1.753536
35.790686,4,1.761839
72.568193,8,1.778183
45.407216,5,1.788444
54.888853,6,1.800704
35.430241,4,1.808891
54.379808,6,1.821195
35.663285,4,1.829547
35.550053,4,1.837835
54.225336,6,1.850477
119.830276,13,1.877772
36.025424,4,1.886189
45.096595,5,1.896574
45.371239,5,1.906958
54.537107,6,1.919538
26.872794,3,1.926078
72.991415,8,1.942555
54.638406,6,1.954887
45.147071,5,1.965198
36.060391,4,1.973557
26.831269,3,1.980587
36.011157,4,1.988916
35.698101,4,1.997256
54.2088,6,2.009565
44.999275,5,2.020058
35.655148,4,2.028506
36.051042,4,2.036929
54.807278,6,2.049296
73.094551,8,2.066713
101.251103,11,2.090071
72.899017,8,2.106299
110.365514,12,2.13062
45.453139,5,2.140857
44.911388,5,2.151104
35.611255,4,2.159347
45.203922,5,2.169933
35.998408,4,2.178204
36.325755,4,2.18648
64.138211,7,2.200627
54.359631,6,2.212893
35.869412,4,2.221196
36.040067,4,2.229484
35.387901,4,2.238666
35.236307,4,2.246905
64.152429,7,2.261223
63.504027,7,2.275113
45.198822,5,2.28506
44.792404,5,2.295001
63.902119,7,2.308854
36.114085,4,2.31678
44.953491,5,2.326847
45.158906,5,2.337011
63.51087,7,2.350876
45.207198,5,2.360814
35.779588,4,2.368856
63.762833,7,2.384959
44.830746,5,2.396095
45.534833,5,2.406351
54.83239,6,2.418597
26.648883,3,2.424801
45.319384,5,2.434942
73.239595,8,2.451274
45.062299,5,2.461484
35.589258,4,2.469747
26.808103,3,2.475954
45.085651,5,2.486259
45.083277,5,2.496526
72.550085,8,2.512976
35.519227,4,2.521627
54.532223,6,2.534038
45.000865,5,2.544302
119.77123,13,2.571938
44.852958,5,2.582205
45.43357,5,2.592422
35.388913,4,2.600518
72.924041,8,2.61649
44.770823,5,2.626554
45.310359,5,2.636602
64.239171,7,2.650623
26.956093,3,2.656661
45.353142,5,2.666659
100.686403,11,2.688599
26.79329,3,2.694729
44.743406,5,2.704751
72.99537,8,2.720762
73.201543,8,2.736708
26.881868,3,2.742891
54.342499,6,2.755437
82.485014,9,2.773115
63.796117,7,2.786972
45.407596,5,2.796962
26.702497,3,2.803034
54.111883,6,2.814895
54.472542,6,2.82766
64.027621,7,2.842052
73.752459,8,2.857799
35.940282,4,2.865835
35.950948,4,2.873769
54.123883,6,2.88624
45.22816,5,2.896376
35.975934,4,2.904363
35.572698,4,2.913019
64.015806,7,2.926835
44.726132,5,2.93673
63.903278,7,2.950577
35.815851,4,2.958605
54.38499,6,2.970709
44.795192,5,2.981161
45.308256,5,2.991209
45.265648,5,3.001278
45.377049,5,3.011774
35.849895,4,3.020185
63.494155,7,3.035066
73.018188,8,3.052428
91.364762,10,3.072171
36.037919,4,3.080206
35.678914,4,3.089083
26.792036,3,3.095258
26.867413,3,3.101247
54.118358,6,3.114094
35.63958,4,3.123714
35.403589,4,3.132813
54.490528,6,3.146329
82.968549,9,3.164214
35.679932,4,3.17415
45.249961,5,3.184291
44.969233,5,3.194376
54.604954,6,3.206309
82.460626,9,3.224105
54.782704,6,3.235981
54.744291,6,3.247878
91.505534,10,3.268843
44.80413,5,3.280161
54.090621,6,3.292536
35.606588,4,3.300918
45.256482,5,3.311246
45.541936,5,3.321528
35.851678,4,3.329797
73.074304,8,3.346308
54.455409,6,3.358702
35.652957,4,3.366893
72.952972,8,3.383196
63.691101,7,3.397644
35.813575,4,3.405965
