eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
5.53,49.95835935,399,0.012289052,0.1737793,1.3973637,-0.023183106,1.1667643,-0.07951605319976807,1,2048,5.125552876997972,2048
5.87,53.18689488999999,418,0.016924422,0.20244141,1.3497722,-0.02776441,0.97989666,0.029491126537322998,2,4096,10.01758394499484,4096
7.01,63.773259720000006,423,0.017095486,0.1894043,1.2935745,-0.028880531,0.8087951,0.1545093059539795,3,6144,14.850569735994213,6144
7.51,68.52429590000001,421,0.022486525,0.23862305,1.2310532,-0.031443633,0.55596626,0.3245234489440918,4,8192,19.705417325996677,8192
8.68,79.40857553,423,0.019046465,0.22148438,1.1677549,-0.03029481,0.5564159,0.3506773114204407,5,10240,24.539796465993277,10240
9.81,89.88290746999999,428,0.01152603,0.1307129,1.0991442,-0.025338132,0.43762302,0.421103835105896,6,12288,29.31651828100439,12288
11.54,105.87451703999999,423,0.010532254,0.12729493,1.0395014,-0.021168692,0.4096613,0.47630369663238525,7,14336,34.15538788300182,14336
12.74,117.11643004,444,0.011270541,0.13188477,0.9940502,-0.016613211,0.31233728,0.5538979470729828,8,16384,38.76265526599309,16384
13.91,127.80676389999999,420,0.009750532,0.11347656,0.9427255,-0.016138587,0.28520575,0.6178432106971741,9,18432,43.631094309996115,18432
16.3,150.00525387999997,417,0.011813404,0.15283203,0.8954028,-0.015743924,0.3484436,0.5989748239517212,10,20480,48.53202960699855,20480
16.55,152.2369678,433,0.010022776,0.12573242,0.85289735,-0.017312896,0.28482503,0.6311124861240387,11,22528,53.256560862995684,22528
17.72,163.02496975,434,0.013098856,0.12338867,0.8022644,-0.015969817,0.25211328,0.6665380895137787,12,24576,57.97408738199738,24576
20.3,186.83467379,431,0.010754284,0.1303711,0.7562167,-0.016300838,0.29338735,0.6665361821651459,13,26624,62.72062264000124,26624
23.66,218.02924949000004,428,0.011709013,0.12456055,0.71884406,-0.0129345935,0.32986924,0.6239920854568481,14,28672,67.50164692399267,28672
25.05,230.84365983,429,0.0058337506,0.06552734,0.68382293,-0.008604149,0.3026153,0.6757237911224365,15,30720,72.27351866499521,30720
25.43,234.35090712999997,424,0.007654196,0.08461914,0.64725274,-0.008360888,0.22593734,0.6978926062583923,16,32768,77.09742851099872,32768
26.63,245.44990046000004,422,0.0060308664,0.07055664,0.6169404,-0.0068348674,0.18512443,0.7173176109790802,17,34816,81.9484072829946,34816
30.75,283.57388186,422,0.007988209,0.083789065,0.5854515,-0.008405234,0.22832265,0.7090445756912231,18,36864,86.80042686499655,36864
33.27,307.09267380999995,420,0.008328848,0.096386716,0.5549668,-0.008429664,0.20661934,0.7297127842903137,19,38912,91.67313965100038,38912
33.71,311.18947778000006,424,0.0059651537,0.061425783,0.5168538,-0.008314053,0.22831838,0.7167278826236725,20,40960,96.50081129699538,40960
35.44,327.30733965,421,0.0058862376,0.068310544,0.47489136,-0.006710563,0.17787525,0.7807852625846863,21,43008,101.3567780960002,43008
38.84,358.98031255,421,0.0056061186,0.05986328,0.43749848,-0.006267626,0.25369856,0.7107056975364685,22,45056,106.21176657199976,45056
40.05,370.2077724099999,431,0.006651652,0.07509766,0.40641332,-0.0061233407,0.21090679,0.7269352376461029,23,47104,110.95738237000478,47104
42.51,393.11783941,416,0.0064214817,0.075683594,0.38205588,-0.0055248863,0.1945512,0.7205518782138824,24,49152,115.88060055200185,49152
43.34,400.77329141000007,431,0.008265064,0.093847655,0.35748833,-0.0072848825,0.22565039,0.7001696825027466,25,51200,120.62525040299806,51200
45.41,420.12317105999995,431,0.008806103,0.106738284,0.32945102,-0.00993721,0.19919161,0.7219091951847076,26,53248,125.36720683099702,53248
52.34,484.5601000099999,419,0.009259694,0.1059082,0.30059385,-0.007978548,0.18634117,0.7273133099079132,27,55296,130.24877676200413,55296
55.96,518.4280377999999,421,0.0071361,0.0836914,0.27665633,-0.0045888154,0.15579733,0.7776589244604111,28,57344,135.10260718299833,57344
55.77,516.58662625,430,0.007829142,0.09794922,0.25807709,-0.005017249,0.17576197,0.7393409013748169,29,59392,139.86456922799698,59392
56.75,525.62619797,417,0.008666861,0.10268555,0.2295064,-0.008179955,0.23128013,0.6286019086837769,30,61440,144.7693657339987,61440
60.52,560.6922506599999,426,0.0064998097,0.072705075,0.20240827,-0.0025135027,0.1809088,0.6941464245319366,31,63488,149.57552326799487,63488
61.1,566.1877732300001,444,0.008928809,0.09790039,0.16990653,-0.0065592974,0.19331498,0.7099151611328125,32,65536,154.18265626899665,65536
64.26,595.7711103400001,440,0.0086063435,0.10043945,0.14073102,-0.004955073,0.16421373,0.7271274626255035,33,67584,158.83143016099348,67584
64.7,599.90994923,428,0.007009207,0.08530273,0.12806413,-0.0025606737,0.17709558,0.7204927802085876,34,69632,163.61498882800515,69632
74.25,688.73201007,439,0.008393089,0.09663086,0.1136571,-0.005958236,0.15584366,0.6869463920593262,35,71680,168.27925321699877,71680
85.93,797.39052954,426,0.006022269,0.07441406,0.09916426,-0.0015493946,0.15145172,0.667468398809433,36,73728,173.07872690800286,73728
95.14,883.0428124299999,428,0.007614513,0.09233399,0.09030196,-0.0067353463,0.14208588,0.7182954847812653,37,75776,177.85712249099743,75776
104.36,968.82508951,432,0.008121195,0.09648438,0.07440104,-0.0014767324,0.16028157,0.6913370788097382,38,77824,182.5965341179981,77824
111.86,1038.6352072500001,431,0.007305407,0.08959961,0.056531608,-0.0024863894,0.1560205,0.6883098483085632,39,79872,187.33808791999763,79872
118.69,1102.10995919,440,0.0076453686,0.08852539,0.039004672,-0.0063831294,0.131238,0.730687826871872,40,81920,191.9898667709931,81920
120.35,1117.5321654799998,433,0.01058225,0.119824216,0.020219235,-0.007213478,0.12699917,0.7310217618942261,41,83968,196.71871248999378,83968
124.49,1156.09098912,423,0.00934034,0.11298828,0.0040001636,-0.00758277,0.1396111,0.5100044906139374,42,86016,201.55983789700258,86016
139.36,1294.58085575,441,0.008496692,0.10551758,-0.0140432175,0.000122035235,0.066271484,0.5020729899406433,43,88064,206.2031162320054,88064
161.48,1500.5573628299999,429,0.007252467,0.08920898,-0.019661289,0.00043634983,0.064662784,0.5338879227638245,44,90112,210.9667127749999,90112
173.4,1611.54942517,432,0.011344294,0.13286133,-0.024000546,-0.0052414453,0.059271086,0.44926315546035767,45,92160,215.69862525000644,92160
186.44,1733.0735391299997,434,0.008057745,0.09765625,-0.03439676,-0.0022350824,0.08903457,0.6020021736621857,46,94208,220.40855361899594,94208
