# {"t_start": 1619469247.6185617, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
54.703104,6,1.094433
44.948608,5,1.105167
35.655991,4,1.114338
45.202883,5,1.125371
36.257728,4,1.134355
44.8566,5,1.145268
44.888724,5,1.156254
35.553011,4,1.165177
35.638512,4,1.174108
54.350655,6,1.18817
35.654466,4,1.197115
63.783143,7,1.211959
35.803388,4,1.220908
45.252149,5,1.231891
36.091239,4,1.240886
72.385839,8,1.257797
72.961206,8,1.274632
35.74965,4,1.283527
72.917364,8,1.301452
45.422366,5,1.312269
35.976181,4,1.321172
35.659028,4,1.330076
45.055411,5,1.340929
54.928508,6,1.353736
44.974982,5,1.366543
35.81542,4,1.375412
36.022457,4,1.384373
63.522505,7,1.39944
35.754097,4,1.408552
35.901774,4,1.417548
35.67473,4,1.426515
82.144636,9,1.445366
44.905124,5,1.45931
45.469896,5,1.470584
35.550964,4,1.480494
82.718852,9,1.502179
63.874643,7,1.519155
64.138679,7,1.534697
82.259565,9,1.554039
82.038978,9,1.574466
63.980446,7,1.589648
44.872294,5,1.60059
45.033554,5,1.611496
54.107882,6,1.624391
35.35418,4,1.633372
35.572235,4,1.64239
35.841311,4,1.651336
36.243034,4,1.660346
63.961173,7,1.675316
35.772179,4,1.684305
35.674044,4,1.693297
73.183917,8,1.710212
53.912543,6,1.723308
35.902627,4,1.732285
53.848046,6,1.745347
53.980967,6,1.758338
36.007197,4,1.767312
53.899896,6,1.780269
100.913166,11,1.803413
63.496607,7,1.818282
36.071867,4,1.827278
45.354844,5,1.838307
35.449901,4,1.847365
44.843293,5,1.858342
45.062988,5,1.869406
44.934665,5,1.880472
35.903064,4,1.889514
82.324407,9,1.908904
44.964211,5,1.920756
45.243831,5,1.931645
35.940543,4,1.94053
35.376103,4,1.94945
36.144505,4,1.958471
36.091516,4,1.967452
35.99681,4,1.976308
45.097997,5,1.987756
82.62992,9,2.007913
36.063221,4,2.016825
63.845948,7,2.031568
53.959615,6,2.044389
35.629652,4,2.053414
45.214059,5,2.064375
35.640111,4,2.073438
54.08112,6,2.086252
54.392434,6,2.099111
36.27836,4,2.108045
53.975056,6,2.121418
119.636592,13,2.148469
64.218325,7,2.163402
35.534542,4,2.172298
35.878535,4,2.181221
45.569006,5,2.192089
54.071745,6,2.204972
45.352626,5,2.215783
54.650683,6,2.228586
63.531074,7,2.24342
72.757325,8,2.260285
35.618041,4,2.269561
63.918698,7,2.285155
54.629477,6,2.298063
45.197922,5,2.308914
35.843717,4,2.317757
54.332362,6,2.330526
36.087443,4,2.339436
26.942479,3,2.346302
45.281876,5,2.357239
45.25674,5,2.368099
35.73421,4,2.37697
36.080282,4,2.385847
54.426841,6,2.398554
73.586141,8,2.416239
64.073118,7,2.431949
63.576918,7,2.447993
63.766455,7,2.463334
54.176052,6,2.47615
73.200085,8,2.49299
44.710448,5,2.503869
35.6628,4,2.513785
54.438049,6,2.526747
92.137855,10,2.548697
35.96432,4,2.557671
72.801985,8,2.575704
44.828697,5,2.586621
45.4661,5,2.597517
54.648743,6,2.611343
35.726198,4,2.620162
36.106471,4,2.62901
45.572288,5,2.639878
35.639985,4,2.648799
54.380139,6,2.662308
36.044225,4,2.67136
35.890017,4,2.6804
63.976918,7,2.695477
81.979689,9,2.715373
35.981335,4,2.72502
72.588159,8,2.741815
26.778174,3,2.748672
36.007151,4,2.757663
53.997642,6,2.770638
35.872069,4,2.779662
73.080556,8,2.796657
45.313121,5,2.807661
44.828671,5,2.81857
54.625908,6,2.831446
63.398391,7,2.846243
44.977389,5,2.857229
35.931577,4,2.866096
54.711116,6,2.879718
35.855291,4,2.889091
72.994806,8,2.907119
45.577793,5,2.917959
36.040694,4,2.926931
63.368203,7,2.941981
35.940839,4,2.951037
45.376516,5,2.962257
63.635376,7,2.977443
63.994901,7,2.992746
54.182544,6,3.005528
36.092791,4,3.014391
35.772245,4,3.023273
45.181664,5,3.034198
36.097555,4,3.043203
45.548514,5,3.055086
72.678909,8,3.072718
63.847018,7,3.088283
44.79071,5,3.099687
63.557978,7,3.115247
45.431989,5,3.12682
44.757387,5,3.138356
64.145112,7,3.153986
35.676716,4,3.163456
63.384317,7,3.179256
54.556358,6,3.192895
82.578145,9,3.213879
45.224149,5,3.225426
35.680502,4,3.234828
73.284997,8,3.252608
54.185958,6,3.266105
72.912141,8,3.284844
35.949588,4,3.294654
63.602321,7,3.310619
73.211989,8,3.329376
82.222888,9,3.349569
54.190592,6,3.664252
36.094581,4,3.674456
54.558775,6,3.691332
91.416796,10,3.712298
45.345861,5,3.723243
26.86335,3,3.730116
45.169808,5,3.740998
63.41926,7,3.755722
82.798356,9,3.774615
64.054885,7,3.789515
54.508815,6,3.802445
63.848292,7,3.81739
35.710654,4,3.826345
54.359611,6,3.840599
54.598803,6,3.853522
63.556237,7,3.868548
54.395186,6,3.882329
45.452266,5,3.893922
63.693108,7,3.909634
73.053263,8,3.927459
45.471275,5,3.938643
36.054536,4,3.947589
36.125418,4,3.956612
36.039805,4,3.96555
64.099877,7,3.981493
54.231743,6,3.994484
54.598458,6,4.007573
63.875038,7,4.02263
54.043621,6,4.035622
35.570383,4,4.044613
110.240853,12,4.069651
82.088796,9,4.088689
53.758476,6,4.101701
45.636446,5,4.112702
54.46477,6,4.125639
26.889849,3,4.132694
73.371715,8,4.14966
45.365855,5,4.160667
35.671726,4,4.169614
44.869172,5,4.180721
54.571782,6,4.193648
54.462059,6,4.206562
35.943036,4,4.215536
