EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
5.9,2.9684148,183,183,2.74235463142395,1023,0.0,1.3977864,-0.09495007991790771,0.0076730535,0.02784526,0.02784526
5.4,2.7105858,181,364,5.1568872928619385,2043,0.0,1.3725104,0.5318785309791565,0.009815445,0.054949977,0.054949977
6.575,3.161675,159,523,7.528939485549927,3072,0.0,1.3218526,0.6349879801273346,0.01034934,0.053825676,0.053825676
6.95,3.1495895,143,666,9.898299217224121,4091,0.0,1.2944655,0.6331050992012024,0.009949035,0.05535959,0.05535959
7.625,3.3174958,138,804,12.407345533370972,5120,0.0,1.2596267,0.647965282201767,0.010283486,0.054966338,0.054966338
7.55,3.1096237,128,932,14.827997207641602,6139,0.0,1.2076693,0.6626459956169128,0.010776641,0.052332282,0.052332282
8.375,3.1827312,112,1044,17.182496547698975,7162,0.0,1.1498536,0.6105161309242249,0.010505215,0.042542882,0.042542882
10.575,3.8327973,104,1148,19.563660383224487,8186,0.0,1.1024398,0.6380088627338409,0.009653531,0.040075477,0.040075477
10.775,3.6636314,99,1247,21.897566080093384,9213,0.0,1.0421363,0.7128973603248596,0.010109013,0.042654414,0.042654414
10.725,3.4157536,86,1333,24.171342134475708,10217,0.0,0.97408855,0.7112017571926117,0.009245841,0.03671077,0.03671077
13.45,4.002681,81,1414,26.428869485855103,11259,0.0,0.91161436,0.6879653930664062,0.008612835,0.03812427,0.03812427
13.8,3.7847748,75,1489,28.699262857437134,12283,0.0,0.867051,0.6475861370563507,0.008425193,0.0330956,0.0330956
13.925,3.6029067,71,1560,30.95934534072876,13296,0.0,0.8229066,0.7270132601261139,0.010332862,0.0408642,0.0408642
15.9,3.8375564,63,1623,33.266276121139526,14334,0.0,0.77435136,0.7023790180683136,0.009671282,0.035245024,0.035245024
18.125,4.0488815,55,1678,35.524837255477905,15360,0.0,0.75656545,0.6558026373386383,0.006971428,0.011920821,0.011920821
15.3,3.1672168,61,1739,37.83815145492554,16374,0.0,0.70144403,0.6702196300029755,0.011507042,0.041379996,0.041379996
21.125,4.172355,49,1788,40.132020235061646,17391,0.0,0.6664612,0.683398425579071,0.009758714,0.03170845,0.03170845
21.6,3.9850967,47,1835,42.3793580532074,18414,0.0,0.6243277,0.7078106105327606,0.009241526,0.03457966,0.03457966
21.725,3.7923324,45,1880,44.69241285324097,19437,0.0,0.6104935,0.720899909734726,0.009022565,0.03349584,0.03349584
22.15,3.6991189,45,1925,47.05254793167114,20476,0.0,0.5733003,0.7097608745098114,0.014116656,0.033993598,0.033993598
27.375,4.397001,37,1962,49.46392345428467,21489,0.0,0.5201587,0.7334091365337372,0.010759982,0.026522066,0.026522066
29.575,4.5390663,36,1998,51.73249053955078,22520,0.0,0.47088674,0.6664305925369263,0.013532195,0.030437391,0.030437391
35.0,4.9656057,28,2026,54.052120208740234,23527,0.0,0.47434685,0.7240655720233917,0.0109688295,0.029440505,0.029440505
30.85,4.030177,33,2059,56.371928453445435,24549,0.0,0.42988566,0.6496913433074951,0.009622943,0.025718514,0.025718514
29.925,3.7779126,35,2094,58.68298888206482,25592,0.0,0.3757869,0.72929248213768,0.01171626,0.03341668,0.03341668
37.325,4.598605,24,2118,60.95562934875488,26584,0.0,0.3513044,0.7934230417013168,0.012645417,0.041361257,0.041361257
38.95,4.596222,28,2146,63.192535638809204,27600,0.0,0.33722508,0.7667093425989151,0.007089605,0.017279934,0.017279934
37.35,4.2504606,27,2173,65.42257976531982,28654,0.0,0.31358027,0.8179718255996704,0.0101489,0.029122911,0.029122911
42.675,4.6476355,22,2195,67.61939668655396,29669,0.0,0.3055241,0.7384369671344757,0.008854514,0.024406428,0.024406428
39.75,4.14293,27,2222,69.80546927452087,30715,0.0,0.30411327,0.6360568106174469,0.014169678,0.03760326,0.03760326
38.675,3.9135106,27,2249,71.99067616462708,31709,0.0,0.27591074,0.7537455856800079,0.012071732,0.034388136,0.034388136
40.35,3.9911933,24,2273,74.20914697647095,32744,0.0,0.2389692,0.7469053566455841,0.013463775,0.03345576,0.03345576
