# {"t_start": 1619424689.3036695, "env_id": "InvertedPendulum-v2"} 
r,l,t
12.0,12,1.660856
6.0,6,1.674677
25.0,25,1.73096
12.0,12,1.756619
8.0,8,1.773668
4.0,4,1.782913
4.0,4,1.791425
5.0,5,1.802254
7.0,7,1.817393
17.0,17,1.854862
6.0,6,1.870048
5.0,5,1.881309
4.0,4,1.890175
5.0,5,1.900485
5.0,5,1.911981
5.0,5,1.92271
6.0,6,1.935807
6.0,6,1.949163
9.0,9,1.970886
6.0,6,1.983983
8.0,8,2.001926
12.0,12,2.0273
8.0,8,2.044509
8.0,8,2.062321
4.0,4,2.072106
5.0,5,2.082347
7.0,7,2.09928
4.0,4,2.108656
5.0,5,2.119371
8.0,8,2.136956
10.0,10,2.158604
5.0,5,2.169355
6.0,6,2.182746
4.0,4,2.190808
14.0,14,2.221775
6.0,6,2.2358
7.0,7,2.253086
5.0,5,2.267563
10.0,10,2.285979
8.0,8,2.300445
13.0,13,2.328735
10.0,10,2.349799
6.0,6,2.362051
8.0,8,2.381545
8.0,8,2.39932
9.0,9,2.418593
12.0,12,2.446924
7.0,7,2.462146
10.0,10,2.483867
5.0,5,2.494551
5.0,5,2.506402
5.0,5,2.517216
9.0,9,2.535965
8.0,8,2.552484
5.0,5,2.562742
6.0,6,2.575171
6.0,6,2.588398
16.0,16,2.62154
7.0,7,2.635981
7.0,7,2.650565
3.0,3,2.656726
5.0,5,2.667834
6.0,6,2.681411
5.0,5,2.692006
6.0,6,2.704322
4.0,4,2.712518
9.0,9,2.733637
9.0,9,2.753065
20.0,20,2.79672
4.0,4,2.804623
6.0,6,2.817856
10.0,10,2.840363
4.0,4,2.849728
3.0,3,2.856475
6.0,6,2.870008
6.0,6,2.884757
8.0,8,2.902364
8.0,8,2.919366
5.0,5,2.929858
6.0,6,2.943515
6.0,6,2.957491
6.0,6,2.971991
5.0,5,2.983441
3.0,3,2.990655
12.0,12,3.02015
6.0,6,3.034875
6.0,6,3.047517
6.0,6,3.060166
7.0,7,3.074492
15.0,15,3.108953
6.0,6,3.126463
6.0,6,3.141817
7.0,7,3.156336
8.0,8,3.17306
6.0,6,3.186455
4.0,4,3.194299
8.0,8,3.209769
5.0,5,3.219571
5.0,5,3.229284
12.0,12,3.253707
6.0,6,3.265963
7.0,7,3.280517
10.0,10,3.302937
5.0,5,3.314564
11.0,11,3.340002
6.0,6,3.352684
7.0,7,3.369878
7.0,7,3.384352
4.0,4,3.394656
19.0,19,3.443211
12.0,12,3.472469
9.0,9,3.494089
10.0,10,3.517635
8.0,8,3.537607
5.0,5,3.549355
7.0,7,3.565981
4.0,4,3.575686
5.0,5,3.586793
16.0,16,3.625799
11.0,11,3.651381
5.0,5,3.662952
6.0,6,3.677109
12.0,12,3.705528
15.0,15,3.740263
13.0,13,3.771517
10.0,10,3.795591
4.0,4,3.805299
4.0,4,3.814924
8.0,8,3.83335
6.0,6,3.848304
12.0,12,3.878398
7.0,7,3.895552
5.0,5,3.907825
5.0,5,3.919904
4.0,4,3.929729
4.0,4,3.939902
6.0,6,3.953415
11.0,11,3.979738
6.0,6,3.995355
22.0,22,4.057292
