# {"t_start": 1619415933.3400187, "env_id": "InvertedPendulum-v2"} 
r,l,t
3.0,3,1.073612
11.0,11,1.098722
5.0,5,1.1123
3.0,3,1.120058
4.0,4,1.129544
3.0,3,1.137261
3.0,3,1.147306
3.0,3,1.154771
37.0,37,1.238889
3.0,3,1.2462
4.0,4,1.255606
4.0,4,1.266227
4.0,4,1.275849
4.0,4,1.285353
3.0,3,1.292622
3.0,3,1.299868
7.0,7,1.562758
13.0,13,1.592549
3.0,3,1.599773
3.0,3,1.606975
4.0,4,1.616474
3.0,3,1.623665
4.0,4,1.633183
4.0,4,1.642662
3.0,3,1.649952
18.0,18,1.690543
3.0,3,1.697784
18.0,18,1.738456
16.0,16,1.774926
3.0,3,1.78228
3.0,3,1.968894
3.0,3,1.976275
9.0,9,1.996793
16.0,16,2.034436
3.0,3,2.041791
3.0,3,2.048973
3.0,3,2.056197
11.0,11,2.081463
4.0,4,2.090942
4.0,4,2.100673
7.0,7,2.117014
3.0,3,2.125087
4.0,4,2.134917
26.0,26,2.194668
3.0,3,2.389566
4.0,4,2.400592
3.0,3,2.408997
3.0,3,2.41733
7.0,7,2.434172
3.0,3,2.441473
2.0,2,2.446491
5.0,5,2.458744
3.0,3,2.466006
15.0,15,2.500004
3.0,3,2.507357
3.0,3,2.514687
3.0,3,2.521975
3.0,3,2.529245
6.0,6,2.543115
5.0,5,2.554789
4.0,4,2.564242
25.0,25,2.622728
3.0,3,2.812057
5.0,5,2.823874
3.0,3,2.831138
9.0,9,2.851657
3.0,3,2.858958
4.0,4,2.868336
3.0,3,2.875615
10.0,10,2.898509
8.0,8,2.91692
3.0,3,2.924294
5.0,5,2.935905
3.0,3,2.943199
4.0,4,2.95267
3.0,3,2.960583
17.0,17,3.004276
3.0,3,3.011602
3.0,3,3.018847
23.0,23,3.25912
3.0,3,3.266836
3.0,3,3.274165
17.0,17,3.312845
3.0,3,3.320216
3.0,3,3.328272
3.0,3,3.335586
3.0,3,3.342794
3.0,3,3.350013
4.0,4,3.359571
3.0,3,3.366776
5.0,5,3.378571
3.0,3,3.385925
3.0,3,3.393183
5.0,5,3.405232
3.0,3,3.412625
3.0,3,3.420096
3.0,3,3.427542
3.0,3,3.434894
3.0,3,3.442059
4.0,4,3.45276
4.0,4,3.464096
13.0,13,3.677447
6.0,6,3.691459
4.0,4,3.700966
4.0,4,3.710413
4.0,4,3.719936
3.0,3,3.727161
4.0,4,3.736618
3.0,3,3.74385
3.0,3,3.751157
30.0,30,3.818311
22.0,22,3.868695
3.0,3,3.87591
3.0,3,3.883336
3.0,3,3.890622
8.0,8,4.08475
4.0,4,4.0941
3.0,3,4.101376
6.0,6,4.11494
4.0,4,4.124092
5.0,5,4.135509
3.0,3,4.142627
3.0,3,4.149677
3.0,3,4.15676
3.0,3,4.163798
3.0,3,4.171442
37.0,37,4.252153
34.0,34,4.499234
3.0,3,4.50625
4.0,4,4.515542
3.0,3,4.522702
3.0,3,4.531017
3.0,3,4.538923
3.0,3,4.546173
4.0,4,4.556866
3.0,3,4.564702
5.0,5,4.576366
6.0,6,4.590275
50.0,50,4.882241
11.0,11,4.907539
6.0,6,4.921794
12.0,12,4.950756
28.0,28,5.02489
3.0,3,5.033627
4.0,4,5.043124
3.0,3,5.050385
10.0,10,5.073151
3.0,3,5.08039
4.0,4,5.089927
3.0,3,5.097261
5.0,5,5.109023
11.0,11,5.310398
3.0,3,5.317786
3.0,3,5.324983
6.0,6,5.338962
3.0,3,5.346173
3.0,3,5.353306
3.0,3,5.360683
