# {"t_start": 1619420355.8333821, "env_id": "InvertedPendulum-v2"} 
r,l,t
11.0,11,0.984687
7.0,7,0.998991
5.0,5,1.009707
5.0,5,1.019655
6.0,6,1.031322
8.0,8,1.046296
7.0,7,1.05934
10.0,10,1.080206
6.0,6,1.091627
4.0,4,1.099118
11.0,11,1.119692
9.0,9,1.136546
3.0,3,1.14222
5.0,5,1.15225
5.0,5,1.162463
14.0,14,1.188873
3.0,3,1.194684
7.0,7,1.208113
9.0,9,1.226893
4.0,4,1.234791
4.0,4,1.242509
7.0,7,1.25585
4.0,4,1.263792
7.0,7,1.279946
17.0,17,1.313239
4.0,4,1.321193
6.0,6,1.332991
20.0,20,1.371952
7.0,7,1.385841
10.0,10,1.405354
4.0,4,1.413327
4.0,4,1.421304
5.0,5,1.431367
6.0,6,1.442868
4.0,4,1.450845
6.0,6,1.462601
7.0,7,1.47634
9.0,9,1.493954
3.0,3,1.499972
11.0,11,1.521786
10.0,10,1.541826
6.0,6,1.553522
8.0,8,1.569029
3.0,3,1.574953
8.0,8,1.590529
6.0,6,1.602236
9.0,9,1.619872
9.0,9,1.636907
10.0,10,1.655812
18.0,18,1.690372
7.0,7,1.704252
7.0,7,1.717313
4.0,4,1.724787
8.0,8,1.739879
13.0,13,1.765606
7.0,7,1.778955
7.0,7,1.792415
7.0,7,1.805775
4.0,4,1.813463
5.0,5,1.822924
12.0,12,1.845438
13.0,13,1.870334
9.0,9,1.888275
19.0,19,1.923918
6.0,6,1.935333
20.0,20,1.973479
9.0,9,1.990866
6.0,6,2.002655
3.0,3,2.008535
5.0,5,2.018339
4.0,4,2.026139
4.0,4,2.033943
4.0,4,2.041595
17.0,17,2.073244
6.0,6,2.084487
6.0,6,2.095732
22.0,22,2.136402
14.0,14,2.162396
5.0,5,2.171968
3.0,3,2.177751
5.0,5,2.187112
14.0,14,2.213244
5.0,5,2.222617
5.0,5,2.232188
8.0,8,2.247152
6.0,6,2.258464
9.0,9,2.276009
10.0,10,2.294724
3.0,3,2.300396
12.0,12,2.322665
11.0,11,2.343102
10.0,10,2.361802
12.0,12,2.384221
6.0,6,2.395605
12.0,12,2.419078
11.0,11,2.439817
9.0,9,2.457752
7.0,7,2.471634
7.0,7,2.485011
5.0,5,2.494521
7.0,7,2.507971
4.0,4,2.515711
13.0,13,2.540302
3.0,3,2.5462
6.0,6,2.557709
12.0,12,2.580244
4.0,4,2.587867
4.0,4,2.595492
4.0,4,2.603054
8.0,8,2.618151
4.0,4,2.625866
9.0,9,2.644007
6.0,6,2.655289
6.0,6,2.666703
4.0,4,2.674408
5.0,5,2.684004
3.0,3,2.689774
8.0,8,2.704845
6.0,6,2.71768
10.0,10,2.737814
11.0,11,2.75887
5.0,5,2.769747
6.0,6,2.781601
4.0,4,2.789445
6.0,6,2.801059
5.0,5,2.810747
10.0,10,2.829854
14.0,14,2.856529
3.0,3,2.862373
12.0,12,2.886212
7.0,7,2.899677
5.0,5,2.909324
5.0,5,2.918909
5.0,5,2.928531
6.0,6,2.940111
8.0,8,2.955398
10.0,10,2.97454
10.0,10,2.993713
10.0,10,3.013003
5.0,5,3.022704
6.0,6,3.034314
5.0,5,3.04405
8.0,8,3.059669
9.0,9,3.078081
7.0,7,3.091219
4.0,4,3.099493
7.0,7,3.113772
7.0,7,3.127318
8.0,8,3.142567
9.0,9,3.160241
8.0,8,3.17499
6.0,6,3.186537
11.0,11,3.207558
10.0,10,3.225739
5.0,5,3.235162
7.0,7,3.248625
15.0,15,3.277303
11.0,11,3.298748
11.0,11,3.320456
6.0,6,3.331978
4.0,4,3.339747
5.0,5,3.349532
13.0,13,3.374356
18.0,18,3.408511
5.0,5,3.418085
5.0,5,3.427646
5.0,5,3.437178
8.0,8,3.452353
5.0,5,3.463387
5.0,5,3.4738
7.0,7,3.487222
13.0,13,3.510925
17.0,17,3.543142
6.0,6,3.554719
4.0,4,3.563015
4.0,4,3.57046
8.0,8,3.586104
5.0,5,3.596496
4.0,4,3.603919
5.0,5,3.613948
6.0,6,3.625132
6.0,6,3.636126
3.0,3,3.641654
10.0,10,3.660288
5.0,5,3.669935
11.0,11,3.690858
18.0,18,3.725933
7.0,7,3.738761
18.0,18,3.772566
7.0,7,3.785959
13.0,13,3.81007
18.0,18,3.843079
5.0,5,3.852284
7.0,7,3.864967
5.0,5,3.874542
17.0,17,3.907537
5.0,5,3.917193
5.0,5,3.926682
4.0,4,3.934399
11.0,11,3.955457
12.0,12,3.978199
5.0,5,3.987978
5.0,5,3.997601
7.0,7,4.011049
11.0,11,4.031908
15.0,15,4.06135
7.0,7,4.075917
11.0,11,4.096997
6.0,6,4.108434
11.0,11,4.129521
6.0,6,4.140868
4.0,4,4.148578
6.0,6,4.160134
6.0,6,4.171782
8.0,8,4.18667
5.0,5,4.196284
5.0,5,4.207062
7.0,7,4.222088
11.0,11,4.24343
19.0,19,4.278462
11.0,11,4.299016
7.0,7,4.312231
18.0,18,4.345642
4.0,4,4.35317
10.0,10,4.37176
5.0,5,4.381174
15.0,15,4.40918
6.0,6,4.420177
11.0,11,4.441067
9.0,9,4.458379
5.0,5,4.468036
5.0,5,4.477925
7.0,7,4.491985
9.0,9,4.509785
12.0,12,4.531557
5.0,5,4.540673
7.0,7,4.553383
5.0,5,4.562508
3.0,3,4.568077
4.0,4,4.575414
4.0,4,4.582798
6.0,6,4.593762
4.0,4,4.601115
10.0,10,4.61922
3.0,3,4.62479
6.0,6,4.635972
4.0,4,4.643357
9.0,9,4.659664
8.0,8,4.67481
11.0,11,4.695307
11.0,11,4.715924
13.0,13,4.740434
8.0,8,4.756097
8.0,8,4.772153
5.0,5,4.781613
11.0,11,4.803063
7.0,7,4.816586
5.0,5,4.826271
6.0,6,4.837829
7.0,7,4.851213
6.0,6,4.862742
13.0,13,4.887443
7.0,7,5.550421
5.0,5,5.557413
6.0,6,5.566844
4.0,4,5.572842
9.0,9,5.591563
13.0,13,5.610981
14.0,14,5.631603
18.0,18,5.659627
26.0,26,5.706193
6.0,6,5.717606
6.0,6,5.728837
5.0,5,5.738104
11.0,11,5.758225
5.0,5,5.768301
8.0,8,5.783698
7.0,7,5.796685
35.0,35,5.861143
20.0,20,5.898692
5.0,5,5.908011
6.0,6,5.919086
6.0,6,5.93024
13.0,13,5.954893
16.0,16,5.984573
11.0,11,6.005113
7.0,7,6.018095
5.0,5,6.027518
11.0,11,6.047926
6.0,6,6.058972
6.0,6,6.071821
8.0,8,6.089285
15.0,15,6.118498
4.0,4,6.126753
21.0,21,6.17133
6.0,6,6.184189
3.0,3,6.190738
17.0,17,6.226965
10.0,10,6.248126
11.0,11,6.269576
5.0,5,6.278955
16.0,16,6.309062
11.0,11,6.329855
4.0,4,6.337267
14.0,14,6.36257
7.0,7,6.377201
4.0,4,6.385324
4.0,4,6.393477
5.0,5,6.404961
3.0,3,6.410824
16.0,16,6.44156
6.0,6,6.453223
11.0,11,6.474859
24.0,24,6.524686
7.0,7,6.539682
18.0,18,6.572756
12.0,12,6.597651
8.0,8,6.614675
27.0,27,6.670131
5.0,5,6.679579
15.0,15,6.706639
15.0,15,6.735492
10.0,10,6.75529
7.0,7,6.768614
5.0,5,6.778095
12.0,12,6.801443
11.0,11,6.823658
8.0,8,6.838802
16.0,16,6.869796
8.0,8,6.886623
6.0,6,6.898136
6.0,6,6.909105
6.0,6,6.920048
7.0,7,6.932886
4.0,4,6.940348
13.0,13,6.964065
6.0,6,6.975273
14.0,14,7.000481
13.0,13,7.023997
18.0,18,7.058695
4.0,4,7.066418
11.0,11,7.087026
25.0,25,7.13567
6.0,6,7.148283
5.0,5,7.15784
7.0,7,7.171121
6.0,6,7.182137
10.0,10,7.200315
4.0,4,7.207659
6.0,6,7.219931
6.0,6,7.230892
6.0,6,7.241898
13.0,13,7.267976
8.0,8,7.283283
6.0,6,7.294671
11.0,11,7.315072
17.0,17,7.347364
19.0,19,7.383193
14.0,14,7.409485
5.0,5,7.419182
10.0,10,7.438544
9.0,9,7.45544
8.0,8,7.470039
6.0,6,7.480971
4.0,4,7.488365
5.0,5,7.497598
23.0,23,7.539298
4.0,4,7.546757
6.0,6,7.55781
5.0,5,7.56708
8.0,8,7.581879
5.0,5,7.591336
15.0,15,7.620152
4.0,4,7.627529
8.0,8,7.642089
12.0,12,7.663896
5.0,5,7.67321
6.0,6,7.684899
4.0,4,7.692308
7.0,7,7.705094
11.0,11,7.725014
19.0,19,7.759737
10.0,10,7.78091
7.0,7,7.796049
4.0,4,7.803799
6.0,6,7.815308
8.0,8,7.830527
7.0,7,7.843887
12.0,12,7.867603
6.0,6,7.880367
6.0,6,7.891958
4.0,4,7.899311
23.0,23,7.940546
10.0,10,7.958733
8.0,8,7.97333
5.0,5,7.982451
5.0,5,7.991566
8.0,8,8.005969
43.0,43,8.085545
11.0,11,8.10593
