eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
8.08,8.08,432,0.017865356,0.2130371,1.3925607,-0.029289776,0.9873732,-0.18961024284362793,1,2048,4.740255360993615,2048
9.52,9.52,449,0.018748164,0.23466797,1.3412125,-0.033537306,0.74599844,-0.12571632862091064,2,4096,9.2920509329997,4096
16.1,16.1,443,0.013196078,0.16645508,1.2848399,-0.026748499,0.62975746,0.015223383903503418,3,6144,13.908029489997716,6144
21.88,21.88,439,0.0103807505,0.13364258,1.2339019,-0.022252416,0.38698265,0.005416393280029297,4,8192,18.570285984998918,8192
33.88,33.88,448,0.0065719807,0.0809082,1.1963675,-0.013466279,0.34751537,0.15453845262527466,5,10240,23.133775984999374,10240
47.03,47.03,449,0.0055355765,0.059667967,1.1597891,-0.011789876,0.18523858,0.24581563472747803,6,12288,27.6864142649938,12288
61.81,61.81,445,0.0038803965,0.04506836,1.1410725,-0.0055450927,0.100635864,0.4079406261444092,7,14336,32.286256767998566,14336
68.59,68.59,444,0.0042699287,0.051855467,1.139624,-0.005768738,0.067518935,0.5821359157562256,8,16384,36.89322768299462,16384
76.67,76.67,437,0.009765285,0.1324707,1.157598,-0.01335041,0.039772265,0.7178821861743927,9,18432,41.57655904499552,18432
80.03,80.03,444,0.0066973357,0.07910156,1.1572231,-0.010931336,0.091924325,0.624468207359314,10,20480,46.18703963099688,20480
93.59,93.59,445,0.0077545606,0.10336914,1.1482027,-0.011371828,0.064533584,0.6702656745910645,11,22528,50.782895366995945,22528
112.82,112.82,446,0.0048825913,0.052099608,1.1303998,-0.006531591,0.040260233,-0.0352168083190918,12,24576,55.36919122499967,24576
130.6,130.6,454,0.0033699062,0.034960937,1.105921,-0.001332734,0.04225821,-0.17370390892028809,13,26624,59.877690154993616,26624
149.35,149.35,454,0.0059047504,0.07197265,1.0923573,-0.0033003571,0.037775528,-0.09186649322509766,14,28672,64.38528371099528,28672
167.85,167.85,437,0.0039006223,0.042626955,1.0725129,-0.0025253552,0.034458037,0.013593673706054688,15,30720,69.06297985699348,30720
185.72,185.72,438,0.003503266,0.041650392,1.059799,-0.0008288057,0.03308124,0.008761465549468994,16,32768,73.73571620599978,32768
203.43,203.43,446,0.002595102,0.023828125,1.0490298,-0.0010203614,0.031519067,0.005443155765533447,17,34816,78.32255294499919,34816
222.46,222.46,443,0.0076793297,0.100097656,1.0497141,-0.0037669484,0.030580929,-0.039991140365600586,18,36864,82.94024952099426,36864
241.3,241.3,434,0.0065098307,0.08500977,1.0672448,-0.0021861878,0.029775176,-0.03358292579650879,19,38912,87.65204165599425,38912
259.66,259.66,440,0.005207084,0.06557617,1.0832072,-0.0006502168,0.028582012,-0.025686264038085938,20,40960,92.3011106749982,40960
278.41,278.41,441,0.0038133718,0.04638672,1.0820078,0.00019787038,0.027745193,-0.022453904151916504,21,43008,96.94477123099932,43008
296.94,296.94,443,0.0030830188,0.028125,1.0715251,-0.00020709522,0.026541352,0.016465961933135986,22,45056,101.56555320299958,45056
315.17,315.17,439,0.0058190483,0.07358398,1.0605322,0.00030209526,0.026719421,-0.012871503829956055,23,47104,106.22729369199806,47104
333.7,333.7,444,0.004284932,0.050634764,1.0582321,-0.0034855984,0.024018042,0.041887640953063965,24,49152,110.83828258599533,49152
