# {"t_start": 1619422595.4469855, "env_id": "InvertedPendulum-v2"} 
r,l,t
8.0,8,1.119796
4.0,4,1.129174
13.0,13,1.157355
7.0,7,1.173151
7.0,7,1.188968
9.0,9,1.209089
10.0,10,1.231291
23.0,23,1.281859
8.0,8,1.298414
8.0,8,1.314858
9.0,9,1.333214
7.0,7,1.347514
18.0,18,1.384074
5.0,5,1.394647
8.0,8,1.410911
5.0,5,1.421403
12.0,12,1.445656
19.0,19,1.482814
15.0,15,1.513135
6.0,6,1.525798
5.0,5,1.536634
10.0,10,1.558644
7.0,7,1.57437
6.0,6,1.587969
13.0,13,1.616331
8.0,8,1.634137
6.0,6,1.647743
6.0,6,1.66137
12.0,12,1.687589
4.0,4,1.697011
6.0,6,1.710636
5.0,5,1.722154
6.0,6,1.735726
4.0,4,1.745159
6.0,6,1.758747
8.0,8,1.77654
9.0,9,1.796664
11.0,11,1.820789
10.0,10,1.842778
5.0,5,1.854224
8.0,8,1.871973
10.0,10,1.894472
3.0,3,1.901844
5.0,5,1.913402
4.0,4,1.922816
6.0,6,1.936408
6.0,6,1.950022
5.0,5,1.961569
8.0,8,1.979406
9.0,9,1.999329
4.0,4,2.008728
26.0,26,2.06445
8.0,8,2.082339
8.0,8,2.100239
5.0,5,2.112185
4.0,4,2.121644
12.0,12,2.148196
8.0,8,2.166178
7.0,7,2.181773
12.0,12,2.205735
9.0,9,2.225703
4.0,4,2.235104
10.0,10,2.257208
3.0,3,2.264538
5.0,5,2.276045
12.0,12,2.302329
8.0,8,2.320187
7.0,7,2.335938
10.0,10,2.358005
9.0,9,2.377983
8.0,8,2.395822
4.0,4,2.405268
5.0,5,2.416806
5.0,5,2.428346
5.0,5,2.439926
7.0,7,2.455752
22.0,22,2.503515
19.0,19,2.544702
7.0,7,2.560456
11.0,11,2.584586
12.0,12,2.61082
10.0,10,2.632903
9.0,9,2.652981
7.0,7,2.668725
9.0,9,2.688695
8.0,8,2.706645
4.0,4,2.716607
3.0,3,2.724027
7.0,7,2.739702
4.0,4,2.749132
13.0,13,2.777491
9.0,9,2.797562
16.0,16,2.832038
4.0,4,2.841396
8.0,8,2.859155
10.0,10,2.881694
7.0,7,2.896287
6.0,6,2.908843
10.0,10,2.930165
12.0,12,2.954049
5.0,5,2.964549
12.0,12,2.988247
5.0,5,2.999353
14.0,14,3.026883
4.0,4,3.035555
13.0,13,3.062433
6.0,6,3.074953
11.0,11,3.096257
8.0,8,3.113464
5.0,5,3.123876
16.0,16,3.15565
6.0,6,3.168013
5.0,5,3.178487
7.0,7,3.192933
13.0,13,3.219049
4.0,4,3.227192
10.0,10,3.248467
8.0,8,3.264769
7.0,7,3.280152
24.0,24,3.582935
11.0,11,3.604389
8.0,8,3.624149
18.0,18,3.657823
7.0,7,3.671652
9.0,9,3.688919
17.0,17,3.720523
7.0,7,3.734136
9.0,9,3.751236
8.0,8,3.766593
8.0,8,3.783789
4.0,4,3.792727
6.0,6,3.805169
5.0,5,3.815511
3.0,3,3.822201
