# {"t_start": 1619413950.6489437, "env_id": "Reacher-v2"} 
r,l,t
-69.008335,50,1.742628
-60.271367,50,1.85945
-58.113901,50,1.970907
-59.174528,50,2.071244
-57.384951,50,2.185816
-58.565379,50,2.300632
-62.349332,50,2.424552
-58.199032,50,2.527546
-53.565361,50,2.645119
-68.41668,50,2.762526
-61.567858,50,2.862056
-67.346451,50,2.973669
-63.42151,50,3.084808
-60.443738,50,3.198709
-58.012672,50,3.316422
-63.65776,50,3.426875
-67.644054,50,3.541247
-61.363498,50,3.659832
-58.019433,50,3.778745
-56.254399,50,3.905774
-56.531813,50,4.033185
-76.110128,50,4.146999
-57.739829,50,4.252632
-63.714615,50,4.361499
-60.135123,50,4.474119
-57.678768,50,4.588788
-59.685533,50,4.702324
-64.032664,50,4.814954
-55.422508,50,4.927876
-54.846301,50,5.044421
-59.229283,50,5.150929
-64.033421,50,5.255896
-66.636801,50,5.361133
-66.363594,50,5.465901
-52.743942,50,5.570287
-66.286183,50,5.675181
-65.784387,50,5.792039
-54.868026,50,5.908551
-62.299037,50,6.02976
-60.947325,50,6.15082
-61.157049,50,6.259672
-66.198653,50,6.366515
-60.722781,50,6.473276
-63.505716,50,6.581722
-52.73775,50,6.695042
-51.11103,50,6.804439
-62.41363,50,6.920328
-66.135234,50,7.019706
-54.435798,50,7.119052
-54.238789,50,7.234001
-53.984931,50,7.571157
-65.378152,50,7.683232
-58.490094,50,7.788296
-63.873853,50,7.910894
-66.49447,50,8.034389
-66.97338,50,8.152865
-66.298979,50,8.27422
-61.672618,50,8.392283
-67.942442,50,8.500553
-58.66436,50,8.618693
-69.176677,50,8.739236
-60.430035,50,8.86024
-61.646091,50,8.973875
-58.400242,50,9.08482
-58.621455,50,9.19749
-69.826207,50,9.304223
-68.25295,50,9.409731
-67.456118,50,9.522892
-64.363237,50,9.638817
-60.153944,50,9.751478
-56.42498,50,9.86807
-60.943474,50,9.983326
-64.040987,50,10.108782
-58.820706,50,10.231246
-62.873203,50,10.337374
-59.889078,50,10.454376
-59.21345,50,10.571024
-69.134646,50,10.69079
-60.871764,50,10.796384
-57.985428,50,10.908145
-63.017682,50,11.025089
-64.15849,50,11.145821
-62.196246,50,11.234235
-61.338721,50,11.348588
-61.457271,50,11.459508
-51.212181,50,11.568118
-58.550557,50,11.673525
-55.103932,50,11.780203
-57.202863,50,11.890787
-58.049469,50,12.001042
-58.807894,50,12.107638
-65.732101,50,12.220924
-56.568842,50,12.328866
-64.278383,50,12.44174
-56.374639,50,12.554671
-57.686426,50,12.666344
-58.129813,50,12.779586
-58.379965,50,12.891973
-57.698079,50,13.017721
-62.999104,50,13.130689
-62.642913,50,13.268672
-55.886132,50,13.381938
-59.834605,50,13.498919
-56.15499,50,13.61657
-61.037601,50,13.736959
-70.775243,50,13.835586
-66.586324,50,13.930921
-61.6176,50,14.026198
-62.567978,50,14.132799
-60.654621,50,14.249458
-56.03119,50,14.354301
-65.761653,50,14.46491
-61.731711,50,14.5772
-65.200111,50,14.684911
-61.702589,50,14.792968
-62.794495,50,14.898486
-64.360047,50,15.009254
-63.508081,50,15.12569
-49.281901,50,15.243248
-66.417704,50,15.355551
-63.277793,50,15.46551
-67.524487,50,15.575308
-59.269502,50,15.688835
-55.340375,50,15.803968
-53.373014,50,15.915432
-60.818453,50,16.031767
-56.450233,50,16.121122
-64.004744,50,16.234946
-59.817616,50,16.34951
-58.136248,50,16.464434
-60.521654,50,16.585864
-68.702399,50,16.707295
-65.135604,50,16.817826
-60.595602,50,16.931924
-59.170776,50,17.047753
-55.967492,50,17.169081
-62.986954,50,17.290389
-59.201062,50,17.407947
-57.696137,50,17.513912
-65.780657,50,17.620965
-57.354374,50,17.734138
-62.158756,50,17.839299
-57.712298,50,17.94732
-62.317214,50,18.053257
-61.098903,50,18.164936
-58.590227,50,18.272955
-61.581468,50,18.384079
-53.810518,50,18.498105
-55.061527,50,18.609244
-69.516108,50,18.718024
-52.0368,50,18.839926
-64.38111,50,18.949672
-58.251706,50,19.062136
-61.897019,50,19.174441
-55.678633,50,19.296621
-56.555676,50,19.417011
-60.223076,50,19.530753
-59.260179,50,19.645652
-65.465438,50,19.759367
-54.674767,50,19.873498
-71.261849,50,19.979976
-57.373093,50,20.090425
-63.218325,50,20.191258
-60.482369,50,20.297034
-52.481626,50,20.401279
-62.828917,50,20.502789
-66.910409,50,20.617995
-63.724219,50,20.726723
-63.74168,50,20.833323
-66.076929,50,20.946085
-60.022968,50,21.044856
-53.144627,50,21.149596
-65.250889,50,21.239199
-56.814361,50,21.332456
-55.883686,50,21.44658
-62.598486,50,21.55427
-61.17444,50,21.659435
-54.346785,50,21.778268
-61.524433,50,21.860844
-58.411938,50,21.962489
-61.872896,50,22.077196
-64.713204,50,22.185666
-59.378235,50,22.304147
-53.801126,50,22.383084
-61.970935,50,22.491584
-57.244014,50,22.592518
-65.10069,50,22.669557
-68.078897,50,22.764054
-65.580683,50,22.884772
-63.164313,50,22.998264
-58.132525,50,23.115129
-60.549683,50,23.229828
-54.964453,50,23.345857
-63.891417,50,23.45659
-63.702998,50,23.557659
-55.556749,50,23.650514
-59.228489,50,23.764909
-66.441349,50,23.877964
-56.97945,50,24.002489
-52.217631,50,24.112654
-59.675568,50,24.24017
-62.321867,50,24.363135
-54.302403,50,24.480113
-65.721231,50,24.600712
-62.486052,50,24.714068
-65.720568,50,24.828882
-69.798594,50,24.940557
-71.994327,50,25.050563
-63.80827,50,25.157666
-61.634308,50,25.269538
-57.006595,50,25.385223
-64.333447,50,25.491222
-63.606145,50,25.603387
-62.591715,50,25.713406
-63.03078,50,25.82301
-56.225717,50,25.934143
-48.720054,50,26.040152
-70.998524,50,26.148269
-58.55049,50,26.25963
-63.976705,50,26.370456
-66.65175,50,26.471561
-60.904105,50,26.59484
-58.865358,50,26.706443
-60.610674,50,26.81641
-60.577473,50,26.929375
-63.894074,50,27.051754
-63.873718,50,27.161944
-56.032407,50,27.268892
-65.145922,50,27.372861
-66.29343,50,27.48793
-56.533925,50,27.599471
-57.7788,50,27.711623
-72.79568,50,27.820389
-57.685797,50,27.930491
-62.357254,50,28.045127
-64.547613,50,28.164315
-55.663259,50,28.284259
-61.98132,50,28.390489
-52.281548,50,28.501038
-59.376453,50,28.61512
-64.143687,50,28.721516
-62.737223,50,28.83396
-65.542383,50,28.945231
-59.623734,50,29.054162
-62.107131,50,29.163447
-56.708668,50,29.268592
-61.889338,50,29.377239
-64.002971,50,29.495677
-60.934075,50,29.618583
-66.236572,50,29.730738
-54.84107,50,29.856166
-66.541309,50,29.967794
-63.688135,50,30.078797
-63.169027,50,30.189008
-53.479968,50,30.298683
-52.237944,50,30.410999
-65.623399,50,30.530604
-61.171352,50,30.645449
-55.501165,50,30.757867
-55.720427,50,30.869184
-54.150583,50,30.970264
-61.785503,50,31.074705
-60.317961,50,31.185308
-66.380022,50,31.291339
-63.350536,50,31.404496
-63.372564,50,31.51318
-53.014122,50,31.623159
-74.642008,50,31.731849
-60.68626,50,31.845128
-56.250459,50,31.954014
-58.098832,50,32.065055
-65.185227,50,32.175368
-58.57309,50,32.286265
-55.159526,50,32.4014
-67.133505,50,32.512197
-61.659536,50,32.619279
-53.828859,50,32.73284
-57.422247,50,32.845093
-56.958189,50,32.949601
-61.869775,50,33.059737
-62.226112,50,33.167233
-56.104204,50,33.283095
-62.646349,50,33.3978
-56.867311,50,33.508927
-63.516201,50,33.622661
-53.148305,50,33.738081
-63.928005,50,33.854415
-61.035109,50,33.962596
-66.307987,50,34.073951
-65.235376,50,34.186503
-66.230007,50,34.297897
-69.168574,50,34.409558
-52.346056,50,34.516656
-57.32841,50,34.628216
-54.131012,50,34.735631
-58.217126,50,34.83461
-57.874727,50,34.943581
-58.244417,50,35.06554
-61.946173,50,35.18802
-66.024858,50,35.305739
-64.006255,50,35.430362
-61.367012,50,35.543004
-58.446154,50,35.658002
-57.567115,50,35.760082
-62.62144,50,35.863463
-56.334959,50,35.969032
-63.406645,50,36.077937
-57.558089,50,36.191492
-51.976241,50,36.301941
-66.991355,50,36.407259
-61.615873,50,36.514889
-57.891984,50,36.627757
-65.352005,50,36.733067
-57.301143,50,36.838414
-62.04725,50,36.946207
-62.655382,50,37.05622
-55.656882,50,37.170268
-68.236245,50,37.273889
-59.334169,50,37.373492
-58.23045,50,37.472167
-61.829103,50,37.590228
-58.781463,50,37.70169
-58.196193,50,37.819233
-61.49992,50,37.939203
-61.337607,50,38.052817
-52.997567,50,38.165365
-58.929348,50,38.288397
-70.280616,50,38.408384
-54.681925,50,38.520999
-57.443108,50,38.619905
-58.903372,50,38.724881
-58.900911,50,38.803315
-53.111545,50,38.913996
-60.08441,50,39.018841
-54.637693,50,39.104335
-59.901269,50,39.205132
-54.394786,50,39.319602
-61.589346,50,39.431296
-59.040276,50,39.541276
-60.675559,50,39.650131
-58.499816,50,39.768204
-56.66665,50,39.879578
