# {"t_start": 1619404902.1547117, "env_id": "Reacher-v2"} 
r,l,t
-61.355909,50,1.168865
-37.905808,50,1.286958
-28.366214,50,1.663032
-30.933335,50,1.798025
-62.680182,50,2.095793
-51.987496,50,2.214561
-46.795861,50,2.530614
-37.162758,50,2.650693
-60.55204,50,2.960629
-30.935867,50,3.079528
-65.295662,50,3.383757
-50.485106,50,3.503697
-46.513843,50,3.806169
-54.297351,50,3.926608
-58.059195,50,4.229807
-44.765844,50,4.347337
-38.317995,50,4.65817
-41.725177,50,4.77781
-52.707863,50,5.08506
-63.461445,50,5.202679
-55.638693,50,5.514802
-43.685254,50,5.634396
-47.436444,50,5.938601
-59.856362,50,6.057256
-52.000319,50,6.362458
-54.371862,50,6.480062
-54.347822,50,6.772988
-45.155795,50,6.888072
-36.176585,50,7.194035
-59.28942,50,7.308171
-49.454291,50,7.608856
-75.376229,50,7.725724
-50.881977,50,8.027999
-55.835148,50,8.158171
-51.13981,50,8.47323
-65.868676,50,8.594358
-59.676589,50,8.902133
-60.868044,50,9.019124
-71.30769,50,9.331908
-42.918686,50,9.463942
-49.034584,50,9.796206
-47.099733,50,9.928855
-55.141648,50,10.255711
-65.502676,50,10.378333
-46.74479,50,10.681542
-33.665543,50,10.823865
-71.893625,50,11.123667
-41.338277,50,11.244648
-59.649721,50,11.548164
-68.346308,50,11.662227
-71.97105,50,11.940972
-65.042226,50,12.060042
-57.254657,50,12.369007
-56.776931,50,12.490682
-65.696812,50,12.788786
-63.104453,50,12.910173
-34.214753,50,13.206767
-69.33219,50,13.32391
-61.532709,50,13.615648
-50.536548,50,13.753316
-65.141262,50,14.064105
-57.636106,50,14.187481
-34.367834,50,14.486672
-43.382125,50,14.609993
-72.811056,50,14.929246
-33.469865,50,15.065814
-67.098713,50,15.36491
-28.48742,50,15.47901
-18.964171,50,15.774114
-37.724964,50,15.887717
-51.557046,50,16.180213
-31.366783,50,16.294123
-57.264956,50,16.59161
-34.769296,50,16.710334
-25.463568,50,17.015115
-50.338299,50,17.130174
-33.466923,50,17.432447
-43.964512,50,17.555163
-85.604977,50,17.871498
-53.431421,50,17.996352
-66.281464,50,18.324086
-58.80087,50,18.44408
-52.013219,50,18.762555
-37.066791,50,18.884665
-61.016066,50,19.197217
-32.838362,50,19.320647
-31.211053,50,19.638959
-45.941411,50,19.763429
-68.660725,50,20.072118
-46.18793,50,20.188082
-16.730447,50,20.496057
-55.906856,50,20.609272
-37.831726,50,20.902079
-46.062219,50,21.019855
-43.208586,50,21.335378
-29.671616,50,21.449462
-47.262748,50,21.745947
-39.837404,50,21.864995
-37.792422,50,22.164727
-70.548078,50,22.282492
-35.732024,50,22.588621
-23.946382,50,22.705354
-49.564743,50,23.005397
-47.462213,50,23.125533
-26.688795,50,23.428858
-29.124848,50,23.546688
-51.786656,50,23.848567
-76.237972,50,23.968217
-44.299613,50,24.262307
-50.439112,50,24.37929
-32.726435,50,24.697752
-36.599378,50,24.81884
-75.803426,50,25.125164
-53.453714,50,25.258345
-16.121893,50,25.562106
-31.284762,50,25.67795
-50.08812,50,25.996684
-15.799714,50,26.117543
-34.302183,50,26.410351
-57.351629,50,26.52489
-25.746783,50,26.880288
-53.802651,50,27.003066
-34.840611,50,27.330923
-27.691812,50,27.44681
-30.014388,50,27.739206
-29.361327,50,27.85675
-65.332557,50,28.162417
-75.370179,50,28.279981
-56.800993,50,28.59151
-43.821582,50,28.712904
-46.919758,50,29.017585
-42.733464,50,29.135976
-34.694435,50,29.442466
-44.332269,50,29.563988
-35.005636,50,29.867591
-57.894727,50,29.985555
-39.156185,50,30.286561
-53.711181,50,30.406053
-44.442405,50,30.708432
-50.52413,50,30.827127
-58.010327,50,31.131798
-61.559006,50,31.248419
-101.854429,50,31.549857
-15.520638,50,31.689056
-59.047414,50,32.016799
-69.230225,50,32.147943
-66.627811,50,32.464877
-83.083119,50,32.588367
-58.149432,50,32.902439
-46.439707,50,33.032813
-60.954468,50,33.376828
-66.571609,50,33.512956
-54.604991,50,33.800826
-60.132094,50,33.92869
-71.215928,50,34.227587
-36.456274,50,34.356041
-58.984085,50,34.696339
-56.713309,50,34.814308
-55.305371,50,35.122051
-51.693655,50,35.248253
-44.338753,50,35.56679
-46.639731,50,35.679239
-59.131257,50,35.973433
-55.507464,50,36.106092
-48.346063,50,36.423624
-60.69245,50,36.540826
-50.452807,50,36.883382
-60.951659,50,37.000437
-59.441939,50,37.379611
-37.550704,50,37.565621
-62.374127,50,37.972427
-77.814566,50,38.101126
-44.3988,50,38.416988
-60.444898,50,38.545462
-67.278779,50,38.875944
-74.016143,50,39.002547
-60.105347,50,39.318756
-78.934819,50,39.438405
-93.760138,50,39.752317
-46.272507,50,39.885022
-64.831659,50,40.241744
-63.562873,50,40.369335
-61.107974,50,40.684894
-62.196556,50,40.808
-60.776732,50,41.120371
-54.795857,50,41.238941
-90.180843,50,41.54449
-78.426044,50,41.662717
-82.418208,50,41.975398
-62.560875,50,42.096144
-67.120911,50,42.420316
-61.111671,50,42.555281
-78.492891,50,42.911325
-62.334723,50,43.030614
-76.478008,50,43.347526
-54.118959,50,43.463665
-70.306866,50,43.788599
-54.633306,50,43.960836
-36.618926,50,44.321123
-53.505422,50,44.456312
-61.074029,50,44.811008
-53.51911,50,44.958478
-55.862233,50,45.313687
-47.954001,50,45.461296
-72.52673,50,45.790635
-52.971415,50,45.927804
