# {"t_start": 1619409432.9830208, "env_id": "Reacher-v2"} 
r,l,t
-72.411145,50,1.08615
-61.969415,50,1.183537
-53.417235,50,1.282753
-60.625579,50,1.381779
-64.412102,50,1.482648
-64.226356,50,1.579216
-57.843097,50,1.673844
-62.986387,50,1.770119
-55.767029,50,1.87352
-56.043957,50,1.968846
-53.119467,50,2.069061
-60.769379,50,2.164519
-54.459821,50,2.263459
-59.847261,50,2.362945
-56.1216,50,2.461742
-58.601413,50,2.565306
-61.457548,50,2.665007
-59.925571,50,2.764816
-60.102718,50,2.8615
-63.313563,50,2.965469
-59.559347,50,3.067514
-63.44264,50,3.16798
-55.781707,50,3.267051
-65.11664,50,3.366716
-64.569716,50,3.468954
-61.091681,50,3.572422
-62.700109,50,3.675953
-64.402057,50,3.775352
-47.394104,50,3.880314
-51.092836,50,3.986896
-57.90631,50,4.084994
-60.86951,50,4.183255
-60.228855,50,4.28067
-60.458946,50,4.380007
-74.242285,50,4.47851
-67.056148,50,4.576547
-65.390647,50,4.675343
-59.779005,50,4.77033
-55.402644,50,4.869344
-68.315091,50,4.9654
-55.978135,50,5.827762
-59.746644,50,5.937343
-49.158209,50,6.038322
-63.355106,50,6.133419
-59.949114,50,6.234996
-60.000438,50,6.333494
-64.052908,50,6.429502
-53.420899,50,6.525237
-63.13069,50,6.620479
-52.963684,50,6.722446
-61.221157,50,6.8242
-59.11644,50,6.929945
-57.831878,50,7.02806
-55.866448,50,7.128039
-57.21254,50,7.22898
-53.354313,50,7.338101
-59.733302,50,7.446926
-61.711984,50,7.548276
-58.48613,50,7.650581
-63.635477,50,7.74718
-54.888261,50,7.846612
-67.838428,50,7.948497
-54.230035,50,8.04785
-56.971066,50,8.144341
-58.858333,50,8.243205
-60.391187,50,8.351013
-61.985999,50,8.454355
-73.060238,50,8.556231
-61.04754,50,8.655341
-63.077049,50,8.751576
-57.118422,50,8.847361
-61.930489,50,8.947418
-61.189995,50,9.044433
