eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
50.0,-60.555523025,410,0.005968765,0.072705075,2.8115501,-0.009594913,0.6985098,-0.3440438508987427,1,2048,4.993315644998802,2048
50.0,-60.03916899999999,422,0.0036410403,0.036083985,2.7691517,-0.006619376,0.5223793,-0.8623636960983276,2,4096,9.838873552998848,4096
50.0,-60.072471390000004,422,0.0061453553,0.07109375,2.7276309,-0.010403799,0.42365605,-0.6144129037857056,3,6144,14.683878092000668,6144
50.0,-59.30264579000001,429,0.0054230834,0.06508789,2.692093,-0.008645912,0.3097278,-0.31697702407836914,4,8192,19.45489546099998,8192
50.0,-58.28078874,431,0.0044681346,0.046923827,2.660191,-0.0073194345,0.26835233,-0.13582241535186768,5,10240,24.19935772700046,10240
50.0,-57.72879919,430,0.0056707906,0.06743164,2.6139417,-0.010001397,0.23535344,0.024859368801116943,6,12288,28.957336718998704,12288
50.0,-56.76813639,430,0.0041837236,0.044287108,2.566608,-0.0063162344,0.17657295,0.18394899368286133,7,14336,33.71777160499914,14336
50.0,-56.187205709999986,433,0.004695377,0.05307617,2.5153067,-0.007932162,0.16511051,0.2748168706893921,8,16384,38.44113520300016,16384
50.0,-54.99540299,442,0.002771113,0.023291016,2.4759603,-0.004062336,0.13759202,0.3870529532432556,9,18432,43.06491332099904,18432
50.0,-54.710997719999995,430,0.0059693432,0.072021484,2.4384315,-0.010210155,0.12222568,0.4927399754524231,10,20480,47.82184439499906,20480
50.0,-54.33548059999999,431,0.0060960944,0.06743164,2.383587,-0.011817657,0.13145167,0.5210798978805542,11,22528,52.572685717997956,22528
50.0,-53.15676568,433,0.006857558,0.07529297,2.3206398,-0.012108135,0.10272461,0.5959060490131378,12,24576,57.296938446997956,24576
50.0,-52.13847543,427,0.005528763,0.059228517,2.2693734,-0.007709261,0.09681724,0.6433326601982117,13,26624,62.08261448099802,26624
50.0,-51.66582072999999,428,0.0052015823,0.054541014,2.221527,-0.009030591,0.100671604,0.6510230302810669,14,28672,66.85711529100081,28672
50.0,-50.85972482999998,437,0.007023955,0.07910156,2.1537416,-0.014347102,0.10494852,0.6258286535739899,15,30720,71.53937929099993,30720
50.0,-49.62814742,430,0.005177256,0.055566408,2.0920026,-0.00856943,0.07412407,0.7266434729099274,16,32768,76.29970209699968,32768
50.0,-48.643426139999995,426,0.005563794,0.0625,2.0415692,-0.008502816,0.07048819,0.7463200092315674,17,34816,81.09726809700078,34816
50.0,-48.28059256,425,0.007956936,0.09516601,1.9915249,-0.012351491,0.101060644,0.6188136637210846,18,36864,85.9120877969981,36864
50.0,-47.97155946,414,0.0050492687,0.04506836,1.9311415,-0.009439111,0.076540746,0.7252103984355927,19,38912,90.8538784400007,38912
50.0,-46.90194007000001,426,0.007301082,0.08291016,1.8594112,-0.012219422,0.07349078,0.7470297813415527,20,40960,95.65251924800032,40960
50.0,-45.58032072999998,432,0.0063888496,0.07729492,1.8147357,-0.010102809,0.07257046,0.7402116060256958,21,43008,100.39326395600074,43008
50.0,-43.3354002,430,0.00619381,0.06938477,1.7605293,-0.010954619,0.075535774,0.6592639982700348,22,45056,105.15396600700115,45056
50.0,-42.33079895,434,0.005069903,0.05356445,1.6978827,-0.008042988,0.07719277,0.6228503286838531,23,47104,109.8670170330006,47104
50.0,-41.33524057,433,0.006519494,0.074072264,1.6411473,-0.01207458,0.06671174,0.6991448104381561,24,49152,114.59193829799915,49152
50.0,-40.71334372,438,0.0069443686,0.07626953,1.580243,-0.012014352,0.07543172,0.6307922601699829,25,51200,119.2655152849984,51200
50.0,-40.23924510999999,432,0.008539172,0.110644534,1.5250623,-0.013410255,0.045778666,0.7878419607877731,26,53248,124.00507912099783,53248
50.0,-39.056413019999994,430,0.006648831,0.08041992,1.4719042,-0.009661581,0.037457783,0.8228687196969986,27,55296,128.7620431719988,55296
50.0,-37.57531343,435,0.009121629,0.111376956,1.4145243,-0.013912392,0.047083076,0.7617101967334747,28,57344,133.4630426900003,57344
50.0,-36.7298361,433,0.00665702,0.07875977,1.3526933,-0.011070544,0.03429665,0.7960055023431778,29,59392,138.1897794079996,59392
50.0,-36.566864620000004,431,0.0073370747,0.08691406,1.2875339,-0.013141053,0.042984188,0.771450012922287,30,61440,142.93572091399983,61440
50.0,-35.98983479,433,0.0074242936,0.09082031,1.2238926,-0.0132616665,0.037530556,0.788149893283844,31,63488,147.65782840199972,63488
50.0,-34.84106043,432,0.008378904,0.10444336,1.1605568,-0.012816007,0.027863178,0.8303914666175842,32,65536,152.3901972140011,65536
50.0,-34.07521446,429,0.0068113906,0.07773437,1.089019,-0.013020115,0.022031847,0.8645552545785904,33,67584,157.16283199499958,67584
50.0,-32.85839441,432,0.007901728,0.091796875,1.0141822,-0.012015808,0.027049854,0.8332945257425308,34,69632,161.89871616299934,69632
50.0,-31.484772720000006,433,0.006387841,0.07470703,0.9542282,-0.010522744,0.023652632,0.8095397502183914,35,71680,166.61896587599767,71680
50.0,-29.721963139999993,438,0.0074341744,0.09438477,0.91470593,-0.011458842,0.022822542,0.810177281498909,36,73728,171.2935716690008,73728
50.0,-28.792223459999995,435,0.0063220346,0.077539064,0.8712288,-0.008886271,0.02457311,0.8283739686012268,37,75776,175.9989536969988,75776
