# {"t_start": 1619411770.9734135, "env_id": "Reacher-v2"} 
r,l,t
-63.274664,50,1.161405
-56.938008,50,1.260168
-59.919178,50,1.355951
-60.032673,50,1.455226
-62.492803,50,1.555323
-59.909289,50,1.658196
-63.916535,50,1.762115
-57.722652,50,1.868683
-62.818112,50,1.972054
-66.204449,50,2.070999
-71.896952,50,2.168259
-64.26222,50,2.267023
-63.422978,50,2.368928
-55.48197,50,2.471438
-58.559381,50,2.572207
-67.976997,50,2.671653
-67.474413,50,2.770268
-60.448294,50,2.868251
-61.851468,50,2.972825
-59.689282,50,3.07427
-61.17396,50,3.472541
-63.289714,50,3.576741
-52.39178,50,3.675074
-59.32373,50,3.773545
-58.300014,50,3.872722
-61.552268,50,3.97066
-66.573091,50,4.073096
-58.450696,50,4.175463
-58.307121,50,4.280241
-58.032095,50,4.386052
-65.306061,50,4.491129
-62.360668,50,4.595932
-68.730924,50,4.700547
-66.116672,50,4.800033
-64.149231,50,4.901157
-60.33314,50,5.003576
-55.759723,50,5.104605
-58.066548,50,5.207748
-54.681601,50,5.310424
-63.964687,50,5.412369
-65.455385,50,5.681138
-76.653709,50,5.788688
-61.692671,50,5.892133
-54.049737,50,5.992499
-61.277068,50,6.09645
-65.252333,50,6.197855
-62.81686,50,6.298407
-68.492765,50,6.413735
-62.763198,50,6.518389
-55.71658,50,6.622555
-61.508051,50,6.72218
-52.010595,50,6.823065
-64.511925,50,6.925318
-62.325235,50,7.027417
-74.225773,50,7.126727
-64.403107,50,7.227008
-62.868042,50,7.329989
-71.025608,50,7.433304
-64.027483,50,7.537208
-58.255395,50,7.639395
-58.293541,50,7.754725
-58.394912,50,8.018937
-58.04085,50,8.120931
-59.015713,50,8.224427
-57.609934,50,8.325608
-65.72408,50,8.42821
-62.213537,50,8.532948
-67.551718,50,8.636329
-62.409471,50,8.741993
-62.869167,50,8.854504
-63.053256,50,8.961527
-61.972398,50,9.065626
-62.396067,50,9.17166
-65.609046,50,9.27424
-55.261533,50,9.382174
-65.102318,50,9.490047
-62.370495,50,9.597612
-66.33823,50,9.697027
-61.240415,50,9.798331
-59.672879,50,9.902378
-61.138677,50,10.005115
-47.10099,50,10.26181
-52.820565,50,10.365624
-61.117444,50,10.465051
-69.659611,50,10.5661
-67.156258,50,10.667981
-72.219591,50,10.772315
-50.436521,50,10.884063
-63.488073,50,10.992935
-52.901753,50,11.091955
-59.176113,50,11.192158
-63.117392,50,11.293671
-56.569802,50,11.399353
-53.738523,50,11.503617
-54.846797,50,11.612544
-62.202821,50,11.714937
-62.419728,50,11.822263
-58.244722,50,11.934984
-67.582792,50,12.048485
-61.263435,50,12.148537
-67.876721,50,12.245847
-52.924255,50,12.347243
-65.420358,50,12.599935
-64.21041,50,12.70626
-59.207318,50,12.805239
-54.573778,50,12.903621
-56.901002,50,13.00204
-59.924907,50,13.100906
-52.708834,50,13.198408
-52.51786,50,13.295644
-57.895424,50,13.398498
-56.515598,50,13.502816
-51.190887,50,13.601791
-57.708659,50,13.708378
-56.862633,50,13.813243
-70.195031,50,13.916894
-59.470974,50,14.022542
-61.515297,50,14.128152
-61.179466,50,14.22895
-60.368633,50,14.329631
-62.360322,50,14.431769
-58.585461,50,14.527702
-52.973342,50,14.783898
-57.781737,50,14.891004
-57.300659,50,14.999096
-58.910473,50,15.102627
-60.393995,50,15.201832
-67.658803,50,15.299744
-61.113619,50,15.402121
-58.325828,50,15.502458
-60.518689,50,15.605261
-61.201717,50,15.704974
-58.852767,50,15.802414
-54.088298,50,15.913007
-54.787088,50,16.018041
-64.699702,50,16.118662
-54.600546,50,16.213211
-58.381467,50,16.310499
-67.144425,50,16.414081
-65.176103,50,16.519196
-56.51529,50,16.61778
-57.580585,50,16.714857
-63.470305,50,16.819987
-56.617444,50,17.071574
-47.687532,50,17.172921
-63.384367,50,17.27922
-57.018843,50,17.389143
-57.991489,50,17.498079
-59.878095,50,17.597312
-60.171746,50,17.694329
-56.775044,50,17.792065
-54.494682,50,17.897823
-54.212777,50,18.00416
-57.978333,50,18.104673
-51.782464,50,18.216766
-57.157493,50,18.323841
-57.755835,50,18.422631
-61.88731,50,18.520846
-52.112299,50,18.619933
-70.595586,50,18.720942
-58.512428,50,18.822988
-62.232151,50,18.928491
-61.029403,50,19.035871
-57.565318,50,19.28939
-57.471878,50,19.388997
-55.162887,50,19.491422
-64.956747,50,19.588019
-57.938616,50,19.694089
-55.594837,50,19.796922
-53.541541,50,19.901091
-59.94757,50,20.003908
-61.270049,50,20.105611
-59.190234,50,20.209549
-56.683335,50,20.310141
-57.341285,50,20.408982
-51.326059,50,20.505818
-68.285019,50,20.603401
-58.027062,50,20.70234
-57.871319,50,20.805072
-59.1625,50,20.911774
-53.744018,50,21.016639
-57.109716,50,21.118629
-52.4064,50,21.221131
-58.596847,50,21.324891
-59.202555,50,21.587306
-57.197034,50,21.685853
-54.143475,50,21.784574
-65.259188,50,21.884606
-57.546593,50,21.982359
-60.294608,50,22.082045
-60.317022,50,22.182163
-55.900684,50,22.285697
-50.333545,50,22.388792
-54.735488,50,22.495197
-60.73239,50,22.596007
-58.111861,50,22.704
-61.633463,50,22.801932
-68.753202,50,22.89731
-61.447338,50,22.995581
-62.107847,50,23.094166
-57.666115,50,23.194592
-47.51801,50,23.293729
-56.15704,50,23.397987
-55.661796,50,23.50291
-56.601891,50,23.763657
-54.804275,50,23.869689
-57.390824,50,23.978364
-60.775061,50,24.082398
-56.550263,50,24.18505
-54.585839,50,24.288031
-69.409424,50,24.391415
-59.001454,50,24.494634
-53.290974,50,24.5989
-55.726308,50,24.702712
-59.761028,50,24.802783
-56.824056,50,24.900246
-68.028198,50,24.99893
-55.993968,50,25.09548
-53.315753,50,25.200066
-56.671247,50,25.300886
-54.868418,50,25.399859
-57.675665,50,25.506707
-55.364673,50,25.618057
-54.598424,50,25.731855
-65.537443,50,25.834626
-62.470343,50,26.080428
-60.23003,50,26.182068
-58.051146,50,26.289907
-60.242085,50,26.392701
-52.729345,50,26.501004
-66.549208,50,26.603678
-59.766733,50,26.713071
-54.668847,50,26.82116
-53.257629,50,26.923968
-59.799083,50,27.023898
-62.691322,50,27.126385
-64.764696,50,27.236988
-52.558249,50,27.336318
-65.608146,50,27.439331
-65.411937,50,27.542413
-63.932385,50,27.646013
-63.60868,50,27.749092
-58.218906,50,27.854352
-55.640074,50,27.954763
-58.056924,50,28.064422
-67.36782,50,28.323222
-55.835921,50,28.427924
-55.18286,50,28.535804
-59.926219,50,28.645976
-52.930114,50,28.751135
-52.379246,50,28.852367
-52.680998,50,28.955399
-60.820455,50,29.065218
-54.647822,50,29.180991
-62.582899,50,29.289238
-54.91419,50,29.398658
-58.521635,50,29.498818
-56.847861,50,29.605546
-63.670805,50,29.71421
-68.688156,50,29.820116
-58.706056,50,29.926558
-52.322471,50,30.029887
-56.929959,50,30.13075
-57.746954,50,30.236319
-59.705069,50,30.346296
-55.28137,50,30.446736
-52.015703,50,30.70818
-54.017007,50,30.80969
-59.630745,50,30.910883
-49.788879,50,31.022681
-64.116052,50,31.132982
-55.155851,50,31.237204
-53.801489,50,31.350821
-57.649978,50,31.465471
-56.921213,50,31.575037
-70.861005,50,31.680938
-52.223511,50,31.788405
-62.080649,50,31.894769
-54.655152,50,32.001328
-51.997148,50,32.106349
-62.930893,50,32.209426
-67.291814,50,32.31623
-62.535195,50,32.423735
-61.688203,50,32.528352
-59.742948,50,32.631969
-64.129393,50,32.732785
-62.764902,50,32.987843
-61.20155,50,33.090231
-55.232869,50,33.193792
-65.837458,50,33.295177
-49.908243,50,33.392986
-60.655741,50,33.493092
-48.55719,50,33.596853
-55.984149,50,33.697598
-61.329256,50,33.797804
-59.451265,50,33.901726
-62.464157,50,34.006265
-57.46991,50,34.103845
-64.010649,50,34.204663
-57.699277,50,34.30325
-56.045886,50,34.401224
-57.874354,50,34.501059
-60.360817,50,34.600461
-63.269428,50,34.707366
-58.318278,50,34.808295
-55.660388,50,34.907832
-53.689171,50,35.009652
-57.30817,50,35.266819
-61.9372,50,35.368414
-59.013627,50,35.472849
-61.385343,50,35.575263
-57.092432,50,35.683075
-53.684071,50,35.789083
-48.660129,50,35.895274
-56.906588,50,35.9979
-58.82291,50,36.100413
-59.984169,50,36.208366
-54.577983,50,36.311424
-50.991912,50,36.411782
-61.283559,50,36.511027
-58.415009,50,36.60944
-51.024153,50,36.711683
-52.993929,50,36.811367
-58.694692,50,36.91126
-58.727674,50,37.010655
-67.591264,50,37.110526
-52.906203,50,37.213061
-63.68525,50,37.475702
-57.314701,50,37.579947
-56.051295,50,37.683636
-59.526025,50,37.787129
-63.186393,50,37.887929
-58.121991,50,37.987683
-61.868517,50,38.090932
-53.54045,50,38.193958
-58.412165,50,38.302542
-65.222518,50,38.409778
-65.058209,50,38.514437
-59.972861,50,38.613752
-61.410346,50,38.7195
-54.59861,50,38.821149
-62.272157,50,38.920736
-59.4351,50,39.018798
-59.637763,50,39.117013
-58.773187,50,39.220925
-57.821472,50,39.323051
-49.640747,50,39.425451
-64.503276,50,39.527292
-58.344076,50,39.797208
-53.642096,50,39.896919
-58.025784,50,39.995702
-55.985969,50,40.095541
-65.108817,50,40.196333
-62.695251,50,40.29622
-51.209307,50,40.398399
-52.151611,50,40.501207
-58.513806,50,40.604874
-61.72611,50,40.706903
-53.847715,50,40.81051
-59.955283,50,40.916325
-63.182194,50,41.018024
-58.181661,50,41.118905
-58.663499,50,41.216942
-55.643653,50,41.316133
-66.478887,50,41.417184
-60.714948,50,41.521009
-56.360051,50,41.624084
-57.870078,50,41.728936
-59.985221,50,42.004209
-65.242248,50,42.107178
-55.221094,50,42.210113
-56.683797,50,42.310257
-51.473393,50,42.411091
-57.387402,50,42.513207
-52.672849,50,42.619305
-55.935344,50,42.731702
-65.573926,50,42.832617
-63.298446,50,42.935747
-51.690563,50,43.03873
-54.818164,50,43.140652
-61.606049,50,43.243817
-56.576192,50,43.348087
-65.099359,50,43.451903
-58.026777,50,43.554641
-45.15353,50,43.658542
-54.782711,50,43.761959
-64.305945,50,43.86125
-58.927634,50,43.963308
-53.853728,50,44.067271
-56.714555,50,44.348749
-65.360129,50,44.453563
-68.458197,50,44.557297
-60.184672,50,44.662632
-58.927411,50,44.764246
-54.033116,50,44.869699
-61.469021,50,44.976099
-53.949799,50,45.081233
-54.660974,50,45.194459
-63.33409,50,45.297884
-46.626453,50,45.398798
-58.528704,50,45.499783
-61.048154,50,45.600209
-57.325428,50,45.702397
-54.981848,50,45.803805
-58.315381,50,45.904047
-52.767257,50,46.004072
-57.618826,50,46.104424
-54.393281,50,46.203756
-52.268874,50,46.306728
-57.418686,50,46.575059
-47.416503,50,46.682794
-48.463453,50,46.787715
-54.161984,50,46.89614
-60.73622,50,47.000822
-56.841635,50,47.105307
-61.972498,50,47.204773
-56.555543,50,47.309254
-62.444354,50,47.411827
-51.68939,50,47.510641
-56.341996,50,47.610528
-49.415195,50,47.708221
-49.252714,50,47.8073
-48.915643,50,47.908915
-51.36303,50,48.00975
-59.920398,50,48.112502
-59.222754,50,48.216801
-53.715489,50,48.320206
-52.878631,50,48.420316
-57.72061,50,48.520558
-54.43979,50,48.625325
-56.891218,50,48.885845
-56.753615,50,48.991357
-64.58914,50,49.095855
-56.443673,50,49.20113
-44.861756,50,49.306128
-55.36531,50,49.412256
-58.733682,50,49.522269
-55.470294,50,49.629707
-54.748464,50,49.734818
-48.878583,50,49.84096
-58.09203,50,49.941287
-49.844207,50,50.044948
-58.8227,50,50.15
-59.905441,50,50.253893
-56.763943,50,50.356337
-58.875213,50,50.459834
-57.770307,50,50.563772
-53.805107,50,50.667258
-53.712607,50,50.771947
-52.962228,50,50.873756
-58.647254,50,51.136552
-56.248986,50,51.239695
-53.30479,50,51.346874
-59.445609,50,51.447573
-53.011677,50,51.548612
-48.691113,50,51.653464
-58.641877,50,51.755413
-61.440017,50,51.855831
-58.578298,50,51.956311
-58.949884,50,52.054734
-53.538503,50,52.153244
-55.137007,50,52.253822
-49.916677,50,52.353382
-61.418825,50,52.453894
-52.375403,50,52.552442
-50.055142,50,52.655221
-53.467262,50,52.758626
-52.58615,50,52.858707
-54.750972,50,52.957019
-55.375448,50,53.056127
-51.992345,50,53.157685
-55.029356,50,53.411312
-55.36933,50,53.510909
-59.274515,50,53.613747
-55.973594,50,53.713673
-55.350396,50,53.818455
-54.291042,50,53.920703
-57.865368,50,54.022931
-56.536867,50,54.122312
-55.434892,50,54.223922
-52.842985,50,54.327502
-52.177308,50,54.428519
-60.912473,50,54.532146
-56.314367,50,54.631549
-60.795308,50,54.729519
-59.432063,50,54.828318
-60.962735,50,54.929157
-47.703665,50,55.026295
-47.224531,50,55.126483
-52.995809,50,55.225797
-59.07313,50,55.327553
-61.469306,50,55.577631
-60.143382,50,55.676605
-58.886755,50,55.774289
-57.746907,50,55.872167
-63.924777,50,55.971513
-52.045383,50,56.070112
-63.183167,50,56.170294
