EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-5.3873663,20,20,2.5203499794006348,1000,0.0,2.8571222,-0.20203888416290283,0.0062204357,0.018530913,0.018530913
50.0,-4.834334,20,40,4.783173084259033,2000,0.0,2.8554819,-0.13293921947479248,0.006588513,0.027188174,0.027188174
50.0,-4.35157,21,61,7.066896200180054,3050,0.0,2.8299794,0.2590249180793762,0.007136676,0.02820763,0.02820763
50.0,-4.366966,20,81,9.360047340393066,4050,0.0,2.8036852,0.3410604000091553,0.0072508,0.028537385,0.028537385
50.0,-4.2708726,21,102,11.643001794815063,5100,0.0,2.755976,0.3930111527442932,0.006405647,0.02442285,0.02442285
50.0,-4.212372,20,122,13.87774109840393,6100,0.0,2.7137396,0.3065928816795349,0.008065913,0.030934304,0.030934304
50.0,-4.196416,21,143,16.111042976379395,7150,0.0,2.713846,0.3919559121131897,0.0060471725,0.023046236,0.023046236
50.0,-4.2027216,20,163,18.3786358833313,8150,0.0,2.7157044,0.3998259902000427,0.0062822723,0.027815696,0.027815696
50.0,-4.1454515,21,184,20.620943784713745,9200,0.0,2.6839545,0.4157065749168396,0.0069684144,0.027326947,0.027326947
50.0,-4.169032,20,204,22.846400499343872,10200,0.0,2.6935294,0.448830783367157,0.0059112385,0.025346922,0.025346922
50.0,-4.1909895,21,225,25.11477279663086,11250,0.0,2.6973524,0.4079552888870239,0.005340321,0.02372794,0.02372794
50.0,-4.270321,20,245,27.40370750427246,12250,0.0,2.6506891,0.4533730149269104,0.006067522,0.03128413,0.03128413
50.0,-4.2703924,21,266,29.728681564331055,13300,0.0,2.6440527,0.46007299423217773,0.006340647,0.02994969,0.02994969
50.0,-4.226667,20,286,32.06556248664856,14300,0.0,2.6006472,0.49149757623672485,0.0049999575,0.031724777,0.031724777
50.0,-4.2798557,21,307,34.28781247138977,15350,0.0,2.5944633,0.5153416991233826,0.00548136,0.02855412,0.02855412
50.0,-4.2069125,20,327,36.54645609855652,16350,0.0,2.5809157,0.5212065875530243,0.0061192117,0.030644659,0.030644659
50.0,-4.2648835,21,348,38.81610178947449,17400,0.0,2.6024466,0.5452713668346405,0.0050767,0.029793993,0.029793993
50.0,-4.3063164,20,368,41.06814002990723,18400,0.0,2.5674894,0.5816340148448944,0.006376773,0.035603717,0.035603717
50.0,-4.245334,21,389,43.35649824142456,19450,0.0,2.5379028,0.4691781997680664,0.005917641,0.03390525,0.03390525
50.0,-4.2155557,20,409,45.63741588592529,20450,0.0,2.5146532,0.4503212571144104,0.0068932367,0.035418604,0.035418604
50.0,-4.123394,21,430,47.89587116241455,21500,0.0,2.514021,0.5302107632160187,0.005568383,0.037507996,0.037507996
50.0,-4.0630865,20,450,50.19553017616272,22500,0.0,2.4871938,0.5587505996227264,0.0055945306,0.035538208,0.035538208
50.0,-4.0862327,21,471,52.42157983779907,23550,0.0,2.4786131,0.592134565114975,0.004928701,0.033880033,0.033880033
50.0,-4.0979643,20,491,54.635032415390015,24550,0.0,2.4680974,0.5365097224712372,0.0059229336,0.033973195,0.033973195
50.0,-4.1826735,21,512,56.846389293670654,25600,0.0,2.4255419,0.5139550566673279,0.0063586826,0.032009535,0.032009535
50.0,-4.1159906,20,532,59.09158134460449,26600,0.0,2.4160614,0.5872726440429688,0.0057124747,0.03495145,0.03495145
50.0,-4.099143,20,552,61.29471397399902,27600,0.0,2.36911,0.478743314743042,0.0059935055,0.035966482,0.035966482
50.0,-4.0401735,21,573,63.50557565689087,28650,0.0,2.329726,0.45688921213150024,0.0049840077,0.03494902,0.03494902
50.0,-3.982114,20,593,65.73819780349731,29650,0.0,2.3057745,0.5368685722351074,0.0055040894,0.036651935,0.036651935
50.0,-4.0542135,21,614,67.95917797088623,30700,0.0,2.2756588,0.6159070730209351,0.0061254734,0.039256036,0.039256036
50.0,-3.9650283,20,634,70.20215559005737,31700,0.0,2.2472305,0.6777024567127228,0.0054516923,0.037354928,0.037354928
50.0,-3.8906765,21,655,72.45610284805298,32750,0.0,2.230036,0.5729903280735016,0.005704197,0.04088231,0.04088231
50.0,-3.932029,20,675,74.72375273704529,33750,0.0,2.2072475,0.5484508872032166,0.0053036474,0.0432401,0.0432401
50.0,-3.9406002,21,696,76.96863055229187,34800,0.0,2.1955736,0.5627858638763428,0.006183836,0.039811127,0.039811127
50.0,-3.942887,20,716,79.2266309261322,35800,0.0,2.1560316,0.6250068247318268,0.0068037454,0.04119594,0.04119594
50.0,-3.8715234,21,737,81.46586680412292,36850,0.0,2.1537535,0.49971961975097656,0.0069297943,0.039018754,0.039018754
50.0,-3.8571358,20,757,83.74935245513916,37850,0.0,2.1254618,0.6002997756004333,0.004874727,0.03672145,0.03672145
50.0,-3.7849274,21,778,86.01109075546265,38900,0.0,2.0986147,0.5745850205421448,0.005664348,0.03527388,0.03527388
