# {"t_start": 1619431231.547126, "env_id": "Walker2d-v2"} 
r,l,t
-3.977468,14,0.990346
-2.802274,19,1.02912
-2.448564,12,1.054465
3.248892,15,1.084549
-5.138769,12,1.108583
-5.578734,29,1.168247
-2.805244,14,1.20072
-2.057238,13,1.230769
-3.79297,9,1.251616
-2.571849,18,1.293148
4.577519,13,1.32359
2.404331,23,1.376952
-5.55741,13,1.404848
-5.661317,14,1.437763
1.415453,14,1.469944
-1.225513,18,1.509337
2.559693,31,1.577893
-13.362564,24,1.633269
-3.702399,23,1.68453
1.45407,22,1.735855
-5.762165,25,1.793394
-1.95273,24,1.847065
0.549817,13,1.876843
-6.145774,24,1.933099
-0.439894,27,1.995038
13.179085,29,2.055116
-0.473894,33,2.130106
-7.403489,13,2.159178
1.94996,31,2.225093
-1.624921,13,2.255429
-1.164745,33,2.331979
-3.142698,8,2.349697
-0.184994,21,2.398555
9.003177,26,2.458857
-4.829861,10,2.48215
2.981003,24,2.5384
-3.992354,10,2.561495
0.862397,10,2.584434
-4.540142,12,2.612518
-11.951312,18,2.654513
-4.710587,24,2.709879
-2.316421,15,2.744569
-3.164101,7,2.760981
-1.036965,16,2.797954
3.221688,18,2.839563
2.367207,12,2.867272
-5.83706,20,2.91331
0.229369,12,2.941285
3.359742,15,2.976197
-4.154221,16,3.013207
-7.467,17,3.052609
-10.893434,23,3.105557
-2.845313,9,3.125437
-0.813587,9,3.146775
1.81198,23,3.195445
-3.609037,11,3.217888
1.655821,18,3.252219
9.807913,22,3.296104
11.885933,20,3.339608
-0.070884,17,3.37437
-4.235262,7,3.389322
1.074811,13,3.417549
3.756016,16,3.449522
-3.191509,11,3.473328
-4.825588,16,3.506782
8.654009,22,3.550583
3.027859,15,3.58044
2.509677,12,3.604797
-0.930696,10,3.625602
-3.732385,7,3.639693
-4.046264,17,3.673793
2.45541,11,3.695843
-2.774394,25,3.746485
-1.291976,25,3.798414
-3.143344,17,3.833128
-6.984768,17,3.869288
-2.963756,8,3.885752
-3.093581,20,3.927669
-3.95224,15,3.958263
3.523542,16,3.992264
-11.017412,19,4.032989
3.77798,29,4.093485
-3.177189,12,4.120886
3.684568,26,4.173827
0.934655,18,4.211
-8.128962,26,4.266871
2.220931,19,4.306816
16.888951,28,4.36478
-1.511508,9,4.383255
-2.377301,13,4.410112
-7.241532,17,4.445054
-2.786272,11,4.467785
-1.399679,10,4.488339
1.150026,14,4.51946
2.673027,15,4.551476
-1.483385,13,4.579247
0.834276,11,4.60168
-3.042296,17,4.636343
1.415063,21,4.679661
-5.308845,13,4.706298
-0.206777,16,4.740428
5.162611,18,4.777375
3.719203,18,4.814601
-3.968727,22,4.85958
3.558889,29,4.919386
-0.684017,16,4.953896
4.007104,16,4.987002
6.037699,23,5.036258
-4.062493,23,5.085393
-1.52223,18,5.123993
-0.526583,15,5.155306
-8.815313,15,5.186121
0.790917,12,5.211128
-1.067577,11,5.233963
-2.980504,8,5.250604
-8.550621,14,5.279237
-2.035049,11,5.302032
0.544859,16,5.334993
-4.61284,12,5.359775
4.443828,30,6.184004
-1.257288,10,6.205853
-2.657136,10,6.22615
-4.257524,19,6.258462
8.511318,31,6.31352
3.308084,22,6.350778
-1.939263,19,6.381013
6.484921,18,6.417474
-0.339942,24,6.468148
-0.993131,9,6.486606
-10.870412,20,6.527581
2.681428,15,6.55819
-4.540683,14,6.586862
-4.248192,9,6.605357
4.549425,17,6.640095
14.110474,26,6.69323
-3.305472,20,6.735038
-5.958481,25,6.786467
