eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
17.04,-0.85479213,383,0.012160349,0.17900391,8.496298,-0.032488663,0.6085881,-0.17133307456970215,1,2048,5.341365389998828,2048
20.88,1.62477503,414,0.014546561,0.2121582,8.43828,-0.03538809,0.40050253,0.1037706732749939,2,4096,10.278637613999308,4096
27.31,5.11557677,414,0.013280856,0.19599609,8.365489,-0.03329122,0.2453345,0.29858046770095825,3,6144,15.21742251199612,6144
33.2,10.32339688,412,0.013516371,0.1883789,8.303466,-0.02734996,0.3754094,0.41570723056793213,4,8192,20.182970165995357,8192
42.45,20.93116301,413,0.012756875,0.18466797,8.230379,-0.030316781,0.345617,0.4577232003211975,5,10240,25.134773630998097,10240
50.24,27.866640889999996,410,0.0119980415,0.17382812,8.151171,-0.029666077,0.1612451,0.5916507840156555,6,12288,30.118908746997477,12288
64.2,46.424774789999994,417,0.011572803,0.1685547,8.090251,-0.028516036,0.23018463,0.6277530491352081,7,14336,35.02073655500135,14336
77.19,65.57366744,422,0.010095639,0.14433594,8.058978,-0.025581172,0.12788472,0.6384571194648743,8,16384,39.87142183499964,16384
94.19,82.43145595999998,410,0.010116243,0.14726563,8.019309,-0.02440262,0.08252339,0.7998474091291428,9,18432,44.863421306996315,18432
108.45,103.29423399000001,419,0.009793634,0.1397461,7.956959,-0.022620922,0.091440365,0.77237369120121,10,20480,49.74567236800067,20480
124.83,125.86572156,409,0.007902629,0.10478516,7.9052887,-0.018567916,0.06049447,0.7673721462488174,11,22528,54.743082312001206,22528
135.68,149.05712084000004,413,0.010199392,0.14614257,7.875421,-0.024492502,0.061563432,0.7881865054368973,12,24576,59.70130739999877,24576
147.55,168.03165767000002,418,0.009752935,0.14038086,7.848841,-0.0206451,0.043556795,0.8941694870591164,13,26624,64.5934867199976,26624
162.25,191.30357752,407,0.008798724,0.121435545,7.81175,-0.019074455,0.055456948,0.8747608661651611,14,28672,69.62317790299858,28672
168.92,207.72456848000002,415,0.008165675,0.11396484,7.7732315,-0.018597035,0.05189029,0.7658219635486603,15,30720,74.55398094799602,30720
179.73,224.20215092,408,0.010224667,0.14892578,7.772065,-0.023513367,0.044117868,0.8782535418868065,16,32768,79.5654336009975,32768
178.9,231.12306489000002,414,0.012708751,0.17373046,7.7610755,-0.023915723,0.049459245,0.8674204349517822,17,34816,84.50850270899537,34816
182.98,248.09302762000004,401,0.0084930295,0.115234375,7.6997337,-0.0189274,0.036829114,0.7843384891748428,18,36864,89.61445152899978,36864
177.96,250.42334399000003,409,0.011588241,0.16694336,7.6488466,-0.024958223,0.023655327,0.8787279650568962,19,38912,94.61110424299841,38912
174.05,251.12592387999996,408,0.011447551,0.16499023,7.6266007,-0.024144124,0.018112438,0.9013347998261452,20,40960,99.62111814699892,40960
180.26,263.49255779000003,410,0.008836324,0.12172852,7.6003504,-0.017716613,0.017335063,0.8907316029071808,21,43008,104.6108662159968,43008
181.25,274.31902383,413,0.008916242,0.12612304,7.5945807,-0.021384042,0.022775028,0.908015787601471,22,45056,109.56504100299935,45056
183.57,286.34828379,415,0.010826341,0.15439454,7.5805616,-0.02397422,0.012261455,0.93673375248909,23,47104,114.49280733499472,47104
182.46,288.85478615,420,0.010491681,0.14970703,7.529119,-0.025463456,0.009285549,0.9529520124197006,24,49152,119.35873882699525,49152
184.32,298.24945561,409,0.010715966,0.15117188,7.503127,-0.02246776,0.01573434,0.9260918647050858,25,51200,124.35829911100154,51200
186.25,307.43643569,410,0.0115588065,0.16079101,7.486924,-0.023898551,0.010593663,0.9535911455750465,26,53248,129.35319495300064,53248
186.08,307.85170446000006,404,0.010997498,0.1565918,7.449355,-0.026487067,0.01241026,0.9408828727900982,27,55296,134.41802240099787,55296
186.34,310.6188539,402,0.010577298,0.15541992,7.3881555,-0.022802759,0.005976974,0.9725963789969683,28,57344,139.5065858550006,57344
184.91,311.97088835,406,0.010925734,0.14428711,7.3321524,-0.025661433,0.0045079007,0.9791056402027607,29,59392,144.5503755739992,59392
184.08,313.49159837999997,411,0.009357994,0.13774414,7.2971754,-0.021412445,0.0052006217,0.9757933523505926,30,61440,149.52549693299807,61440
185.98,318.21964096000005,408,0.009667504,0.134375,7.2723513,-0.020319082,0.005332128,0.9750615805387497,31,63488,154.5342725590017,63488
184.36,320.39902270000005,419,0.010451501,0.15073243,7.2476454,-0.026123514,0.003272588,0.9850313877686858,32,65536,159.41469204700115,65536
181.37,318.51398761999997,410,0.008063155,0.10517578,7.219588,-0.020493686,0.01131193,0.9619961827993393,33,67584,164.40732212299918,67584
180.57,324.65675405999997,418,0.0095117,0.13339844,7.2072783,-0.022635346,0.0030028676,0.986143440939486,34,69632,169.30635585900018,69632
176.96,326.50280151000004,421,0.008376759,0.11767578,7.185275,-0.018492451,0.0025882642,0.9903590902686119,35,71680,174.16869641399535,71680
176.08,327.81927961,404,0.010761747,0.15195313,7.152433,-0.022487413,0.0020106533,0.9912719130516052,36,73728,179.23034195799846,73728
176.65,329.3211033699999,406,0.009916084,0.14672852,7.1093698,-0.021358218,0.0027727413,0.9890911811962724,37,75776,184.26303313599783,75776
174.09,328.41713817000004,398,0.010120413,0.14267579,7.058501,-0.019096974,0.0021301364,0.9925200492143631,38,77824,189.40843266600132,77824
