# {"t_start": 1619433659.992505, "env_id": "Walker2d-v2"} 
r,l,t
5.331545,39,1.149013
1.020768,15,1.181195
3.757088,14,1.213093
-5.817861,12,1.241894
2.146655,19,1.288924
3.867978,15,1.325968
3.302532,13,1.357355
-7.260597,19,1.400352
-4.978668,25,1.453676
-8.212071,29,1.514684
-0.324507,17,1.553364
0.897549,16,1.588969
-1.714358,16,1.62446
3.027117,26,1.681277
1.183839,13,1.708958
-4.707249,16,1.743896
0.807042,18,1.781167
-1.659808,9,1.80029
1.868166,16,1.833777
-1.916343,10,1.855101
-2.18797,14,1.885368
-4.508192,12,1.91243
11.741229,20,1.954059
-3.979693,14,1.983396
-5.72402,11,2.007425
-1.069558,19,2.049308
-0.558471,14,2.079664
-8.768644,19,2.120952
-2.650347,7,2.136198
-2.198427,13,2.165377
-4.533319,19,2.206899
-3.025017,10,2.228796
-1.861207,16,2.263462
4.084449,17,2.301514
4.919093,22,2.34682
2.104065,15,2.380763
5.735637,16,2.416704
-6.703918,10,2.439858
-4.990012,27,2.499488
-2.9899,27,2.556261
-2.253932,12,2.581864
-0.270837,20,2.624948
-3.10273,10,2.646351
-1.343144,34,2.718483
7.490027,22,2.766312
-6.675247,24,2.816926
-6.123333,17,2.853398
10.381445,25,2.9065
-6.137647,16,2.940939
-4.044438,9,2.96041
2.476829,12,2.985595
3.76559,13,3.013042
0.816593,11,3.036438
-3.632447,12,3.062812
1.067891,26,3.117819
0.930796,13,3.145334
-2.577091,15,3.177024
-7.68795,22,3.223268
-6.637941,21,3.267484
-4.295469,14,3.579114
-7.661716,16,3.619315
-15.116921,23,3.669332
-5.864362,16,3.704034
-1.190759,13,3.732494
0.626027,22,3.780256
-12.576334,15,3.812961
-3.279004,19,3.853683
-4.289342,31,3.920505
11.618798,55,4.037529
2.473268,27,4.093048
0.588661,35,4.164447
4.842434,25,4.217314
9.472328,28,4.275695
1.692646,27,4.331565
-2.718394,21,4.375463
-4.123718,8,4.392521
9.252125,23,4.440275
-2.057549,10,4.461538
-2.972026,11,4.486748
-5.797355,10,4.509406
5.620403,17,4.546822
-3.080638,15,4.57925
-0.923985,24,4.630715
9.027978,29,4.690757
-0.282303,16,4.724599
4.606994,22,4.770901
-1.160121,14,4.800699
-2.593299,22,4.846886
-1.067699,51,4.959443
-0.712387,11,4.985905
-0.697024,14,5.015846
4.609454,19,5.055531
-3.943616,17,5.095855
-3.302503,16,5.134795
15.33404,25,5.194118
8.203261,31,5.267444
7.391904,28,5.329109
-4.395188,22,5.376638
10.400153,30,5.443495
-4.909581,18,5.484118
-2.69976,25,5.540376
-1.537009,11,5.565711
1.240964,11,5.590511
-5.388453,14,5.623539
3.804143,14,5.653941
13.715322,36,5.735066
-1.327706,12,5.761797
-2.430491,13,5.790422
5.221445,15,5.968232
0.315027,14,6.000729
10.34892,19,6.045702
0.959038,15,6.079479
4.678626,24,6.127586
0.278446,9,6.146757
20.109709,39,6.229182
-2.966163,17,6.269629
0.089322,15,6.30601
-4.866795,43,6.399826
-1.734295,11,6.423132
14.358991,26,6.478804
26.452737,45,6.57412
7.6605,21,6.622665
2.646643,18,6.662096
-1.858476,12,6.688477
6.941543,39,6.779166
1.400069,13,6.808667
-4.277512,10,6.829754
-1.58112,22,6.874918
-1.887641,8,6.891918
4.274478,21,6.937514
-8.054319,47,7.039038
-2.666158,25,7.093469
2.304852,18,7.133806
3.58578,13,7.163471
-2.812867,13,7.191415
6.317693,31,7.26065
7.796087,29,7.322791
21.512623,37,7.4036
-2.045329,17,7.443576
2.67888,31,7.509998
22.013897,46,7.612633
9.283969,33,7.683351
3.459499,29,7.744335
3.506075,24,7.795441
10.217975,35,7.867311
5.341959,21,7.914775
0.000364,14,7.945247
18.304388,42,8.03862
-2.110462,12,8.067115
-1.202489,11,8.093264
-0.921288,9,8.114708
-6.762402,16,8.15195
-4.222663,14,8.182276
-2.537125,19,8.376446
5.239467,24,8.434644
-5.123997,11,8.461132
3.449191,18,8.503697
11.722173,24,8.559154
-3.835989,7,8.57661
-2.114858,16,8.610849
4.166836,27,8.667731
2.441569,19,8.711211
16.589356,50,8.817995
10.571218,42,8.903535
-6.046031,24,8.955278
3.249613,15,8.988129
2.782371,19,9.029413
-3.294189,24,9.079942
8.645089,25,9.132822
-9.16035,13,9.157051
12.623151,33,9.227837
1.227312,17,9.265032
2.446379,27,9.322304
-5.272803,11,9.346464
0.662129,10,9.367836
9.429284,39,9.450475
21.11349,38,9.532653
11.2271,28,9.591096
28.823093,36,9.6671
57.161007,67,9.806471
-5.775522,35,9.879467
4.995611,26,9.937459
4.503676,15,9.968853
-6.86484,23,10.017089
-6.110594,13,10.046046
9.270861,29,10.108699
2.706929,21,10.153934
1.409937,28,10.214508
10.256954,31,10.287443
-2.281652,18,10.330057
5.306835,22,10.383099
-0.291206,11,10.410122
0.652807,19,10.451195
6.010398,31,10.520064
11.409683,20,10.564221
0.271525,17,10.756852
8.419528,25,10.811809
2.766448,13,10.839843
11.2073,24,10.891352
-0.596868,14,10.921147
4.336872,23,10.9699
0.484805,13,10.99778
-0.444173,10,11.019283
16.973484,34,11.090515
3.029177,56,11.207406
6.518422,20,11.249316
6.347027,19,11.289275
0.738973,20,11.331564
-0.653621,11,11.355503
-3.897186,16,11.390503
0.957001,12,11.416379
9.749413,23,11.465681
1.146555,28,11.525871
9.105172,20,11.568338
1.529754,18,11.606659
17.665032,49,11.709512
9.79544,28,11.770343
-3.378902,15,11.803469
1.393281,15,11.836312
2.325037,15,11.868935
14.177617,43,11.962836
-3.040787,15,11.995504
-1.105624,10,12.017764
6.804762,27,12.077924
25.898374,59,12.205654
6.710615,19,12.246715
5.470028,16,12.281404
-3.871101,17,12.318125
1.812072,25,12.37279
-3.864691,15,12.40473
-6.466245,22,12.452292
13.160985,55,12.567989
0.192327,10,12.591197
2.085702,17,12.627986
3.63223,15,12.660172
17.208193,33,12.730952
-0.012579,15,12.764325
0.008752,17,12.800832
16.627706,42,12.890073
14.246613,42,13.132684
117.375568,99,13.343748
10.132737,24,13.392734
36.988469,42,13.484156
0.202283,10,13.505981
-1.073489,19,13.547234
11.503777,43,13.638459
6.572303,25,13.691907
7.851443,26,13.747756
12.668128,33,13.819065
0.477992,17,13.856537
4.566409,15,13.8888
31.064928,37,13.967214
36.517025,70,14.116055
5.361971,24,14.169697
5.247442,30,14.234319
7.564424,19,14.276431
21.000729,46,14.374452
8.043705,31,14.44026
19.584745,54,14.558139
8.772027,59,14.681419
35.909333,60,14.808934
1.06216,16,14.842819
2.764381,12,14.868392
-1.191655,16,14.902482
-0.010132,16,14.936519
111.540495,119,15.194288
6.836962,33,15.267731
40.763389,64,15.564361
2.471074,27,15.624916
11.587704,50,15.734839
51.342706,55,15.855806
