EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
16.65,-0.42301717,59,59,2.6801857948303223,1013,0.0,8.467202,-0.18408215045928955,0.007689641,0.05237267,0.05237267
21.425,0.44807863,49,108,5.0631103515625,2039,0.0,8.448189,0.10823959112167358,0.00791077,0.053553898,0.053553898
23.4,0.8379103,45,153,7.462724447250366,3062,0.0,8.410241,0.22491925954818726,0.007899629,0.058115836,0.058115836
24.55,0.9709768,42,195,9.8462975025177,4087,0.0,8.421284,0.27824854850769043,0.008076928,0.066668734,0.066668734
23.275,0.7313956,44,239,12.198966026306152,5097,0.0,8.395717,0.1102868914604187,0.008099876,0.055983838,0.055983838
33.0,1.8439335,28,267,14.550134181976318,6134,0.0,8.353305,0.2497071623802185,0.0075935926,0.052513108,0.052513108
39.075,1.6682113,26,293,16.915339708328247,7162,0.0,8.384918,0.33392149209976196,0.0073826304,0.05353555,0.05353555
39.7,1.5847173,25,318,19.242116689682007,8177,0.0,8.369626,0.37754321098327637,0.0074039637,0.050194062,0.050194062
46.975,1.7184261,20,338,21.58528733253479,9167,0.0,8.33057,0.29671257734298706,0.007291867,0.05296187,0.05296187
44.45,1.728659,25,363,23.893588542938232,10240,0.0,8.298417,0.34861642122268677,0.00698002,0.051527992,0.051527992
45.325,1.9718109,20,383,26.251837968826294,11214,0.0,8.263393,0.14657270908355713,0.007647801,0.059314977,0.059314977
58.8,2.7612395,12,395,28.613744258880615,12218,0.0,8.214204,0.3971424698829651,0.007304483,0.055566877,0.055566877
71.8,3.5416572,11,406,30.970165729522705,13288,0.0,8.202908,0.5937692821025848,0.0065673566,0.05087102,0.05087102
83.225,3.6230156,8,414,33.30327892303467,14244,0.0,8.213616,0.5317362844944,0.0064590094,0.054339632,0.054339632
99.925,4.516075,9,423,35.6402223110199,15211,0.0,8.188296,0.5617233514785767,0.0059358114,0.051040962,0.051040962
102.45,4.4319205,10,433,37.98159575462341,16222,0.0,8.164356,0.4833027720451355,0.0070250668,0.05573964,0.05573964
115.4,4.9824553,7,440,40.326087951660156,17360,0.0,8.176044,0.7112187445163727,0.0065051205,0.052475393,0.052475393
129.5,5.5791836,5,445,42.70527124404907,18347,0.0,8.200802,0.3948044180870056,0.0063797035,0.05151234,0.05151234
133.35,6.4233246,6,451,45.075536251068115,19191,0.0,8.219536,0.5826942026615143,0.006733277,0.055203125,0.055203125
143.875,6.7259264,7,458,47.462111949920654,20362,0.0,8.223702,0.6560823619365692,0.00656006,0.06008536,0.06008536
154.475,6.828795,5,463,49.81546950340271,21390,0.0,8.207654,0.692825436592102,0.0066806152,0.057439987,0.057439987
168.65,6.895603,5,468,52.17112493515015,22528,0.0,8.208747,0.7863982617855072,0.0061569517,0.055997897,0.055997897
182.975,7.482361,4,472,54.53080654144287,23484,0.0,8.175838,0.6724039614200592,0.006242384,0.053215854,0.053215854
183.95,7.3665466,6,478,56.892340421676636,24338,0.0,8.16532,0.6404840648174286,0.00607417,0.050450895,0.050450895
187.95,6.781667,6,484,59.1973340511322,25570,0.0,8.148975,0.8067274689674377,0.0058265664,0.049607787,0.049607787
178.625,6.16326,8,492,61.50109100341797,26620,0.0,8.138282,0.6292397081851959,0.006294661,0.053496603,0.053496603
181.925,6.199874,5,497,63.91730093955994,27537,0.0,8.130875,0.6945318579673767,0.0066649467,0.059692323,0.059692323
181.825,6.185132,6,503,66.32187056541443,28663,0.0,8.103275,0.8169564455747604,0.0061758356,0.055243667,0.055243667
175.85,6.2070785,5,508,68.65161895751953,29562,0.0,8.098851,0.7399610877037048,0.0056783594,0.05169802,0.05169802
173.725,6.0956283,5,513,70.98569989204407,30536,0.0,8.080573,0.7752612978219986,0.0064161904,0.056130994,0.056130994
171.625,6.163186,6,519,73.35095000267029,31573,0.0,8.063979,0.7199468910694122,0.0064385,0.05394016,0.05394016
168.525,5.8472834,8,527,75.67738366127014,32695,0.0,8.054932,0.8238372951745987,0.005859033,0.055823542,0.055823542
175.2,6.03271,6,533,78.01495385169983,33761,0.0,8.040577,0.5428572595119476,0.0072011193,0.062292933,0.062292933
178.675,5.7242546,4,537,80.40396857261658,34684,0.0,8.033507,0.8312936425209045,0.006195619,0.058856167,0.058856167
178.075,5.866481,6,543,82.74524211883545,35786,0.0,8.041443,0.8400289714336395,0.006353504,0.0555791,0.0555791
174.975,5.763386,6,549,85.07847762107849,36748,0.0,8.0369425,0.8818256929516792,0.0064688763,0.05430889,0.05430889
173.7,5.791615,7,556,87.48874282836914,37857,0.0,8.034779,0.8321970105171204,0.006478144,0.06922309,0.06922309
171.825,5.8590345,3,559,89.8518795967102,38446,0.0,8.022052,0.7457281053066254,0.005879766,0.05572935,0.05572935
190.675,6.371324,4,563,92.19689178466797,39842,0.0,8.0127325,0.22770768404006958,0.0061942628,0.059462413,0.059462413
191.8,6.479083,7,570,94.5276038646698,40886,0.0,8.01171,0.915798582136631,0.005860262,0.06362277,0.06362277
185.35,6.5979996,6,576,96.84029412269592,41969,0.0,8.006795,0.8640584498643875,0.006011141,0.064977095,0.064977095
194.425,6.5398893,3,579,99.16333270072937,42909,0.0,8.017058,0.7505287975072861,0.0056652916,0.0601156,0.0601156
191.625,6.3498383,7,586,101.59352493286133,44018,0.0,7.992454,0.8711373209953308,0.0073130825,0.058303535,0.058303535
190.325,6.32352,7,593,103.93145537376404,45035,0.0,7.984669,0.8917735144495964,0.0064180195,0.06313422,0.06313422
199.175,6.442411,4,597,106.27155828475952,45963,0.0,7.973054,0.5648411810398102,0.0058418866,0.05844277,0.05844277
185.925,6.24306,4,601,108.59861922264099,46964,0.0,7.947658,0.8835150524973869,0.0058883913,0.056550417,0.056550417
188.625,6.1982317,6,607,110.94065523147583,48011,0.0,7.925808,0.8989394158124924,0.006330078,0.062135026,0.062135026
198.925,6.459503,4,611,113.26185727119446,48961,0.0,7.9170465,0.7380976676940918,0.0061885174,0.06492405,0.06492405
210.75,6.7687187,4,615,115.59311318397522,50095,0.0,7.9391623,0.7811253815889359,0.0060969815,0.062330168,0.062330168
192.55,6.673392,7,622,117.922203540802,51057,0.0,7.956622,0.9024299159646034,0.0055002356,0.058209755,0.058209755
202.925,6.9308243,4,626,120.33947730064392,52135,0.0,7.9343076,0.8736170083284378,0.005794922,0.06461124,0.06461124
205.525,7.053328,6,632,122.69073414802551,53098,0.0,7.920834,0.9157398119568825,0.006008367,0.05879098,0.05879098
186.25,6.6141043,8,640,125.05145049095154,54272,0.0,7.9042315,0.831676110625267,0.007773011,0.06614076,0.06614076
182.05,6.6144333,7,647,127.39605903625488,55293,0.0,7.909786,0.9134877771139145,0.006367142,0.08020341,0.08020341
171.675,6.3134966,5,652,129.7697913646698,56099,0.0,7.9102216,0.9403266981244087,0.0053138067,0.05841588,0.05841588
172.775,6.3878307,5,657,132.09524750709534,57257,0.0,7.902572,0.9471265189349651,0.0065227235,0.06123159,0.06123159
172.825,6.4043665,6,663,134.46390652656555,58325,0.0,7.914849,0.9620922356843948,0.005673833,0.05788809,0.05788809
170.875,6.2672896,6,669,136.81653666496277,59386,0.0,7.9003634,0.8219491988420486,0.006489607,0.059901595,0.059901595
171.9,6.3556848,6,675,139.19540643692017,60392,0.0,7.8723726,0.9544371776282787,0.0063232114,0.059246406,0.059246406
177.775,6.511557,5,680,141.52200746536255,61383,0.0,7.869019,0.9054762795567513,0.0065981443,0.05940369,0.05940369
182.675,6.569846,5,685,143.90350127220154,62367,0.0,7.8565593,0.9404910989105701,0.0061948565,0.05766072,0.05766072
182.625,6.607633,7,692,146.3125877380371,63404,0.0,7.855027,0.9638284295797348,0.006532428,0.06737596,0.06737596
174.9,6.332993,6,698,148.72746539115906,64438,0.0,7.8614154,0.8344404995441437,0.005914636,0.053591926,0.053591926
177.05,6.3839407,5,703,151.08709907531738,65407,0.0,7.863536,0.9059872105717659,0.0059027364,0.05135542,0.05135542
175.675,6.2900214,6,709,153.423006772995,66413,0.0,7.871238,0.9175090193748474,0.005782769,0.060224168,0.060224168
181.925,6.445526,5,714,155.76167559623718,67521,0.0,7.856326,0.8147976696491241,0.006012494,0.070427306,0.070427306
175.825,6.4080734,6,720,158.0670826435089,68416,0.0,7.852143,0.9475635550916195,0.0058681336,0.06262313,0.06262313
171.3,6.243264,7,727,160.44477534294128,69504,0.0,7.8442535,0.7782298624515533,0.0063058715,0.059081767,0.059081767
176.65,6.4058976,4,731,162.76510334014893,70248,0.0,7.8474917,0.8190414011478424,0.0058266334,0.06680296,0.06680296
189.1,6.4053698,5,736,165.0678734779358,71615,0.0,7.880486,0.8532949388027191,0.006413276,0.051869273,0.051869273
196.2,6.6929274,3,739,167.38509511947632,72536,0.0,7.8787813,0.8863067626953125,0.0066948286,0.057360694,0.057360694
193.25,6.7249017,7,746,169.69878506660461,73589,0.0,7.8628054,0.9439926221966743,0.0058268653,0.063224316,0.063224316
191.525,6.5286074,6,752,172.02294731140137,74719,0.0,7.8552556,0.8961360156536102,0.0062526325,0.058860045,0.058860045
196.275,6.7176027,5,757,174.3739037513733,75767,0.0,7.8708496,0.8889428079128265,0.006657767,0.076069385,0.076069385
197.125,6.7577577,6,763,176.70440196990967,76717,0.0,7.8844533,0.9564759731292725,0.0054881247,0.06283823,0.06283823
201.65,6.8629136,4,767,179.04423713684082,77570,0.0,7.873154,0.8822284042835236,0.0071005584,0.0752222,0.0752222
191.05,6.8434205,6,773,181.4028673171997,78763,0.0,7.890216,0.9615480937063694,0.005928018,0.06952704,0.06952704
192.4,7.021286,4,777,183.73353743553162,79468,0.0,7.9019885,0.9206109195947647,0.006455235,0.06188855,0.06188855
194.3,7.0394454,5,782,186.04570817947388,80749,0.0,7.8890085,0.9755662269890308,0.0065493556,0.062071558,0.062071558
195.475,7.1278443,6,788,188.36484932899475,81876,0.0,7.883618,0.9693640619516373,0.0063439,0.06110283,0.06110283
192.6,7.216398,6,794,190.74730587005615,82814,0.0,7.87487,0.9682410582900047,0.0055716764,0.062292516,0.062292516
194.7,7.2416244,4,798,193.10350155830383,83733,0.0,7.863242,0.9532913006842136,0.006582485,0.069218695,0.069218695
197.05,7.301286,6,804,195.46450471878052,84765,0.0,7.858279,0.9752316400408745,0.0066347313,0.0656361,0.0656361
188.85,7.0281343,5,809,197.79464960098267,85603,0.0,7.866805,0.6795272529125214,0.0070039826,0.06329203,0.06329203
193.625,7.0300727,6,815,200.0659704208374,86860,0.0,7.8657603,0.9018679410219193,0.005581572,0.06301014,0.06301014
190.4,6.8349433,5,820,202.32808637619019,87976,0.0,7.844489,0.8878455609083176,0.0064272294,0.055565998,0.055565998
192.675,6.83835,5,825,204.64492225646973,88927,0.0,7.8369436,0.8978050053119659,0.006425389,0.066703334,0.066703334
195.9,6.785228,5,830,206.95878291130066,90027,0.0,7.8368,0.840789869427681,0.0063759172,0.059836283,0.059836283
193.0,6.5201826,6,836,209.3465723991394,91030,0.0,7.851899,0.8829441070556641,0.0057411855,0.061050158,0.061050158
195.175,6.550859,5,841,211.6748058795929,92094,0.0,7.8305893,0.8954211473464966,0.0060348394,0.061257266,0.061257266
193.95,6.4261003,6,847,214.06175780296326,93055,0.0,7.839225,0.9047433435916901,0.005883284,0.06510244,0.06510244
185.15,6.1972885,7,854,216.4156723022461,94114,0.0,7.8382487,0.9248370379209518,0.0059296065,0.05441976,0.05441976
179.625,6.1838427,6,860,218.78431820869446,95161,0.0,7.8171053,0.9322448223829269,0.006010379,0.066884086,0.066884086
176.525,6.140977,6,866,221.13761377334595,96221,0.0,7.7974706,0.9648958668112755,0.006094652,0.07166594,0.07166594
167.3,6.080568,7,873,223.49395990371704,97230,0.0,7.81067,0.8270969837903976,0.0062016486,0.06514019,0.06514019
164.425,6.12259,6,879,225.87643218040466,98219,0.0,7.800235,0.945814736187458,0.0063263294,0.07477907,0.07477907
164.9,6.252487,5,884,228.277827501297,99133,0.0,7.784977,0.9381615221500397,0.0061557833,0.06806909,0.06806909
171.675,6.3943453,6,890,230.67374086380005,100319,0.0,7.7751656,0.8388161361217499,0.0066473135,0.06743277,0.06743277
170.775,6.51083,6,896,233.0228464603424,101231,0.0,7.773254,0.9533855579793453,0.0061177635,0.06134808,0.06134808
170.75,6.554021,6,902,235.34580659866333,102298,0.0,7.7675023,0.9528479725122452,0.006151433,0.06344595,0.06344595
171.475,6.573329,6,908,237.70175218582153,103386,0.0,7.7406836,0.93019749969244,0.006673093,0.06838684,0.06838684
173.7,6.6066055,5,913,240.15248084068298,104178,0.0,7.724117,0.8073257803916931,0.007337777,0.0640558,0.0640558
180.25,6.6501937,6,919,242.530179977417,105429,0.0,7.7239695,0.9070615023374557,0.006537871,0.074914455,0.074914455
176.225,6.5634246,6,925,244.8374786376953,106408,0.0,7.7329555,0.9410250224173069,0.006926659,0.06692427,0.06692427
177.125,6.658574,5,930,247.21000218391418,107404,0.0,7.748272,0.9445516802370548,0.0065178466,0.19604532,0.19604532
179.125,6.765523,7,937,249.46337270736694,108543,0.0,7.7588243,0.9382730647921562,0.0063490802,0.077295214,0.077295214
178.25,6.722374,6,943,251.81282901763916,109565,0.0,7.7578273,0.957718014717102,0.0067849625,0.06755304,0.06755304
178.25,6.646533,5,948,254.12907123565674,110516,0.0,7.770257,0.8599995821714401,0.006619292,0.060564265,0.060564265
170.925,6.636861,6,954,256.5141842365265,111469,0.0,7.7356873,0.8429076820611954,0.006522134,0.066890955,0.066890955
174.125,6.6868362,6,960,258.89430499076843,112533,0.0,7.7300534,0.7942935675382614,0.0060363477,0.08745534,0.08745534
172.25,6.653128,7,967,261.24482464790344,113638,0.0,7.7413797,0.9549808837473392,0.005978971,0.07113758,0.07113758
170.7,6.430491,5,972,263.57635164260864,114599,0.0,7.767483,0.8853259980678558,0.0060332357,0.058271226,0.058271226
179.125,6.686259,5,977,265.87494683265686,115708,0.0,7.789661,0.9222090467810631,0.0065767993,0.07044689,0.07044689
177.325,6.6355886,6,983,268.1852505207062,116658,0.0,7.791619,0.9609981998801231,0.006580461,0.07027073,0.07027073
182.6,6.906405,4,987,270.47940397262573,117603,0.0,7.7894974,0.9426354207098484,0.0066785347,0.07149127,0.07149127
181.35,6.9476686,7,994,272.773699760437,118723,0.0,7.778771,0.9396964088082314,0.0071694,0.06822892,0.06822892
180.675,6.8797064,6,1000,275.1958575248718,119760,0.0,7.788932,0.8906800821423531,0.0072388975,0.061507996,0.061507996
185.525,7.0727034,5,1005,277.550363779068,120713,0.0,7.7791753,0.960263479501009,0.00640571,0.072893746,0.072893746
186.55,7.2902145,5,1010,279.90099930763245,121704,0.0,7.784492,0.9702846016734838,0.006135686,0.063911565,0.063911565
182.875,7.1738844,6,1016,282.20810866355896,122743,0.0,7.751933,0.9316920936107635,0.006603338,0.069603205,0.069603205
184.85,7.2431145,6,1022,284.52496218681335,123898,0.0,7.7507925,0.958198755979538,0.006591048,0.07188496,0.07188496
180.45,7.126391,5,1027,286.8853726387024,124821,0.0,7.7419004,0.9206626266241074,0.006693574,0.08199829,0.08199829
180.425,7.0071397,7,1034,289.25458788871765,125940,0.0,7.7520447,0.7252849340438843,0.00582778,0.06459491,0.06459491
178.55,6.8366804,6,1040,291.6031494140625,126902,0.0,7.7457967,0.7349265515804291,0.007387346,0.07666778,0.07666778
