# {"t_start": 1619399896.5987961, "env_id": "Reacher-v2"} 
r,l,t
-63.194492,50,1.009496
-65.378575,50,1.115291
-73.595383,50,1.215178
-58.459092,50,1.317371
-63.487762,50,1.41208
-69.260212,50,1.505567
-56.838922,50,1.602666
-60.210809,50,1.701089
-59.423769,50,1.796715
-63.133913,50,1.897784
-59.921225,50,1.998576
-55.590834,50,2.097027
-50.831842,50,2.192001
-54.668285,50,2.290122
-60.159383,50,2.386083
-67.642364,50,2.482399
-76.959411,50,2.577302
-62.579459,50,2.672682
-65.329135,50,2.766322
-58.95272,50,2.862017
-62.326366,50,2.955373
-59.739533,50,3.048083
-62.181581,50,3.14097
-59.289191,50,3.237997
-55.498631,50,3.33216
-60.634862,50,3.424693
-65.912649,50,3.520591
-49.993606,50,3.617803
-58.876457,50,3.711925
-64.408315,50,3.809359
-69.761746,50,3.902623
-55.631092,50,3.999779
-66.992759,50,4.094341
-56.178856,50,4.193926
-53.874666,50,4.290892
-67.054113,50,4.386473
-63.936457,50,4.482428
-63.081336,50,4.588728
-54.874935,50,4.684419
-52.574523,50,4.780205
-57.412672,50,5.643515
-56.529497,50,5.742649
-55.201576,50,5.839258
-64.583905,50,5.931919
-65.772129,50,6.026915
-66.522811,50,6.122815
-60.703229,50,6.218788
-64.916983,50,6.311565
-63.090393,50,6.405049
-56.777664,50,6.499311
-59.330284,50,6.592357
-57.827819,50,6.688439
-53.889824,50,6.786289
-49.468465,50,6.886459
-66.925043,50,6.981546
-60.458719,50,7.079284
-48.566514,50,7.174544
-51.862217,50,7.271197
-58.225212,50,7.365385
-62.595584,50,7.458478
-59.667745,50,7.553231
-46.526857,50,7.651298
-57.540593,50,7.748141
-58.977557,50,7.84496
-58.15038,50,7.940161
-61.836471,50,8.036256
-57.043601,50,8.131103
-62.806678,50,8.22793
-69.230622,50,8.321525
-66.343434,50,8.419597
-63.546702,50,8.518711
-57.740071,50,8.616807
-56.473132,50,8.710403
-63.699578,50,8.806425
-58.975702,50,8.905358
-62.349598,50,8.998678
-59.394939,50,9.092346
-56.43379,50,9.188474
-65.66422,50,9.283167
-61.425531,50,9.380939
-51.331247,50,9.475411
-65.800594,50,10.285928
-55.519969,50,10.385545
-60.777689,50,10.481807
-54.455453,50,10.576891
-57.665804,50,10.673834
-64.429039,50,10.769053
-55.25184,50,10.870359
-60.482471,50,10.969534
-66.384246,50,11.068102
-57.970172,50,11.162422
-62.73126,50,11.261051
-58.068284,50,11.359248
-54.987047,50,11.455967
-57.167351,50,11.551597
-56.640277,50,11.652399
-63.183526,50,11.753408
-68.209664,50,11.849589
-57.899035,50,11.945529
-57.28244,50,12.042546
-60.740571,50,12.140402
-64.039566,50,12.234042
-59.070257,50,12.331266
-63.584448,50,12.426958
-58.376657,50,12.522426
-52.768895,50,12.616907
-63.675259,50,12.71239
-53.244573,50,12.807214
-60.33335,50,12.905973
-60.793326,50,13.004118
-46.798297,50,13.106809
-59.967512,50,13.203792
-57.961366,50,13.302163
-64.500962,50,13.399391
-58.091683,50,13.493492
-53.635647,50,13.594394
-66.216764,50,13.689004
-70.88849,50,13.787211
-60.433409,50,13.882036
-60.006973,50,13.979445
-59.874573,50,14.076311
-58.272085,50,14.176428
-60.674757,50,14.951804
-60.865791,50,15.059061
-58.099961,50,15.165999
-55.473303,50,15.263657
-56.763753,50,15.360638
-56.298578,50,15.462895
-64.625444,50,15.563938
-57.957645,50,15.665977
-54.363246,50,15.769673
-50.297324,50,15.876594
-57.319946,50,15.977797
-62.499285,50,16.080889
-61.305787,50,16.188519
-60.077729,50,16.287301
-53.345432,50,16.386811
-56.932761,50,16.48371
-54.536186,50,16.581883
-58.683643,50,16.678504
-55.662647,50,16.779051
-61.366652,50,16.874875
-54.216721,50,16.980443
-55.98102,50,17.08381
-59.869117,50,17.184906
-49.99834,50,17.286069
-53.349572,50,17.387521
-56.666453,50,17.48941
-65.246986,50,17.592533
-51.945358,50,17.694867
-57.900358,50,17.794972
-58.113472,50,17.902002
-62.234534,50,18.002714
-56.720496,50,18.098167
-58.308887,50,18.191571
-59.224172,50,18.28694
-56.543872,50,18.382518
-57.030751,50,18.476073
-58.486477,50,18.570982
-51.858105,50,18.664852
-53.906562,50,18.761254
-50.517761,50,18.855809
-60.131544,50,18.951611
-61.255407,50,19.770172
-51.554057,50,19.870047
-51.638626,50,19.966244
-60.024617,50,20.062754
-55.492296,50,20.155524
-60.577647,50,20.248395
-52.620854,50,20.340711
-51.332096,50,20.439214
-66.361197,50,20.534558
-55.758413,50,20.632307
-53.437786,50,20.726198
-56.860592,50,20.823221
-51.833014,50,20.92006
-59.777303,50,21.014072
-61.565844,50,21.109531
-56.781614,50,21.202801
-48.155038,50,21.299766
-52.593671,50,21.393193
-57.345638,50,21.488812
-64.533971,50,21.582921
-49.876,50,21.681546
-54.721207,50,21.781022
-51.950933,50,21.876143
-50.713324,50,21.976126
-47.095862,50,22.074323
-57.467475,50,22.16971
-46.486183,50,22.264617
-54.976729,50,22.358402
-62.458645,50,22.453144
-59.206249,50,22.547679
-60.577239,50,22.640356
-48.566644,50,22.734542
-50.793561,50,22.832234
-57.226862,50,22.928159
-57.858423,50,23.023781
-60.928203,50,23.11719
-62.026562,50,23.210515
-59.69283,50,23.304759
-59.747543,50,23.402544
-54.353017,50,23.497118
-54.401317,50,23.591045
-56.270332,50,24.3797
-66.138493,50,24.474204
-57.066117,50,24.570701
-63.040924,50,24.666286
-52.682625,50,24.759448
-56.415923,50,24.85324
-55.38933,50,24.947182
-54.734306,50,25.046195
-66.768155,50,25.144446
-51.212049,50,25.240903
-52.207827,50,25.336023
-53.450009,50,25.433532
-52.143333,50,25.531803
-59.162434,50,25.633709
-58.243867,50,25.73344
-60.139711,50,25.830377
-57.067203,50,25.928456
-58.316408,50,26.026597
-50.954933,50,26.128691
-48.551106,50,26.22743
-59.8381,50,26.324317
-55.867894,50,26.428282
-60.925318,50,26.530406
-51.901844,50,26.631185
-50.442482,50,26.746393
-55.269944,50,26.870332
-59.652287,50,26.984202
-54.184371,50,27.088212
-52.971577,50,27.194996
-62.801155,50,27.293336
-54.039227,50,27.393272
-45.930364,50,27.490227
-59.19906,50,27.583572
-59.516509,50,27.689125
-61.665905,50,27.797129
-65.208557,50,27.912737
-50.988724,50,28.041244
-51.597193,50,28.137249
-56.502455,50,28.23808
-56.570856,50,28.344049
-59.377499,50,28.445724
-58.178776,50,29.321592
-52.079312,50,29.430436
-58.141924,50,29.530188
-54.231041,50,29.642032
-55.624784,50,29.776737
-49.557882,50,29.887035
-51.618384,50,29.994695
-62.867909,50,30.1011
-52.336124,50,30.209066
-54.559259,50,30.311312
-49.310863,50,30.407187
-59.976421,50,30.501106
-54.219895,50,30.61688
-51.467131,50,30.735745
-59.589563,50,30.841417
-57.460113,50,30.937283
-59.131016,50,31.035962
-59.613041,50,31.133514
-59.902163,50,31.23678
-56.827717,50,31.336095
-53.82684,50,31.450446
-59.137041,50,31.574521
-53.078772,50,31.687894
-56.806882,50,31.806611
-58.222253,50,31.926908
-58.17403,50,32.052896
-51.830394,50,32.167847
-50.907396,50,32.268835
-46.237637,50,32.376722
-55.777865,50,32.48839
-56.772198,50,32.62039
-55.337264,50,32.716831
-53.976381,50,32.818336
-44.515496,50,32.927049
-58.892267,50,33.036801
-57.376128,50,33.152338
-55.623887,50,33.273449
-56.810533,50,33.395894
-62.663295,50,33.51742
-48.09179,50,33.628929
-49.307025,50,33.725126
-60.301354,50,34.580928
-57.687802,50,34.696911
-60.764402,50,34.794911
