eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
50.0,-61.210981525,419,0.007021594,0.08164062,2.7998528,-0.011106196,0.5378197,0.009337186813354492,1,2048,4.883246632998635,2048
50.0,-60.29948455555556,441,0.005038145,0.05053711,2.7307153,-0.008585895,0.31392428,0.16340112686157227,2,4096,9.52241392599899,4096
50.0,-59.64755586999999,439,0.0060563944,0.068115234,2.6766388,-0.0103690615,0.27045283,0.3040178418159485,3,6144,14.183521811999526,6144
50.0,-58.850045050000006,425,0.005983928,0.0671875,2.624396,-0.009437788,0.20661327,0.2192428708076477,4,8192,18.992581030997826,8192
50.0,-57.018647380000004,444,0.0060521686,0.06289063,2.5593944,-0.008757197,0.17620453,0.25918424129486084,5,10240,23.59845056699851,10240
50.0,-56.23214595,415,0.005525323,0.061767578,2.5050778,-0.009107504,0.16381016,0.3199971318244934,6,12288,28.53342868799882,12288
50.0,-55.79041766,390,0.0065721073,0.08022461,2.4629076,-0.010096466,0.14323379,0.3679172396659851,7,14336,33.78320329100097,14336
50.0,-55.37134066999999,422,0.0044604763,0.04453125,2.4249144,-0.0073537515,0.13306901,0.4403224587440491,8,16384,38.62972834699758,16384
50.0,-54.70396602000001,415,0.0060940436,0.07460938,2.3892524,-0.010160247,0.1243304,0.5030290186405182,9,18432,43.56431937199886,18432
50.0,-53.710943379999996,427,0.004979843,0.04765625,2.3371835,-0.008731025,0.1401204,0.4732915163040161,10,20480,48.35037152699806,20480
50.0,-52.47059424,432,0.0048004063,0.05029297,2.2832322,-0.008569482,0.110243574,0.5761272311210632,11,22528,53.08393863099991,22528
50.0,-51.57893933,436,0.0048956904,0.053027343,2.2366288,-0.0071260026,0.11833201,0.5915565192699432,12,24576,57.77591777499765,24576
50.0,-50.8786172,421,0.006577053,0.080273435,2.1822739,-0.011550186,0.108111404,0.628330796957016,13,26624,62.6387670160002,26624
50.0,-50.51259881000001,421,0.0067801154,0.08457031,2.1273232,-0.01191782,0.11881173,0.5932162404060364,14,28672,67.49666703500043,28672
50.0,-50.656637679999996,440,0.005332987,0.058300782,2.0734644,-0.007703298,0.11780276,0.5908125936985016,15,30720,72.14485235299799,30720
50.0,-49.349421549999995,426,0.0058503235,0.065136716,2.017372,-0.008536015,0.10809189,0.6260634362697601,16,32768,76.95224929499818,32768
50.0,-47.77061859000001,436,0.0051248157,0.05644531,1.9677963,-0.00820842,0.11388904,0.5813078582286835,17,34816,81.64439769399905,34816
50.0,-47.01506202999999,426,0.0071113757,0.07563476,1.9127792,-0.010036457,0.10363587,0.6245681345462799,18,36864,86.4667723120001,36864
50.0,-45.60669158999999,427,0.005463462,0.05810547,1.8504093,-0.0062435996,0.10605264,0.5686422288417816,19,38912,91.27766526499909,38912
50.0,-44.86998575,433,0.0070979865,0.08242188,1.7879856,-0.01008209,0.09748645,0.609289139509201,20,40960,95.99880715399922,40960
50.0,-42.72838298999999,423,0.0066565843,0.07866211,1.7306309,-0.009424824,0.094529875,0.591364711523056,21,43008,100.8400732629998,43008
50.0,-40.98616999000001,435,0.0069211028,0.08588867,1.6820543,-0.010222005,0.07698422,0.6040785908699036,22,45056,105.54623659600111,45056
50.0,-40.01518752,435,0.006060424,0.06757812,1.6258532,-0.009269793,0.079567894,0.5643613636493683,23,47104,110.24973349399806,47104
50.0,-39.535455729999995,440,0.0066076666,0.074072264,1.564189,-0.011488893,0.07594056,0.5992882549762726,24,49152,114.90129480099858,49152
50.0,-37.97425631,451,0.006721222,0.06586914,1.4967713,-0.010176181,0.06627101,0.6419145464897156,25,51200,119.44259716099987,51200
50.0,-36.70829704,444,0.008049661,0.100097656,1.4291921,-0.014214404,0.056746256,0.6661295592784882,26,53248,124.05017821900037,53248
50.0,-35.90203904,444,0.007828055,0.086523436,1.3601086,-0.014415203,0.05913464,0.6763640344142914,27,55296,128.675477675999,55296
50.0,-34.891455570000005,443,0.007649157,0.095263675,1.2943963,-0.010807514,0.04674882,0.6974838674068451,28,57344,133.29666110999824,57344
50.0,-33.61355433,439,0.0052951677,0.05332031,1.2375946,-0.007365716,0.042721346,0.744660884141922,29,59392,137.9577074359986,59392
50.0,-32.4283315,443,0.0065757385,0.07885742,1.1740803,-0.010806093,0.044666316,0.7020933330059052,30,61440,142.574215411998,61440
50.0,-30.897771449999997,439,0.008173459,0.1078125,1.114416,-0.0110603925,0.044191074,0.6999390721321106,31,63488,147.23526135000066,63488
50.0,-30.994515669999995,438,0.007453201,0.08701172,1.0572408,-0.011675301,0.033540893,0.744173526763916,32,65536,151.90262192199953,65536
50.0,-30.061111299999993,441,0.0069572097,0.08110352,0.99281025,-0.011625731,0.03832271,0.699963390827179,33,67584,156.5466528879988,67584
50.0,-28.73121067,435,0.0076506147,0.09023438,0.91987944,-0.010553336,0.031571943,0.7496743500232697,34,69632,161.25204277900048,69632
50.0,-28.174496480000002,429,0.0084733525,0.11069336,0.85996217,-0.0135066435,0.026169091,0.7186436951160431,35,71680,166.0159399309996,71680
50.0,-27.48959210999999,438,0.0068218797,0.08071289,0.80772626,-0.010001094,0.031380855,0.7057405710220337,36,73728,170.68799213999955,73728
50.0,-26.682312659999997,431,0.008293582,0.09628906,0.742808,-0.011166366,0.027207341,0.7491154968738556,37,75776,175.433615973001,75776
50.0,-25.758389750000003,430,0.007425082,0.09013672,0.6837726,-0.008560606,0.020654095,0.8121758848428726,38,77824,180.18753496899808,77824
50.0,-24.80754086,443,0.007045771,0.08173828,0.6344375,-0.008938971,0.02093031,0.7636045962572098,39,79872,184.80741475499963,79872
50.0,-24.2058071,436,0.0072513693,0.089257814,0.5867944,-0.009436504,0.022073297,0.7506286054849625,40,81920,189.49958880600025,81920
50.0,-23.968177620000002,444,0.007496395,0.087841794,0.53376746,-0.008653209,0.018278128,0.7804722487926483,41,83968,194.11140344899832,83968
50.0,-23.14940345,436,0.007397408,0.085791014,0.47889858,-0.010085119,0.01740884,0.8046723008155823,42,86016,198.80661501699797,86016
50.0,-22.541816020000002,441,0.0070763505,0.082177736,0.42760485,-0.008144213,0.014218876,0.8148311227560043,43,88064,203.445082162998,88064
50.0,-22.05523306,437,0.00795737,0.10449219,0.38378966,-0.009757819,0.01602702,0.793105885386467,44,90112,208.12760637300016,90112
50.0,-21.400362519999998,429,0.00697727,0.080761716,0.32707447,-0.009754997,0.0135361105,0.8130735903978348,45,92160,212.89646040200023,92160
50.0,-20.922824290000005,445,0.0054452964,0.061279297,0.26910526,-0.006306836,0.013502313,0.8313369899988174,46,94208,217.4908819259981,94208
50.0,-20.48093429,437,0.0062181484,0.06943359,0.22361091,-0.0067074983,0.016195659,0.7626234292984009,47,96256,222.1673512089983,96256
50.0,-20.06867819,442,0.008623437,0.11669922,0.18402167,-0.011457554,0.012777867,0.7558610737323761,48,98304,226.7914147320007,98304
50.0,-19.41929136,429,0.00721434,0.083496094,0.14441404,-0.0077736215,0.010038001,0.8204767554998398,49,100352,231.55644865700015,100352
50.0,-18.55678019,433,0.010107782,0.12607422,0.07449191,-0.014133064,0.009476421,0.8202375918626785,50,102400,236.28603314599968,102400
50.0,-18.19426297,426,0.0089070145,0.10756836,0.008221443,-0.010842141,0.00708771,0.8810828402638435,51,104448,241.09284959599972,104448
50.0,-18.105903549999997,448,0.008505891,0.10908203,-0.04077261,-0.009972712,0.008447934,0.8491208702325821,52,106496,245.65716479299954,106496
50.0,-18.259717950000002,435,0.009235861,0.119091794,-0.08685876,-0.008340804,0.008896762,0.837184876203537,53,108544,250.36492504600028,108544
50.0,-17.75808027,432,0.0074205473,0.0909668,-0.1299299,-0.008320775,0.009658648,0.8068958073854446,54,110592,255.1058969529986,110592
50.0,-17.34915637,419,0.0075011654,0.08867188,-0.17553598,-0.008180892,0.005877317,0.8739124983549118,55,112640,259.99265414600086,112640
50.0,-17.35795259,380,0.009425405,0.12792969,-0.20951836,-0.011321606,0.005323295,0.8894911780953407,56,114688,265.39257178499975,114688
50.0,-16.886850349999996,382,0.008879948,0.11621094,-0.24201572,-0.009109096,0.006605045,0.8528676927089691,57,116736,270.7440330249992,116736
50.0,-15.953082759999997,392,0.007493148,0.09511719,-0.28365177,-0.00880797,0.0058615017,0.8576346635818481,58,118784,275.9659120309989,118784
50.0,-15.68188043,434,0.009265085,0.12148438,-0.3263495,-0.01078453,0.006308773,0.832304522395134,59,120832,280.7020465309979,120832
50.0,-15.318796780000003,432,0.009316793,0.12431641,-0.36378992,-0.011456055,0.0056689135,0.8476047813892365,60,122880,285.44062006199965,122880
50.0,-15.058693949999997,403,0.009111358,0.111523435,-0.42011443,-0.012452321,0.004105824,0.8899416401982307,61,124928,290.52240135399916,124928
50.0,-14.94833419,424,0.008921647,0.11186524,-0.4816138,-0.008220984,0.00555361,0.8326456099748611,62,126976,295.34812021499965,126976
50.0,-14.59168059,407,0.009302963,0.12431641,-0.5262698,-0.008799565,0.0040679066,0.8838648647069931,63,129024,300.3796521209988,129024
50.0,-14.942448430000004,415,0.010231404,0.12646484,-0.55787075,-0.010099953,0.004393358,0.8482752591371536,64,131072,305.31306000900076,131072
50.0,-14.57071275,436,0.009472517,0.12607422,-0.5914749,-0.010542596,0.0044568656,0.866671085357666,65,133120,310.0032608799993,133120
50.0,-14.875269289999999,427,0.0106598865,0.1359375,-0.62919325,-0.008027469,0.004462173,0.8804671615362167,66,135168,314.79250750600113,135168
50.0,-14.454976369999999,437,0.009671969,0.11855469,-0.67191905,-0.008349687,0.0033695311,0.9177715852856636,67,137216,319.4773360569998,137216
50.0,-14.41255618,448,0.009383934,0.121679686,-0.71279925,-0.011580734,0.003194313,0.9211341515183449,68,139264,324.0479197349996,139264
50.0,-13.900584329999997,430,0.009628883,0.12631837,-0.74754703,-0.007519336,0.0034789238,0.9035594388842583,69,141312,328.8080283649979,141312
50.0,-13.655011870000001,430,0.009326192,0.1121582,-0.790501,-0.0090364255,0.0028096463,0.9120053872466087,70,143360,333.56427912800063,143360
50.0,-13.46082924,433,0.009996051,0.12871094,-0.8321991,-0.008714658,0.0023793927,0.9426304027438164,71,145408,338.2875841019995,145408
50.0,-13.541165430000001,438,0.011996795,0.15551758,-0.8708121,-0.014308301,0.0028043406,0.9248960912227631,72,147456,342.9564026929984,147456
